id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,status,active,endDate,secondNationality,secondNationalityId,knownName
12cgiy0t282ywdbr5j78hrxsl,Scott Fraser,McKenna,Scott,McKenna,Male,S. McKenna,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,Defender,player,1996-11-12,Kirriemuir,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,189.0,74.0,left,26.0,2025-07-16Z,active,yes,NaN,NaN,NaN,NaN
12qlz44l7n0ma03abxxjxltlg,Branko,Pavić,Branko,Pavic,Male,B. Pavić,Croatia,37hlakrwxyuzovaeoo4sezusp,Midfielder,player,2006-11-07,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN,NaN,66.0,2024-05-17Z,active,no,2025-08-21Z,NaN,NaN,NaN
1ic5mnwhm510mptrxz04zmtm2,Dion Drena,Beljo,Dion,Beljo,Male,D. Beljo,Croatia,37hlakrwxyuzovaeoo4sezusp,Attacker,player,2002-03-01,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,195.0,84.0,left,9.0,2025-07-16Z,active,yes,NaN,NaN,NaN,NaN
1j99x774oc7dpglwcyy6l1fc9,Arbër,Hoxha,Arbër,Hoxha,Male,A. Hoxha,Albania,17zsm8shejejls2on1ffil3op,Attacker,player,1998-10-06,Pejë,Germany,36min0qztu8eydwvpv8t1is0m,185.0,77.0,right,11.0,2024-01-09Z,active,yes,NaN,Kosovo,86u6edbqifdjsn49mbp2anw7p,NaN
243p3fetnvhsfztuz7z8i1yc4,Juan José,Córdoba Zapata,Juan,Córdoba,Male,J. Córdoba,Colombia,6kby8rq1p01fg5ds38ckkrcs5,Attacker,player,2003-07-11,Medellín,Colombia,6kby8rq1p01fg5ds38ckkrcs5,171.0,68.0,NaN,19.0,2024-08-09Z,active,yes,NaN,NaN,NaN,NaN
2wbvg562g7b0n0qs0olc1mk89,Dario,Špikić,Dario,Spikic,Male,D. Špikić,Croatia,37hlakrwxyuzovaeoo4sezusp,Attacker,player,1999-03-22,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,183.0,79.0,NaN,70.0,2025-07-01Z,active,no,2025-08-15Z,NaN,NaN,NaN
2yuntws503qs5o9er31diwmp5,Sandro,Kulenović,Sandro,Kulenovic,Male,S. Kulenović,Croatia,37hlakrwxyuzovaeoo4sezusp,Attacker,player,1999-12-04,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,188.0,76.0,right,17.0,2023-09-04Z,active,yes,NaN,NaN,NaN,NaN
32d9uqfhzw9k6np9qswdmsy6s,Toni,Majić,Toni,Majic,Male,T. Majić,Croatia,37hlakrwxyuzovaeoo4sezusp,Attacker,player,2006-05-03,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN,right,NaN,2026-01-20Z,active,no,NaN,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN
36vtsnz3ifmeyi6m1katae5pm,Moris,Valinčić,Moris,Valincic,Male,M. Valinčić,Croatia,37hlakrwxyuzovaeoo4sezusp,Defender,player,2002-11-17,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN,NaN,25.0,2025-06-26Z,active,yes,NaN,NaN,NaN,NaN
3dlspwk1hmy10sakswrwz7zyt,Robert,Mudražija,Robert,Mudrazija,Male,R. Mudražija,Croatia,37hlakrwxyuzovaeoo4sezusp,Midfielder,player,1997-05-05,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,177.0,NaN,NaN,20.0,2025-06-26Z,active,yes,NaN,NaN,NaN,NaN
