id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,startDate,endDate,status,active,knownName,secondNationality,secondNationalityId,shirtNumber
1asrguqxyo7rmoyamggwd9oq2,Ahmetcan,Kaplan,Ahmetcan,Kaplan,Male,A. Kaplan,Türkiye,6kd6webenogylfgwt2aa9l6vx,Defender,player,2003-01-16,Trabzon,Türkiye,6kd6webenogylfgwt2aa9l6vx,189.0,72.0,left,2023-10-22Z,2025-08-29Z,active,no,NaN,NaN,NaN,NaN
1b3pkpgzz4sk7r5q4x6obgnis,Zakaria,Ouazane,Zakaria,Ouazane,Male,Z. Ouazane,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Attacker,player,2006-09-24,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,192.0,NaN,right,2025-08-04Z,NaN,active,yes,Zakaria Ouazane,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN
1bqr3p8h5skumdwr21l0wcxjp,Yuri,Rose,Yuri,Rose,Male,Y. Rose,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,assistant coach,1979-05-08,Purmerend,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,87.0,NaN,2023-10-30Z,NaN,active,yes,NaN,NaN,NaN,NaN
1skswa4kpj45huc0rcf43ptsk,Don-Delaiah Cassidy,Sigayro O'Niel,Don,O'Niel,Male,D. O'Niel,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2006-08-11,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,right,2024-04-25Z,NaN,active,yes,NaN,Suriname,31vay1njxmbs7vtbfp1wo2dx1,NaN
24ydh2lcb5yej7ul0795c4xgq,Willem,Weijs,Willem,Weijs,Male,W. Weijs,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,coach,1987-02-19,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,2025-07-01Z,NaN,active,yes,NaN,NaN,NaN,NaN
264gu641hrd38wqf28xolwhlg,Rayane,Bounida,Rayane,Bounida,Male,R. Bounida,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,2006-03-03,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,179.0,NaN,right,2024-12-08Z,NaN,active,yes,NaN,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN
2vp8f9x46i2ptaf08xv7a85xw,Paul,Peters Reverson,Paul,Reverson,Male,P. Reverson,Ghana,2q2sw72utw5gu9t5y4knckwba,Goalkeeper,player,2005-06-20,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,194.0,NaN,right,2023-04-16Z,NaN,active,yes,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN
2wesmq2wuhnuwh2yhgkuaxqfo,Aaron,Bouwman,Aaron,Bouwman,Male,A. Bouwman,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2007-08-28,Haarlem,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,71.0,right,2024-04-25Z,NaN,active,yes,NaN,England,1fk5l4hkqk12i7zske6mcqju6,NaN
2zkaf848fjcdhuii8783pkm7e,Youri Pieter,Regeer,Youri,Regeer,Male,Y. Regeer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2003-08-18,Haarlem,Netherlands,6hzi5pltnz67q4la8yli9qfv6,177.0,68.0,right,2025-04-13Z,NaN,active,yes,NaN,NaN,NaN,NaN
31k1qh5h0hpxisei42mto34lw,Mylo,van der Lans,Mylo,van der Lans,Male,M. van der Lans,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2007-04-11,Delft,Netherlands,6hzi5pltnz67q4la8yli9qfv6,181.0,NaN,right,2024-08-23Z,NaN,active,yes,NaN,NaN,NaN,NaN
