id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,status,active,knownName,placeOfBirth,endDate,secondNationality,secondNationalityId
21d3mvqtl1ttuyvnl3hrsz6z8,Jonas,Lietaert,Jonas,Lietaert,Male,J. Lietaert,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,2004-07-16,Belgium,4wbzjcclyefma1ourvjsu4q2j,190.0,78.0,right,76.0,2023-02-09Z,active,yes,NaN,NaN,NaN,NaN,NaN
21ipfd9gxws9vqpw9002o8ve1,Warleson,Steillon Lisboa Oliveira,Warleson,Steillon Lisboa Oliveira,Male,Warleson,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Goalkeeper,player,1996-08-31,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,190.0,87.0,right,1.0,2020-02-06Z,active,yes,Warleson,Cuiabá,NaN,NaN,NaN
3l1v52usaf9mmi9dwowdwv3e,Abu,Francis,Abu,Francis,Male,A. Francis,Ghana,2q2sw72utw5gu9t5y4knckwba,Midfielder,player,2001-04-27,Ghana,2q2sw72utw5gu9t5y4knckwba,182.0,65.0,right,17.0,2022-08-20Z,active,no,NaN,Accra,2025-08-06Z,NaN,NaN
3psb1vnaszejdsicw7vpwi6ms,Alama,Bayo,Alama,Bayo,Male,A. Bayo,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,2006-02-02,Guinea,4i9sg55wigitrfx7290f59ceo,181.0,NaN,right,22.0,2024-06-15Z,active,yes,NaN,Conakry,NaN,Guinea,4i9sg55wigitrfx7290f59ceo
3rw4wlo3rlojg4rs9dri2uyvo,Emmanuel Junior,Kakou,Emmanuel,Kakou,Male,E. Kakou,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,player,2005-06-30,Côte d'Ivoire,tin6kf561ywonqan0mettr98,179.0,NaN,right,5.0,2024-04-23Z,active,yes,NaN,NaN,NaN,NaN,NaN
3sby91ws28mb3yt82a9al75sk,Edan,Diop,Edan,Diop,Male,E. Diop,France,7gww28djs405rfga69smki84o,Midfielder,player,2004-08-28,France,7gww28djs405rfga69smki84o,173.0,67.0,right,37.0,2025-07-18Z,active,yes,NaN,Tours,2026-06-30Z,Senegal,6hhqyhr5cwq2pfprlazyposyk
41gpjj5od0ww4rnopzgp1oetw,Ibrahim,Diakité,Ibrahim,Diakité,Male,I. Diakité,Guinea,4i9sg55wigitrfx7290f59ceo,Defender,player,2003-10-31,France,7gww28djs405rfga69smki84o,180.0,74.0,right,2.0,2024-07-03Z,active,yes,NaN,Compiègne,NaN,France,7gww28djs405rfga69smki84o
49kmr0edzpkmo788p2kt60xzo,Makaya Ibrahima,Diaby,Ibrahima,Diaby,Male,I. Diaby,France,7gww28djs405rfga69smki84o,Midfielder,player,2007-03-17,Guinea,4i9sg55wigitrfx7290f59ceo,NaN,NaN,NaN,19.0,2025-07-01Z,active,yes,NaN,NaN,NaN,Guinea,4i9sg55wigitrfx7290f59ceo
5iuagsqdiiaadb5yuf7r4vzmc,Christiaan,Ravych,Christiaan,Ravych,Male,C. Ravych,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,2002-07-30,Belgium,4wbzjcclyefma1ourvjsu4q2j,187.0,71.0,right,66.0,2022-02-11Z,active,yes,NaN,Kortrijk,NaN,NaN,NaN
5jywyphhwu9j4bphz0720kb9,Pieter Tom,Gerkens,Pieter,Gerkens,Male,P. Gerkens,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,1995-02-17,Belgium,4wbzjcclyefma1ourvjsu4q2j,180.0,72.0,right,18.0,2025-06-20Z,active,yes,NaN,Bilzen,2026-06-30Z,NaN,NaN
