id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,foot,shirtNumber,startDate,endDate,status,active,weight,secondNationality,secondNationalityId,knownName
10lj2qekb1e4c8ful68b1pazt,Tobias,Pajbjerg Anker,Tobias,Anker,Male,T. Anker,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2001-03-06,Herning,Denmark,5adf60vwiw2f2mibyq1k4ex7i,194.0,left,4.0,2023-07-29Z,2024-12-31Z,active,no,NaN,NaN,NaN,NaN
17iz3i6kzdxc115bdlgcgqdck,Adam,Daghim,Adam,Daghim,Male,A. Daghim,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2005-09-28,Vanløse,Denmark,5adf60vwiw2f2mibyq1k4ex7i,189.0,left,28.0,2022-04-02Z,2023-08-30Z,active,no,80.0,NaN,NaN,NaN
1h31bvtbae4q0edlp0u672hn9,Jesper,Hansen,Jesper,Hansen,Male,J. Hansen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,1985-03-31,Slangerup,Denmark,5adf60vwiw2f2mibyq1k4ex7i,188.0,right,1.0,2021-06-17Z,NaN,active,yes,78.0,NaN,NaN,NaN
3gemcjqban843su9c9y5l2sk4,Jacob Florentin,Andersen,Jacob,Andersen,Male,J. Andersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2004-01-26,Galten,Denmark,5adf60vwiw2f2mibyq1k4ex7i,186.0,right,26.0,2022-04-02Z,NaN,active,yes,78.0,NaN,NaN,NaN
3l3v5wj4c7vtqqwu05b526590,Jonas,Jensen-Abbew,Jonas,Jensen-Abbew,Male,J. Jensen-Abbew,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2002-04-20,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,189.0,left,40.0,2024-02-01Z,NaN,active,yes,86.0,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN
3sadup8mjwu4dc96wz6lmixn9,Patrick,Mortensen,Patrick,Mortensen,Male,P. Mortensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,1989-07-13,Kopenhagen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,188.0,right,9.0,2019-01-12Z,NaN,active,yes,81.0,NaN,NaN,NaN
3sog1gsk11bwwrf7l7wm2j7dg,Mikkel,Kannegaard Kristensen,Mikkel,Kannegaard,Male,M. Kannegaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2006-07-05,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,184.0,left,25.0,2023-02-25Z,2025-02-03Z,active,no,72.0,NaN,NaN,NaN
3uytpqx0e0jr6zgbfl1znsm7e,Tobias,Bech Kristensen,Tobias,Bech,Male,T. Bech,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2002-02-19,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,189.0,left,31.0,2023-06-26Z,NaN,active,yes,77.0,NaN,NaN,NaN
43q9ytkbmtk5y3tgv77v7pmg9,Mads Emil,Møller Madsen,Mads Emil,Madsen,Male,M. Madsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1998-01-14,Skanderborg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,189.0,left,7.0,2022-07-01Z,2025-09-02Z,active,no,84.0,NaN,NaN,NaN
4vmgmzg2004twoc39sk7zkzqh,Neo Gift,Links,Gift,Links,Male,G. Links,South Africa,1kiwby3xmt97m3ejw76qs4i6k,Midfielder,player,1998-10-02,Rustenburg,South Africa,1kiwby3xmt97m3ejw76qs4i6k,170.0,left,11.0,2019-09-01Z,NaN,active,yes,60.0,NaN,NaN,NaN
4yyiv4t6irqpeayug5qgvmkmh,Benjamin,Steenfeldt Hvidt,Benjamin,Hvidt,Male,B. Hvidt,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2000-03-12,Aarhus,Denmark,5adf60vwiw2f2mibyq1k4ex7i,184.0,right,22.0,2016-05-01Z,2024-06-15Z,active,no,80.0,NaN,NaN,NaN
5e2dhux42uepgafp4s16gusph,Mats,Knoester,Mats,Knoester,Male,M. Knoester,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,1998-11-19,Alphen aan den Rijn,Netherlands,6hzi5pltnz67q4la8yli9qfv6,186.0,left,3.0,2023-09-01Z,2024-06-30Z,active,no,77.0,NaN,NaN,NaN
