id,firstName,lastName,shortFirstName,shortLastName,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,status,active,knownName,secondNationality,secondNationalityId
1p55tuj89rysvgwv4ysjao4wl,Arnór Sveinn,Aðalsteinsson,Arnór,Adalsteinsson,A. Aðalsteinsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,1986-01-26,Reykjavik,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,181.0,73.0,right,5.0,active,yes,NaN,NaN,NaN
1umdj6jlv69crvsoe4rwv75ec,Arnar Smári,Arnarsson,Arnar,Arnarsson,A. Arnarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,2005-05-04,NaN,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,NaN,NaN,NaN,active,yes,NaN,NaN,NaN
1wlddp2l9xr7xmc42vzck0ine,Arnór Gauti,Jónsson,Arnór,Jónsson,A. Jónsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2002-05-31,NaN,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,NaN,NaN,24.0,active,yes,Arnór Jónsson,NaN,NaN
27a8ay3weff9zyxw7usa54cet,Aron,Bjarnason,Aron,Bjarnason,A. Bjarnason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,1995-10-14,NaN,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,173.0,70.0,both,11.0,active,yes,NaN,NaN,NaN
2hkicgp8zeqz4fif67rdhg2c5,Kristinn,Jónsson,Kristinn,Jónsson,K. Jónsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,1990-08-04,NaN,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,174.0,74.0,left,19.0,active,yes,Kristinn Jónsson,NaN,NaN
2hoyzk0qw79v7ta8urx924amt,Kristinn,Steindórsson,Kristinn,Steindórsson,K. Steindórsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,1990-04-29,Reykjavík,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,178.0,70.0,right,10.0,active,yes,NaN,NaN,NaN
3z6ty4kxmhvl4ypielw4gjowl,Andri Rafn,Yeoman,Andri,Yeoman,A. Yeoman,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,1992-04-18,NaN,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,NaN,NaN,30.0,active,yes,NaN,NaN,NaN
45tzh3ods6akvqj1fe7v7na50,Atli Þór,Gunnarsson,Atli,Gunnarsson,A. Gunnarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2006-06-06,NaN,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,NaN,NaN,NaN,active,yes,NaN,NaN,NaN
4kq5l8rjy4tcnjgjv78ter1zp,Halldór,Árnason,Halldór,Árnason,H. Árnason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,coach,1984-05-16,NaN,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,NaN,NaN,NaN,active,yes,NaN,NaN,NaN
4o1150mpv9nz55cwj9b0vblk9,Kristófer Ingi,Kristinsson,Kristófer,Kristinsson,K. Kristinsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,1999-04-07,Garðabær,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,190.0,71.0,right,23.0,active,yes,NaN,NaN,NaN
5d6oa0urkujvwy0twpdbfsl3p,Damir,Muminović,Damir,Muminovic,D. Muminović,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,1990-05-13,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,NaN,4.0,active,yes,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0
5k2hgogp2g5ivgdnq99ejp27e,Ísak Snær,Þorvaldsson,Ísak,Thorvaldsson,Í. Þorvaldsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2001-05-01,Mosfellsbær,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,182.0,NaN,right,22.0,active,yes,NaN,NaN,NaN
65jpt70r6x6n37tgga4xka9ec,Viktor Elmar,Gautason,Viktor Elmar,Gautason,V. Gautason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,2003-10-09,NaN,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,NaN,NaN,NaN,active,yes,NaN,NaN,NaN
6rogc92mr2cwdmiuee82q0d79,Alexander Helgi,Sigurðarson,Alexander,Sigurdarson,A. Sigurðarson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,1996-04-08,NaN,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,NaN,NaN,6.0,active,yes,NaN,NaN,NaN
87ogzklhfctx78cbjwgh282j9,Höskuldur,Gunnlaugsson,Höskuldur,Gunnlaugsson,H. Gunnlaugsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,1994-09-26,NaN,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,173.0,NaN,NaN,7.0,active,yes,NaN,NaN,NaN
8sv1tavuq38iq6c0bar1a9clw,Dagur Örn,Fjeldsted,Dagur,Fjeldsted,D. Fjeldsted,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2005-04-28,NaN,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,NaN,NaN,16.0,active,yes,NaN,NaN,NaN
9186v5jw32p3hfi8v7nfvkic5,Viktor Karl,Einarsson,Viktor,Einarsson,V. Einarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,1997-01-30,NaN,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,NaN,NaN,8.0,active,yes,Viktor Einarsson,NaN,NaN
9zzg49vnaufp7j6yj7pcg6sb9,Anton Ari,Einarsson,Anton,Einarsson,A. Einarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Goalkeeper,player,1994-08-25,Reykjavík,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,NaN,right,1.0,active,yes,Anton Einarsson,NaN,NaN
amgapd9ojrcvqa5w6zcuc249g,Tómas Orri,Róbertsson,Tómas,Róbertsson,T. Róbertsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2004-04-21,NaN,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,NaN,NaN,17.0,active,no,NaN,NaN,NaN
