id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,shirtNumber,status,active,foot,knownName,secondNationality,secondNationalityId
17zcph3xmk6rhrzepsl2bmk4q,Andrija,Katić,Andrija,Katic,Male,A. Katić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Goalkeeper,player,2002-02-17,Kruševac,Serbia,5w4ve503bjdsshwx9ho6jxzx0,195.0,83.0,1.0,active,yes,NaN,NaN,NaN,NaN
18443jomfufijc5n6b35ejlcl,Lukáš,Skovajsa,Lukás,Skovajsa,Male,L. Skovajsa,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1994-03-27,Trenčín,Slovakia,7dybe8679n9bgyrcxi383pq3y,181.0,77.0,25.0,active,yes,NaN,NaN,NaN,NaN
1dluk435oh06er5avj9ilstpm,Chinonso,Emeka,Chinonso,Emeka,Male,C. Emeka,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2001-08-30,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,189.0,NaN,9.0,active,yes,NaN,NaN,NaN,NaN
1lzqnhtefu81ttvcpe6a4e6l1,Damián,Bariš,Damián,Baris,Male,D. Bariš,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1994-12-09,Trenčín,Slovakia,7dybe8679n9bgyrcxi383pq3y,178.0,75.0,27.0,active,yes,right,NaN,NaN,NaN
29ani26a4nmug5mesyj8wp1xw,Emmanuel,Chimeroucheya Uchegbu,Emmanuel,Uchegbu,Male,E. Uchegbu,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2005-02-05,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,85.0,active,yes,NaN,NaN,NaN,NaN
2hivpagsggwzpck6sw99do9as,Nikolas,Brandis,Nikolas,Brandis,Male,N. Brandis,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2005-05-06,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,active,no,NaN,NaN,NaN,NaN
30pn568okqowno5oyiy5ldka1,Armin,Đerlek,Armin,Djerlek,Male,A. Đerlek,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,2000-07-15,Novi Pazar,Serbia,5w4ve503bjdsshwx9ho6jxzx0,173.0,NaN,22.0,active,yes,right,NaN,NaN,NaN
3h9lw0y2c1ccj9xcy1u8ht9g4,Daniel,Prekop,Daniel,Prekop,Male,D. Prekop,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2005-05-20,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,13.0,active,no,NaN,NaN,NaN,NaN
3zfwycbtlksz95tsqcog03yp6,Kelvin,Spencer Pires,Kelvin,Spencer Pires,Male,Kelvin Pires,Cabo Verde,7235kgq23bu1v4qwk491u58h0,Defender,player,2000-06-05,Mindelo,Cabo Verde,7235kgq23bu1v4qwk491u58h0,193.0,87.0,NaN,active,no,NaN,Kelvin Pires,NaN,NaN
3zr1bups9z7w6lzi2ysj9nm51,Jakub,Holúbek,Jakub,Holúbek,Male,J. Holúbek,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1991-01-12,Trenčín,Slovakia,7dybe8679n9bgyrcxi383pq3y,180.0,77.0,12.0,active,yes,left,NaN,NaN,NaN
430cujc2dwptr8ue1z3qarxuc,Bright,Donkor,Bright,Donkor,Male,B. Donkor,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,2005-01-10,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,19.0,active,yes,NaN,NaN,NaN,NaN
4tbq0np7t53osg0fwv6zsd84q,Lazar,Stojsavljević,Lazar,Stojsavljevic,Male,L. Stojsavljević,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,1998-05-05,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0,191.0,NaN,15.0,active,yes,left,NaN,England,1fk5l4hkqk12i7zske6mcqju6
