id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,endDate,status,active,knownName
2i8mia6uantvhtmpewgs1qz9w,Jonah Daniel,Kusi-Asare,Jonah,Kusi-Asare,Male,J. Kusi-Asare,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,2007-07-04,Solna,Sweden,1z6l2c33w2kyz9rdefs1d68nb,196.0,84.0,right,30.0,2023-08-01Z,2024-02-01Z,active,no,NaN
2q5dedfrzn793s2alaaig8i6s,Abdihakin Abdulkadir,Ali,Abdihakin,Ali,Male,A. Ali,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Somalia,5f1civs919ytka0t5h6fperc2,Midfielder,player,2002-01-22,Solna,Sweden,1z6l2c33w2kyz9rdefs1d68nb,178.0,68.0,right,18.0,2023-02-01Z,NaN,active,yes,NaN
2v3usk38oovrqfn00o3q5dqtw,Ayo,Rupia-Ellis,Ayo,Rupia-Ellis,Male,A. Rupia-Ellis,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Tanzania,3rramsla3ovuhxks28wq1kirb,Defender,player,2005-07-18,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,NaN,31.0,2023-06-03Z,2023-12-31Z,active,no,NaN
35s5mefte5hagf4wjv96u9756,Rui Manuel,Muati Modesto,Rui Manuel,Muati Modesto,Male,Rui Modesto,Angola,3k53bkrjx5zsxchc6e3mcd834,Portugal,1nbm5i9a0403zzvltn17lxinc,Midfielder,player,1999-10-07,Vendas Novas,Portugal,1nbm5i9a0403zzvltn17lxinc,181.0,72.0,right,32.0,2023-02-01Z,2024-08-30Z,active,no,Rui Modesto
3hz7fbme9sm4xkj5fo3moeluc,Gabriel Victor David,Gonçalves Andersson,Victor,Andersson,Male,V. Andersson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Guatemala,6bw57gk867vfrep8b5e4ykh24,Midfielder,player,2004-10-22,Danderyd,Sweden,1z6l2c33w2kyz9rdefs1d68nb,174.0,74.0,right,43.0,2022-07-23Z,NaN,active,yes,NaN
3nipgtf7tus4mlg3pstg8ou1g,Mouhamed Lamine,Fanne Dabo,Lamine,Fanne,Male,Lamine Fanne,Spain,49ih1pwv3ahshdf8uzrimi54c,Senegal,6hhqyhr5cwq2pfprlazyposyk,Midfielder,player,2004-01-30,Kandiounkou,Senegal,6hhqyhr5cwq2pfprlazyposyk,185.0,NaN,right,24.0,2023-03-30Z,2024-08-30Z,active,no,Lamine Fanne
3xx0l8c30mjstvxq7z1s0fnit,John Alberto Fernando Andres Luigi Olof,Guidetti,John,Guidetti,Male,J. Guidetti,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Attacker,player,1992-04-15,Solna,Sweden,1z6l2c33w2kyz9rdefs1d68nb,185.0,79.0,right,11.0,2022-07-15Z,NaN,active,yes,NaN
46cpb4wc30lcdjh6241bd29cl,Budimir,Janošević,Budimir,Janosevic,Male,B. Janošević,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,Goalkeeper,player,1989-10-21,Beograd,Serbia,5w4ve503bjdsshwx9ho6jxzx0,190.0,86.0,right,23.0,2018-01-01Z,2024-12-31Z,active,no,NaN
4dswyr2m0bxs6rkf56y21mz85,Aboubakar,Keita,Aboubakar,Keita,Male,A. Keita,Côte d'Ivoire,tin6kf561ywonqan0mettr98,NaN,NaN,Midfielder,player,1997-11-05,Abidjan,Côte d'Ivoire,tin6kf561ywonqan0mettr98,188.0,70.0,right,22.0,2023-02-01Z,2024-01-26Z,active,no,NaN
4ja6wvpew45tphwpdiiz0nnx1,Andreas,Brännström,Andreas,Brannstrom,Male,A. Brännström,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,NaN,coach,1976-05-10,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,NaN,NaN,2023-01-08Z,2023-07-02Z,active,no,NaN
4utpi6ulxymm3729oqdmzbwlx,Zachary,Elbouzedi,Zach,Elbouzedi,Male,Z. Elbouzedi,Republic of Ireland,63nepb66un7juhglo2g6rezcl,Libya,u42u510tspw3jy1ihkb3mdx9,Midfielder,player,1998-04-05,Dublin,Republic of Ireland,63nepb66un7juhglo2g6rezcl,180.0,70.0,right,20.0,2021-07-15Z,2024-01-30Z,active,no,NaN
5dxrx40pty4wtwdrd341p0aju,Omar Mohanad Mostafa,Faraj,Omar,Faraj,Male,O. Faraj,Palestine,1iq272xbm8xx01hiu7thq4tgt,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,2002-03-09,Stockholm,Sweden,1z6l2c33w2kyz9rdefs1d68nb,182.0,65.0,right,9.0,2023-02-01Z,2024-09-04Z,active,no,NaN
5lg03j9iuxh9pm63esegw20vd,Vincent,Thill,Vincent,Thill,Male,V. Thill,Luxembourg,f2r46apchse9eg3n9c9pupfs,NaN,NaN,Midfielder,player,2000-02-04,Luxemburg,Luxembourg,f2r46apchse9eg3n9c9pupfs,175.0,69.0,left,17.0,2022-08-05Z,2023-06-30Z,active,no,NaN
5q20jb98g7acxc4ixvuhspwtm,Abdussalam Muhammad,Magashy,Abdussalam,Magashy,Male,A. Magashy,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,Midfielder,player,1998-04-06,Kano,Nigeria,63pvdwrsiq5b07mzi8igqei9p,171.0,NaN,right,14.0,2023-01-08Z,2024-02-20Z,active,no,NaN
5verheyzkwkwrmn3k10t7tz6y,Robin Amin,Tihi,Robin,Tihi,Male,R. Tihi,Finland,2u07e54v5dprsugdvddpq5ync,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2002-03-16,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,NaN,16.0,2023-01-01Z,2023-08-14Z,active,no,NaN
67fpbhmyalc9zlkqts4mwafh1,Jetmir,Haliti,Jetmir,Haliti,Male,J. Haliti,Kosovo,86u6edbqifdjsn49mbp2anw7p,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,1996-09-14,Växjö,Sweden,1z6l2c33w2kyz9rdefs1d68nb,184.0,80.0,left,6.0,2023-01-01Z,2023-12-31Z,active,no,NaN
6utvjndbc0etrvdrul1oajdp0,Alexander,Fesshaie Beraki,Alexander,Fesshaie,Male,A. Fesshaie,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Eritrea,76fkjar42okgr6loos2xb6ka1,Attacker,player,2004-02-29,Solna,Sweden,1z6l2c33w2kyz9rdefs1d68nb,179.0,67.0,left,47.0,2022-10-18Z,NaN,active,yes,NaN
7pttfd9lcxr3y6bq0h1c8ufah,Samuel Erik Oskar,Brolin,Samuel,Brolin,Male,S. Brolin,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Goalkeeper,player,2000-09-29,Lidköping,Sweden,1z6l2c33w2kyz9rdefs1d68nb,202.0,85.0,right,35.0,2023-07-01Z,2024-01-08Z,active,no,NaN
7repqxw3aug2xah0l2w27ls6h,Ioannis,Pittas,Ioannis,Pittas,Male,I. Pittas,Cyprus,3om8cj5nhmq1rzzkykubm5icj,NaN,NaN,Attacker,player,1996-07-10,Limassol,Cyprus,3om8cj5nhmq1rzzkykubm5icj,180.0,71.0,right,28.0,2023-07-30Z,2025-02-02Z,active,no,NaN
80s8hyser75f5sldrj3reeynd,Benjamin,Mbunga Kimpioka,Benjamin,Kimpioka,Male,B. Kimpioka,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,Attacker,player,2000-02-21,Knivsta,Sweden,1z6l2c33w2kyz9rdefs1d68nb,183.0,73.0,right,34.0,2023-07-01Z,2024-01-02Z,active,no,NaN
85newb6fychx1mdekljme7isp,Elias,Durmaz,Elias,Durmaz,Male,E. Durmaz,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Türkiye,6kd6webenogylfgwt2aa9l6vx,Midfielder,player,2000-04-21,Örebro,Sweden,1z6l2c33w2kyz9rdefs1d68nb,178.0,67.0,right,44.0,2023-01-08Z,2023-08-09Z,active,no,Elias Durmaz
8lrsefp53ez5jm3hd5fy8tck5,Viktor,Gorridsen Fischer,Viktor,Fischer,Male,V. Fischer,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,Attacker,player,1994-06-09,Aarhus,Denmark,5adf60vwiw2f2mibyq1k4ex7i,181.0,73.0,right,7.0,2023-02-03Z,2023-06-29Z,retired,no,NaN
