id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,endDate,status,active,secondNationality,secondNationalityId,knownName
17j1puxbnff4ic9aveby5xej9,Alejandro,Blanco Sánchez,Álex,Blanco,Male,Álex Blanco,Spain,49ih1pwv3ahshdf8uzrimi54c,Midfielder,player,1998-12-16,Benidorm,Spain,49ih1pwv3ahshdf8uzrimi54c,175.0,70.0,left,20.0,2024-01-31Z,2024-08-30Z,active,no,NaN,NaN,NaN
1lxfpn0wmr895me9xbzcfnh90,Alessandro,Marcandalli,Alessandro,Marcandalli,Male,A. Marcandalli,Italy,25f2cmb2r8mk5rj92tzer6kvv,Defender,player,2002-10-25,Bergamo,Italy,25f2cmb2r8mk5rj92tzer6kvv,195.0,80.0,right,27.0,2023-07-01Z,2024-06-30Z,active,no,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN
1rze7aetma0d5as8f0m62jysp,Diomandè Yann Cedric,Gondo,Cedric,Gondo,Male,C. Gondo,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Attacker,player,1996-11-25,Divo,Côte d'Ivoire,tin6kf561ywonqan0mettr98,187.0,75.0,right,11.0,2023-09-01Z,2024-06-30Z,active,no,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN
1wubpng5503qfvlyc3vvjr8wl,Luca,Vido,Luca,Vido,Male,L. Vido,Italy,25f2cmb2r8mk5rj92tzer6kvv,Attacker,player,1997-02-03,Bassano del Grappa,Italy,25f2cmb2r8mk5rj92tzer6kvv,182.0,75.0,right,9.0,2023-08-03Z,2025-06-30Z,active,no,NaN,NaN,NaN
29xm21ncyacdz7zrr3czue6z9,Mario,Sampirisi,Mario,Sampirisi,Male,M. Sampirisi,Italy,25f2cmb2r8mk5rj92tzer6kvv,Defender,player,1992-10-31,Caltanisetta,Italy,25f2cmb2r8mk5rj92tzer6kvv,188.0,75.0,right,31.0,2023-08-27Z,NaN,active,yes,NaN,NaN,NaN
2os2xde8tdxbpamab8kngnhuc,Edoardo,Motta,Edoardo,Motta,Male,E. Motta,Italy,25f2cmb2r8mk5rj92tzer6kvv,Goalkeeper,player,2005-01-13,NaN,Italy,25f2cmb2r8mk5rj92tzer6kvv,194.0,87.0,right,13.0,2023-07-01Z,NaN,active,yes,NaN,NaN,NaN
2vbnuqw00uxz2t97bxh37o2l0,Giacomo,Cavallini,Giacomo,Cavallini,Male,G. Cavallini,Italy,25f2cmb2r8mk5rj92tzer6kvv,Defender,player,2004-11-16,Bologna,Italy,25f2cmb2r8mk5rj92tzer6kvv,180.0,NaN,left,39.0,2023-07-01Z,2025-01-22Z,active,no,NaN,NaN,NaN
2zgjwhl5i4lya4hh7xed1jefp,Domen,Črnigoj,Domen,Crnigoj,Male,D. Črnigoj,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,Midfielder,player,1995-11-18,Koper,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,188.0,70.0,right,33.0,2023-09-01Z,2024-06-30Z,active,no,NaN,NaN,NaN
32qof54p490n1ycjruex1avv9,Przemysław Marek,Szymiński,Przemyslaw,Szyminski,Male,P. Szymiński,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,1994-06-24,Katowice,Poland,27baqb7359ywdvsxxklx1kn11,184.0,73.0,right,25.0,2023-09-01Z,2024-06-30Z,active,no,NaN,NaN,NaN
3d3yfalw03z6hlnvlyjidu76d,Andrea,Arrighini,Andrea,Arrighini,Male,A. Arrighini,Italy,25f2cmb2r8mk5rj92tzer6kvv,Attacker,player,1990-06-06,Pisa,Italy,25f2cmb2r8mk5rj92tzer6kvv,180.0,75.0,right,20.0,2023-07-01Z,2023-09-01Z,active,no,NaN,NaN,NaN
