id,firstName,lastName,shortFirstName,shortLastName,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,shirtNumber,status,active,foot,secondNationality,secondNationalityId,knownName
18443jomfufijc5n6b35ejlcl,Lukáš,Skovajsa,Lukás,Skovajsa,L. Skovajsa,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1994-03-27,Trenčín,Slovakia,7dybe8679n9bgyrcxi383pq3y,181.0,77.0,25.0,active,yes,NaN,NaN,NaN,NaN
1b1vsi0l9xd0xy42q4p1bdk44,Lucas,Demitra,NaN,NaN,L. Demitra,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2003-04-09,NaN,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,17.0,active,yes,NaN,NaN,NaN,NaN
1dluk435oh06er5avj9ilstpm,Chinonso,Emeka,Chinonso,Emeka,C. Emeka,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2001-08-30,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,189.0,NaN,9.0,active,yes,NaN,NaN,NaN,NaN
1lv56r20p7k323vzhpfew7pqs,Shehu Abdullahi,Aliyu,NaN,NaN,S. Aliyu,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Midfielder,player,NaN,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,NaN,active,no,right,NaN,NaN,NaN
1lzqnhtefu81ttvcpe6a4e6l1,Damián,Bariš,NaN,NaN,D. Bariš,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1994-12-09,Trenčín,Slovakia,7dybe8679n9bgyrcxi383pq3y,178.0,75.0,27.0,active,yes,right,NaN,NaN,NaN
218jan56ksky7oqrakbci8962,Adam,Gaži,Adam,Gazi,A. Gaži,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2003-03-01,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,176.0,NaN,77.0,active,no,NaN,NaN,NaN,NaN
29ani26a4nmug5mesyj8wp1xw,Emmanuel,Chimeroucheya Uchegbu,Emmanuel,Uchegbu,E. Uchegbu,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2005-02-05,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,85.0,active,yes,NaN,NaN,NaN,NaN
2e0kjyftixsji3hhxydl179t6,Lazar,Mijović,Lazar,Mijovic,L. Mijović,Montenegro,1411jebgwo2ja1erogsq81lg9,Attacker,player,2003-03-12,NaN,Montenegro,1411jebgwo2ja1erogsq81lg9,NaN,NaN,45.0,active,yes,NaN,NaN,NaN,NaN
2xjw0d1yxt2fagqavafa7vcyy,Strahinja,Kerkez,Strahinja,Kerkez,S. Kerkez,Cyprus,3om8cj5nhmq1rzzkykubm5icj,Defender,player,2002-12-13,Belgrade,Serbia,5w4ve503bjdsshwx9ho6jxzx0,185.0,NaN,22.0,active,no,right,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN
2ya7ywsdafuiphvu211qcpn9w,Jesse Jidima,Akila,Jesse,Akila,J. Akila,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2001-12-27,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,93.0,active,yes,NaN,NaN,NaN,NaN
