id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,endDate,status,active,secondNationality,secondNationalityId,knownName
14yb6ab45h6z3lla1i3046f4k,Joel Leandro,Ordóñez Guerrero,Joel,Ordóñez,Male,J. Ordoñez,Ecuador,6pyj2bytt2osbjk69owzfehcg,Defender,player,2004-04-21,Guayaquil,Ecuador,6pyj2bytt2osbjk69owzfehcg,188.0,76.0,right,4.0,2022-08-02Z,2024-06-30Z,active,no,NaN,NaN,NaN
16o074zua15qkk7x0me7gi1w4,Bjorn Thomas,Meijer,Bjorn,Meijer,Male,B. Meijer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2003-03-18,Groningen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,191.0,89.0,left,40.0,2023-09-28Z,NaN,active,yes,NaN,NaN,NaN
1npmo2pe9rzmoby9fs1wvovtg,Maxime,Wameso,Maxime,Wameso,Male,M. Wameso,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,2006-04-16,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,12.0,2022-12-02Z,NaN,active,yes,NaN,NaN,NaN
1q935a1d9qmoyo7v6tstqx7je,Kyriani,Sabbe,Kyriani,Sabbe,Male,K. Sabbe,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,2005-01-26,Gent,Belgium,4wbzjcclyefma1ourvjsu4q2j,176.0,68.0,right,64.0,2021-01-30Z,2024-06-30Z,active,no,NaN,NaN,NaN
2biww3ztjxcdk65qxbh7lwopg,Jessi Rémy-Nzuzi,Pedro Da Silva,Jessi,Da Silva,Male,J. Da Silva,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,2008-04-15,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,41.0,2023-07-01Z,NaN,active,yes,NaN,NaN,NaN
350sqmlracdup2lromh9prpck,Mamady,Diawara,Mamady,Diawara,Male,M. Diawara,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,2007-02-01,NaN,Guinea,4i9sg55wigitrfx7290f59ceo,NaN,NaN,right,22.0,2022-06-21Z,2023-12-31Z,active,no,Guinea,4i9sg55wigitrfx7290f59ceo,NaN
3btgcncl388i1fetp5ucoqi38,Tobias,Lund Jensen,Tobias,Lund Jensen,Male,T. Lund Jensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2006-02-10,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,7.0,2022-07-01Z,NaN,active,yes,NaN,NaN,NaN
3lrm5zgy0cngpgcskeahsigwk,Alexander Leon,Vandeperre,Alexander,Vandeperre,Male,A. Vandeperre,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,2006-10-27,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,38.0,2023-07-11Z,NaN,active,yes,NaN,NaN,NaN
3q6jhwert6ah0ll2wq69k93ah,Josef John,Bursik,Josef,Bursik,Male,J. Bursik,England,1fk5l4hkqk12i7zske6mcqju6,Goalkeeper,player,2000-07-12,London,England,1fk5l4hkqk12i7zske6mcqju6,187.0,70.0,left,32.0,2023-05-12Z,2024-06-24Z,active,no,Czechia,5md5tpwr2nmqao528prx43jr7,NaN
4dvbxh16w3txv1jy5e2mat638,Robin,Veldman,Robin,Veldman,Male,R. Veldman,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,coach,1985-12-24,Marknesse,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,NaN,2024-03-19Z,2025-03-21Z,active,no,NaN,NaN,NaN
4hejb0s3tl4jyjfcn5c7rmwpg,Jano,Willems,Jano,Willems,Male,J. Willems,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,2004-01-15,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,3.0,2022-08-01Z,NaN,active,yes,NaN,NaN,NaN
5606cqx2mlkrp81oe6uh6ghec,Chemsdine,Talbi,Chemsdine,Talbi,Male,C. Talbi,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Attacker,player,2005-05-09,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,175.0,65.0,right,68.0,2022-07-01Z,2024-08-15Z,active,no,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN
