player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name
J. De Busser,lp9kyx4408kpoey40zv9mga1,Lommel,30lkpynopz5r9obxg9f6glpqc,NaN,NaN,Goalkeeper,Centre,NaN,18,NaN,NaN,2,16,2,NaN,4,30,21,90,21,9,9,14,2,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,433,NaN,Lommel vs Deinze,99108gmptcxqefh5fos9k3ris,2024-05-05,15,BEL,Challenger_Pro_League
H. Oware,8gd9jid1ta3z4cdvj2t0la6tw,Lommel,30lkpynopz5r9obxg9f6glpqc,4,2,Defender,Left,NaN,47,1,2,NaN,19,4,NaN,29,53,19,72,15,7,5,35,13,17,NaN,NaN,NaN,1,2,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,433,NaN,Lommel vs Deinze,99108gmptcxqefh5fos9k3ris,2024-05-05,8,BEL,Challenger_Pro_League
D. Wouters,9svafwvk8lle1ex1m2y279905,Lommel,30lkpynopz5r9obxg9f6glpqc,4,NaN,Defender,Left/Centre,NaN,66,1,5,NaN,45,3,NaN,24,68,46,90,20,8,7,25,8,9,NaN,4,NaN,4,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,433,NaN,Lommel vs Deinze,99108gmptcxqefh5fos9k3ris,2024-05-05,4,BEL,Challenger_Pro_League
J. Tolinsson,6cbb70pk6oeeweqp20se11pwq,Lommel,30lkpynopz5r9obxg9f6glpqc,6,2,Defender,Centre/Right,NaN,61,2,6,NaN,44,2,1,18,68,45,90,20,4,4,24,3,4,NaN,5,NaN,2,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,433,NaN,Lommel vs Deinze,99108gmptcxqefh5fos9k3ris,2024-05-05,8,BEL,Challenger_Pro_League
K. Aguilar,7v2xvz7ukwshhry3icu0tah62,Lommel,30lkpynopz5r9obxg9f6glpqc,NaN,NaN,Defender,Right,NaN,64,NaN,NaN,3,20,2,NaN,44,70,22,90,32,16,3,50,26,30,1,NaN,2,NaN,NaN,2,NaN,NaN,1,NaN,NaN,1,NaN,1,,NaN,NaN,NaN,NaN,433,NaN,Lommel vs Deinze,99108gmptcxqefh5fos9k3ris,2024-05-05,10,BEL,Challenger_Pro_League
Álex Granell,dgbwod2eqv3tb68zbnozpyevp,Lommel,30lkpynopz5r9obxg9f6glpqc,4,3,Midfielder,Left/Centre,NaN,51,NaN,3,10,15,2,NaN,38,58,15,90,25,5,8,48,25,31,4,NaN,4,4,1,1,1,NaN,NaN,NaN,NaN,2,NaN,NaN,,NaN,NaN,NaN,NaN,433,NaN,Lommel vs Deinze,99108gmptcxqefh5fos9k3ris,2024-05-05,10,BEL,Challenger_Pro_League
D. Karim,6m85ntwegbkk9zkodmxka76dw,Lommel,30lkpynopz5r9obxg9f6glpqc,5,2,Midfielder,Centre,NaN,55,1,8,7,20,2,NaN,37,64,20,90,16,6,8,47,21,26,1,1,1,5,1,1,1,1,1,1,NaN,1,NaN,NaN,,NaN,NaN,NaN,NaN,433,NaN,Lommel vs Deinze,99108gmptcxqefh5fos9k3ris,2024-05-05,11,BEL,Challenger_Pro_League
L. Schoofs,sbxnlkg50itbqkpuh8wnwk45,Lommel,30lkpynopz5r9obxg9f6glpqc,6,2,Midfielder,Centre/Right,NaN,50,3,9,1,17,3,1,33,63,20,90,26,7,8,45,22,30,3,3,3,5,2,2,2,NaN,6,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,433,NaN,Lommel vs Deinze,99108gmptcxqefh5fos9k3ris,2024-05-05,18,BEL,Challenger_Pro_League
Z. Vancsa,1hu3iacu14vimpwmzs42rpnh0,Lommel,30lkpynopz5r9obxg9f6glpqc,4,1,Striker,Left/Centre,NaN,45,6,6,1,8,NaN,5,37,46,8,90,2,NaN,3,39,27,28,NaN,NaN,NaN,NaN,NaN,1,NaN,6,9,5,NaN,3,NaN,NaN,,NaN,NaN,1,1,433,1,Lommel vs Deinze,99108gmptcxqefh5fos9k3ris,2024-05-05,6,BEL,Challenger_Pro_League
Diego Rosa,2gek3shxyc91h8bth9q8opyei,Lommel,30lkpynopz5r9obxg9f6glpqc,6,2,Striker,Centre,NaN,12,4,3,8,2,NaN,2,11,18,3,90,5,1,NaN,21,6,11,1,NaN,2,NaN,NaN,1,NaN,3,4,2,1,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,433,NaN,Lommel vs Deinze,99108gmptcxqefh5fos9k3ris,2024-05-05,15,BEL,Challenger_Pro_League
