id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,status,active,secondNationality,secondNationalityId,knownName,endDate
1tztnrv51q99ewl193qk526z9,Nemanja,Radonjić,Nemanja,Radonjic,Male,N. Radonjić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,1996-02-15,Niš,Serbia,5w4ve503bjdsshwx9ho6jxzx0,185.0,78.0,both,49.0,2024-09-03Z,active,yes,NaN,NaN,NaN,NaN
220koojz7ar4c37mpla6zb6jt,Nayair,Tiknizyan,Nair,Tiknizyan,Male,N. Tiknizyan,Armenia,687vx665s4d88stgnq72a84k6,Defender,player,1999-05-12,Sankt-Peterburg,Russia,7kfg68kh6n16fs4ap3xjiudr,182.0,82.0,left,23.0,2025-06-30Z,active,yes,Russia,7kfg68kh6n16fs4ap3xjiudr,NaN,NaN
2456sb5oj15equsuu5npj43my,Tomás Romano,Pereira dos Santos Händel,Tomás Romano,Pereira dos Santos Händel,Male,Tomás Händel,Portugal,1nbm5i9a0403zzvltn17lxinc,Midfielder,player,2000-11-27,Guimarães,Portugal,1nbm5i9a0403zzvltn17lxinc,180.0,73.0,left,NaN,2025-09-02Z,active,yes,Austria,hcs1bd49qliqqity6o268jyt,Tomás Händel,NaN
2rn6u5zf54wf4b7yv8k43s74k,Shavy Warren,Babicka,Shavy,Babicka,Male,S. Babicka,Gabon,6jfjrlsdz5ns00g4gvk9a6xav,Attacker,player,2000-06-01,Libreville,Gabon,6jfjrlsdz5ns00g4gvk9a6xav,179.0,75.0,right,80.0,2025-08-02Z,active,yes,NaN,NaN,NaN,NaN
2v3bbqm0o4jx6r3zrmlzh1cyd,Mirko,Ivanić,Mirko,Ivanic,Male,M. Ivanić,Montenegro,1411jebgwo2ja1erogsq81lg9,Midfielder,player,1993-09-13,Bački Jarak,Serbia,5w4ve503bjdsshwx9ho6jxzx0,182.0,70.0,both,4.0,2019-02-11Z,active,yes,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN
36j5r7fi17y9qthz8ip779l3o,Adem,Avdić,Adem,Avdic,Male,A. Avdić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,2007-09-24,Loznica,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,NaN,71.0,2025-07-01Z,active,yes,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN,NaN
3brp9vcz7bja0nfic48rx4p1x,Rodrigo,de Souza Prado,Rodrigo,de Souza Prado,Male,Rodrigão,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Defender,player,1995-09-11,Brasília,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,191.0,97.0,right,5.0,2025-06-30Z,active,yes,NaN,NaN,Rodrigão,NaN
3oub3l3mryzafp6wobgjbgxjp,Aleksandar,Katai,Aleksandar,Katai,Male,A. Katai,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,1991-02-06,Vrbas,Serbia,5w4ve503bjdsshwx9ho6jxzx0,182.0,70.0,right,10.0,2020-07-15Z,active,yes,NaN,NaN,NaN,NaN
3uku25ta6a40v6l8u4m65cxnu,Vladimir,Lučić,Vladimir,Lucic,Male,V. Lučić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,2002-06-28,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,NaN,37.0,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN
3v1fnp5e9pxfzgou5ebrgprrp,Rade,Krunić,Rade,Krunic,Male,R. Krunić,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Midfielder,player,1993-10-07,Foča,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,184.0,74.0,both,33.0,2024-09-03Z,active,yes,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN
