id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,shirtNumber,startDate,endDate,status,active,height,weight,foot,secondNationality,secondNationalityId,placeOfBirth,knownName,dateOfDeath
2jh0ekljbz0u77ha262t5lo2c,Sondre Nor,Midthjell,Sondre,Midthjell,Male,S. Midthjell,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Goalkeeper,player,2005-03-08,Norway,7f16iy4w8u8ogyn6pfooqwv5z,24.0,2023-01-08Z,2024-12-31Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2pohs62mdkgagfwvnh0jlh87p,David Thomas,Fällman,David,Fällman,Male,D. Fällman,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,1990-02-04,Sweden,1z6l2c33w2kyz9rdefs1d68nb,5.0,2021-02-15Z,2024-02-02Z,active,no,187.0,79.0,NaN,NaN,NaN,NaN,NaN,NaN
34wwqpo7jzb1vazqdawumqpnu,Isaac,Atanga,Isaac,Atanga,Male,I. Atanga,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,2000-06-14,Ghana,2q2sw72utw5gu9t5y4knckwba,19.0,2023-03-31Z,2024-08-17Z,active,no,173.0,NaN,right,NaN,NaN,NaN,NaN,NaN
3iolpwrv18gtlyse7ih3nt91w,Bjørn Martin,Kristensen,Bjørn,Kristensen,Male,B. Kristensen,Philippines,2bn52u7dpgfatwqumx224cczx,Attacker,player,2002-05-04,Norway,7f16iy4w8u8ogyn6pfooqwv5z,29.0,2022-08-23Z,2025-01-30Z,active,no,NaN,NaN,NaN,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN
3q2o859vj8kv2p71j7qvypo7p,Sten Michael,Grytebust,Sten,Grytebust,Male,S. Grytebust,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Goalkeeper,player,1989-10-25,Norway,7f16iy4w8u8ogyn6pfooqwv5z,1.0,2022-02-15Z,NaN,active,yes,187.0,86.0,right,NaN,NaN,Ålesund,NaN,NaN
48nktvp3cg5kafpg80bayvhlh,Amidou,Diop,Amidou,Diop,Male,A. Diop,Senegal,6hhqyhr5cwq2pfprlazyposyk,Midfielder,player,1992-02-25,Senegal,6hhqyhr5cwq2pfprlazyposyk,21.0,2023-02-03Z,2024-08-22Z,active,no,196.0,75.0,right,NaN,NaN,Missirah,Amidou Diop,NaN
4lxxyqy78jkglhv2w6crzcnsa,Ole Martin,Lekven Kolskogen,Ole,Kolskogen,Male,O. Kolskogen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2001-01-20,Norway,7f16iy4w8u8ogyn6pfooqwv5z,14.0,2023-02-12Z,2023-08-08Z,active,no,187.0,73.0,right,NaN,NaN,Bergen,NaN,NaN
4m6ym75e20l2v8s5tk3tpoa38,Moctar,Diop,Moctar,Diop,Male,M. Diop,Senegal,6hhqyhr5cwq2pfprlazyposyk,Attacker,player,2005-01-06,Senegal,6hhqyhr5cwq2pfprlazyposyk,27.0,2023-03-31Z,2024-09-02Z,active,no,193.0,88.0,left,NaN,NaN,NaN,NaN,NaN
4o45pcl7siyfuin77p0jq8ff8,Sebastian,Berntsen,Sebastian,Berntsen,Male,S. Berntsen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2005-12-07,Norway,7f16iy4w8u8ogyn6pfooqwv5z,35.0,2023-01-08Z,2025-06-13Z,active,no,171.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4v39shau9mp6me6c42p230nah,Håkon,Butli Hammer,Håkon,Hammer,Male,H. Hammer,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2000-03-28,Norway,7f16iy4w8u8ogyn6pfooqwv5z,8.0,2023-07-25Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4wlvzxfhfbo5tv2dy3vc1t6ac,Christian,Mork Breivik,Christian,Breivik,Male,C. Breivik,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2004-07-31,Norway,7f16iy4w8u8ogyn6pfooqwv5z,36.0,2022-03-31Z,2024-03-12Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57d8deogl8yh6m7inliz3wfmc,Simen,Vatne Haram,Simen,Haram,Male,S. Haram,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2005-01-26,Norway,7f16iy4w8u8ogyn6pfooqwv5z,33.0,2023-01-10Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5o0fxukxf2vk527woguaqigic,Stian,Aarønes Holte,Stian,Aarønes Holte,Male,S. Holte,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2003-04-15,Norway,7f16iy4w8u8ogyn6pfooqwv5z,34.0,2022-11-01Z,2024-02-29Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5o2h1ig2m8zygzk4xx53np1ck,Iver,Krogh Hagen,Iver,Hagen,Male,I. Hagen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2004-05-08,Norway,7f16iy4w8u8ogyn6pfooqwv5z,41.0,2022-06-01Z,2024-02-15Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696i0ur3sujuz23ylejnx10b9,Alexander Juel,Andersen,Alexander,Andersen,Male,A. Andersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1991-01-29,Denmark,5adf60vwiw2f2mibyq1k4ex7i,30.0,2022-08-01Z,2023-12-11Z,active,no,190.0,82.0,both,NaN,NaN,Viborg,NaN,NaN
6zxcmzp7w6esj54g05tvk7ai1,Kasper,Lunding Jakobsen,Kasper,Lunding,Male,K. Lunding,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1999-07-17,Denmark,5adf60vwiw2f2mibyq1k4ex7i,7.0,2023-01-08Z,2023-09-01Z,active,no,178.0,69.0,left,NaN,NaN,NaN,NaN,NaN
78k1mu9i0x0zgoqs03f81eok5,Alexander,Stølås,Alexander,Stølås,Male,A. Stølås,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1989-04-30,Norway,7f16iy4w8u8ogyn6pfooqwv5z,23.0,2023-03-31Z,2023-07-31Z,active,no,182.0,NaN,left,NaN,NaN,Kopervik,NaN,NaN
7fsqcwqftmk6lms6f6u8lpdlg,Sander,Hestetun Kilen,Sander,Kilen,Male,S. Kilen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,2005-05-30,Norway,7f16iy4w8u8ogyn6pfooqwv5z,25.0,2023-01-08Z,2025-03-04Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8bbthllihpuuc5dbzxxyu6xg5,Sindre,Eid,NaN,NaN,Male,S. Eid,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,assistant coach,1975-09-29,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,2023-09-14Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8frrnyextzno58dksvnpy61ud,Martin,Ramsland,Martin,Ramsland,Male,M. Ramsland,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,1993-04-02,Norway,7f16iy4w8u8ogyn6pfooqwv5z,18.0,2023-08-12Z,2024-12-31Z,active,no,183.0,NaN,right,NaN,NaN,marnardal,NaN,NaN
8ho7btmnqcs62fewp8y7dpex,Erlend,Segberg,Erlend,Segberg,Male,E. Segberg,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1997-04-12,Norway,7f16iy4w8u8ogyn6pfooqwv5z,6.0,2021-02-16Z,2024-03-13Z,active,no,183.0,79.0,NaN,NaN,NaN,Kristiansand,NaN,NaN
8lmwkbnbvsno7azaxrxsk8xrd,Christian,Johnsen,Christian,Johnsen,Male,C. Johnsen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,coach,1977-06-10,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,2023-07-01Z,2024-06-18Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8u1ii0vmhpub1p2gbsk1w7yzt,Michael Ryan,Lansing,Michael,Lansing,Male,M. Lansing,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,1994-06-13,USA,7hr2f89v44y65dyu9k92vprwn,13.0,2021-01-13Z,2024-01-14Z,active,no,193.0,84.0,right,NaN,NaN,Randolph,NaN,NaN
8xim1ji9vq8lwkgkg10du2zje,Alexander,Ballegaard Ammitzbøll,Alexander,Ammitzbøll,Male,A. Ammitzbøll,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,1999-02-17,Denmark,5adf60vwiw2f2mibyq1k4ex7i,9.0,2022-03-31Z,NaN,active,yes,187.0,79.0,right,NaN,NaN,Skanderborg,NaN,NaN
8zteu1nxp77bebzskx8jzj5nu,Moses,Ebiye,Moses,Ebiye,Male,M. Ebiye,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,1997-04-28,Nigeria,63pvdwrsiq5b07mzi8igqei9p,11.0,2022-08-19Z,2024-01-01Z,active,no,185.0,NaN,NaN,NaN,NaN,Warri,NaN,NaN
9b7z2mkiaqieo6u0ch0a3uxyi,Kristoffer,Strand Ødven,Kristoffer,Ødven,Male,K. Ødven,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2002-02-10,Norway,7f16iy4w8u8ogyn6pfooqwv5z,32.0,2023-01-01Z,2024-12-31Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9bw9c0w71vchlw2kj810bj3ai,Oscar,Solnørdal,Oscar,Solnørdal,Male,O. Solnørdal,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2002-10-23,Norway,7f16iy4w8u8ogyn6pfooqwv5z,20.0,2023-08-01Z,2024-03-07Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9u9cm8pb6gphjiwkfh4dg5mfp,Kristoffer,Ødemarksbakken,Kristoffer,Ødemarksbakken,Male,K. Ødemarksbakken,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1995-12-05,Norway,7f16iy4w8u8ogyn6pfooqwv5z,15.0,2021-01-28Z,2023-12-11Z,active,no,181.0,72.0,right,NaN,NaN,Maura,NaN,NaN
at9zibrwdhopny4t0ibnjgpw4,Eivind,Strømsheim Kolve,Eivind,Kolve,Male,E. Kolve,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2004-10-22,Norway,7f16iy4w8u8ogyn6pfooqwv5z,40.0,2022-06-01Z,2025-03-18Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
