id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,endDate,status,active,secondNationality,secondNationalityId,knownName
1asrguqxyo7rmoyamggwd9oq2,Ahmetcan,Kaplan,Ahmetcan,Kaplan,Male,A. Kaplan,Türkiye,6kd6webenogylfgwt2aa9l6vx,Defender,player,2003-01-16,Trabzon,Türkiye,6kd6webenogylfgwt2aa9l6vx,189.0,72.0,left,13.0,2022-08-19Z,2025-08-29Z,active,no,NaN,NaN,NaN
1c4fzmrwmlwaqmqomge14rqc4,Dies,Janse,Dies,Janse,Male,D. Janse,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2006-01-17,Goes,Netherlands,6hzi5pltnz67q4la8yli9qfv6,196.0,NaN,left,36.0,2024-07-04Z,2025-08-19Z,active,no,NaN,NaN,NaN
1ftov4tclo53l0sza0md8ihg5,Frank,Peereboom,Frank,Peereboom,Male,F. Peereboom,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,assistant coach,1979-04-11,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,NaN,2025-07-01Z,NaN,active,yes,NaN,NaN,NaN
1wse4b1hxu37e7t5ty5ykn7c9,Josip,Šutalo,Josip,Sutalo,Male,J. Šutalo,Croatia,37hlakrwxyuzovaeoo4sezusp,Defender,player,2000-02-28,Čapljina,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,185.0,82.0,right,37.0,2023-08-20Z,NaN,active,yes,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN
1x6fhuy49w4rpnyavwotbf504,Tristan,Gooijer,Tristan,Gooijer,Male,T. Gooijer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2004-09-02,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,185.0,80.0,right,NaN,2025-07-01Z,2025-08-29Z,active,no,NaN,NaN,NaN
264gu641hrd38wqf28xolwhlg,Rayane,Bounida,Rayane,Bounida,Male,R. Bounida,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,2006-03-03,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,179.0,NaN,right,43.0,2025-02-01Z,NaN,active,yes,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN
2rsqkarlkh6z8vrb0clfbz6xh,Branco,van den Boomen,Branco,van den Boomen,Male,B. van den Boomen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,1995-07-21,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,75.0,right,21.0,2023-07-01Z,NaN,active,yes,NaN,NaN,NaN
2vp8f9x46i2ptaf08xv7a85xw,Paul,Peters Reverson,Paul,Reverson,Male,P. Reverson,Ghana,2q2sw72utw5gu9t5y4knckwba,Goalkeeper,player,2005-06-20,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,194.0,NaN,right,52.0,2024-07-12Z,NaN,active,yes,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN
2wesmq2wuhnuwh2yhgkuaxqfo,Aaron,Bouwman,Aaron,Bouwman,Male,A. Bouwman,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2007-08-28,Haarlem,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,71.0,right,30.0,2024-07-17Z,NaN,active,yes,England,1fk5l4hkqk12i7zske6mcqju6,NaN
2zkaf848fjcdhuii8783pkm7e,Youri Pieter,Regeer,Youri,Regeer,Male,Y. Regeer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2003-08-18,Haarlem,Netherlands,6hzi5pltnz67q4la8yli9qfv6,177.0,68.0,right,44.0,2025-01-24Z,NaN,active,yes,NaN,NaN,NaN
32n3284h95a93yq9h7hbw5hp1,Chuba Amechi,Akpom,Chuba,Akpom,Male,C. Akpom,England,1fk5l4hkqk12i7zske6mcqju6,Attacker,player,1995-10-09,London,England,1fk5l4hkqk12i7zske6mcqju6,183.0,70.0,right,NaN,2025-07-01Z,2025-08-10Z,active,no,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN
35qg0rrwtl00pycx468s62m3u,Kenneth Ina Dorothea,Taylor,Kenneth,Taylor,Male,K. Taylor,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2002-05-16,Alkmaar,Netherlands,6hzi5pltnz67q4la8yli9qfv6,182.0,75.0,left,8.0,2019-07-21Z,NaN,active,yes,NaN,NaN,NaN
3mctpepmqunc1a8zro2nq1wtm,Vítězslav,Jaroš,Vítezslav,Jaros,Male,V. Jaroš,Czechia,5md5tpwr2nmqao528prx43jr7,Goalkeeper,player,2001-07-23,Příbram,Czechia,5md5tpwr2nmqao528prx43jr7,190.0,88.0,right,1.0,2025-06-23Z,2026-06-30Z,active,yes,NaN,NaN,NaN
3rve12v22lh39aaqgjlwlmhas,Don-Angelo Christoffel,Annum-Assamoah Konadu,Don-Angelo,Konadu,Male,D. Konadu,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2006-05-03,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,173.0,60.0,right,19.0,2024-07-04Z,NaN,active,yes,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN
41a3sd931he0ckduq5khbnaol,Johnny Gijsbert Alan,Heitinga,John,Heitinga,Male,J. Heitinga,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,coach,1983-11-15,Alphen aan den Rijn,Netherlands,6hzi5pltnz67q4la8yli9qfv6,180.0,72.0,right,NaN,2025-05-31Z,NaN,active,yes,NaN,NaN,NaN
47l204bkq2qqjhtazusr0019m,Youri Pieter,Baas,Youri,Baas,Male,Y. Baas,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2003-03-17,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,182.0,71.0,left,15.0,2024-07-01Z,NaN,active,yes,NaN,NaN,NaN
4fu2agdclsyxx1boxxibauzo4,Gerald,Alders,Gerald,Alders,Male,G. Alders,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2005-05-07,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,179.0,NaN,right,41.0,2025-07-04Z,NaN,active,yes,Namibia,5gnafp0jaansh8iqoslamuwdc,NaN
4n18t6bixl6ba3bx76hym51qs,Anton,Gaaei,Anton,Gaaei,Male,A. Gaaei,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2002-11-19,Viborg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,183.0,73.0,right,3.0,2023-08-17Z,NaN,active,yes,NaN,NaN,NaN
4utx4h5jz14whtjawxn7ox0r8,Nick,Verschuren,Nick,Verschuren,Male,N. Verschuren,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2005-01-13,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,182.0,67.0,right,42.0,2023-08-18Z,2025-08-11Z,active,no,NaN,NaN,NaN
54levoye6r94n6hun15r81eqd,Urby Vitorrio Diego,Emanuelson,Urby,Emanuelson,Male,U. Emanuelson,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,assistant coach,1986-06-16,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,176.0,68.0,left,NaN,2025-07-01Z,NaN,active,yes,NaN,NaN,NaN
56nbghr9snc79dt8h99wleej8,Sean,Steur,Sean,Steur,Male,S. Steur,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2008-01-11,Purmerend,Netherlands,6hzi5pltnz67q4la8yli9qfv6,183.0,NaN,both,48.0,2025-02-08Z,NaN,active,yes,NaN,NaN,NaN
57btqxe5sy3ygzxpp55p4umdx,Wout François Maria,Weghorst,Wout,Weghorst,Male,W. Weghorst,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,1992-08-07,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,197.0,84.0,right,25.0,2024-08-29Z,NaN,active,yes,NaN,NaN,NaN
6km3r9cspyz7g6343o9mri63u,Raúl,Moro Prescoli,Raúl,Moro,Male,Raúl Moro,Spain,49ih1pwv3ahshdf8uzrimi54c,Attacker,player,2002-12-05,Abrera,Spain,49ih1pwv3ahshdf8uzrimi54c,169.0,68.0,right,7.0,2025-07-15Z,NaN,active,yes,NaN,NaN,NaN
