id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,status,active,endDate,knownName
1jeb7li66vn913oub7t7l7x79,Rigino,Cicilia,Rigino,Cicilia,Male,R. Cicilia,Curaçao,5im58ram567ao2fbnz39sm8vk,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,1994-09-23,Willemstad,Curaçao,5im58ram567ao2fbnz39sm8vk,197.0,86.0,right,22.0,2023-07-01Z,active,yes,NaN,NaN
1oqsye3np44f24kfne286k6ol,Michal,Trávník,Michal,Trávník,Male,M. Trávník,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1994-05-17,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,175.0,70.0,right,10.0,2022-07-02Z,active,yes,NaN,NaN
1v5y449fu6px4eb1h790ao4d0,Lukáš,Novotný,NaN,NaN,Male,L. Novotný,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2006-06-03,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,NaN,2024-05-04Z,active,yes,NaN,NaN
209wyv4pyr9oqpp3w9f7t2m8k,David,Kratochvíla,David,Kratochvíla,Male,D. Kratochvíla,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,2002-06-09,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,8.0,2023-05-01Z,active,no,2024-07-12Z,NaN
2bf28lr218vw4pxri6ovksa5m,Matěj,Valenta,Matej,Valenta,Male,M. Valenta,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2000-02-09,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,182.0,76.0,NaN,21.0,2023-07-01Z,active,no,2024-02-09Z,NaN
3cjnv01izgm7cgygm6ygb8kid,Michal,Kadlec,Michal,Kadlec,Male,M. Kadlec,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1984-12-13,Vyškov,Czechia,5md5tpwr2nmqao528prx43jr7,183.0,78.0,left,3.0,2018-08-10Z,retired,no,2024-06-21Z,NaN
3cll4hlo919ttg7ninjcgy02d,Milan,Petržela,Milan,Petrzela,Male,M. Petržela,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1983-06-19,Hoštice-Heroltice,Czechia,5md5tpwr2nmqao528prx43jr7,172.0,64.0,right,11.0,2019-07-03Z,active,no,2025-01-13Z,NaN
3nkj0306ffqd6g5jxqh4pnhpm,Marcel,Novák,NaN,NaN,Male,M. Novák,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,Midfielder,player,2002-06-12,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,NaN,2024-04-20Z,active,no,2024-05-31Z,NaN
4ic6tao3a4kk8g01udjnc5v4l,Tomáš,Břečka,Tomás,Brecka,Male,T. Břečka,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1994-05-12,Kromeriz,Czechia,5md5tpwr2nmqao528prx43jr7,185.0,85.0,left,5.0,2022-09-02Z,active,no,2025-01-30Z,NaN
4ubkf4v7ka2h7tyd7wt1fyoa2,Seung-Bin,Kim,Seung-Bin,Kim,Male,Kim Seung-Bin,Korea Republic,4vzpxtqkiwx0puygnmayr74di,NaN,NaN,Midfielder,player,2000-12-28,NaN,Korea Republic,4vzpxtqkiwx0puygnmayr74di,NaN,NaN,NaN,18.0,2023-01-01Z,active,yes,NaN,Kim Seung-Bin
57lh551wzmyjrw2qt9j97lh3p,Milan,Heča,Milan,Heca,Male,M. Heča,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Goalkeeper,player,1991-03-21,Krumvíř,Czechia,5md5tpwr2nmqao528prx43jr7,192.0,82.0,right,29.0,2023-07-01Z,active,yes,NaN,NaN
5poctr282gyyf123ouhs0pduy,Filip,Vecheta,Filip,Vecheta,Male,F. Vecheta,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,2003-02-15,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,179.0,NaN,NaN,9.0,2019-05-20Z,active,no,2024-08-02Z,NaN
5t9iyv0nltknsabsxcjehqr4l,Vlasiy,Sinyavskiy,Vlasiy,Sinyavskiy,Male,V. Sinyavskiy,Estonia,64smib5liu1qh78iaylufxj99,NaN,NaN,Midfielder,player,1996-11-27,Narva,Estonia,64smib5liu1qh78iaylufxj99,180.0,72.0,right,99.0,2022-07-01Z,active,yes,2025-06-20Z,NaN
64wc7lkexulw4plr6scfb9al1,Martin,Svědík,Martin,Svedík,Male,M. Svědík,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,coach,1974-06-27,Pardubice,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,NaN,2018-11-11Z,active,no,2024-06-30Z,NaN
7llqm4lls6sv4rtnohhukgduc,Vojtěch,Bartoš,Vojtech,Bartos,Male,V. Bartoš,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,2002-01-14,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,26.0,2024-01-01Z,active,no,2024-04-30Z,NaN
7nw2ismkbgv3u53ua2glahbhm,Merchas,Ghazi Salih Doski,Merchas,Ghazi Salih Doski,Male,Merchas Doski,Iraq,1uzblzx1s42jn6zk6hivjzby8,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1999-12-07,Hannover,Germany,36min0qztu8eydwvpv8t1is0m,172.0,96.0,left,14.0,2022-07-01Z,active,no,2025-01-26Z,Merchas Doski
7rnm276h0mlh80phczbovj10,Jan,Vychodil,NaN,NaN,Male,J. Vychodil,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Goalkeeper,player,2005-07-18,Brno,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,1.0,2024-04-12Z,active,no,2024-04-30Z,NaN
846noswumd4tahm2f7p9g6iac,Pavel,Juroška,Pavel,Juroska,Male,P. Juroška,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2001-07-07,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,177.0,NaN,NaN,24.0,2022-01-26Z,active,yes,NaN,NaN
84exofm9yvlggtsgmk1pzkcbu,Marko,Merdovič,Marko,Merdovic,Male,M. Merdovič,Montenegro,1411jebgwo2ja1erogsq81lg9,NaN,NaN,Defender,player,1998-11-17,NaN,Montenegro,1411jebgwo2ja1erogsq81lg9,NaN,NaN,NaN,NaN,2024-01-01Z,active,no,2024-02-12Z,NaN
8te9p6ttm6mpx77b4tq79gidw,Daniel,Holásek,Daniel,Holásek,Male,D. Holásek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,2004-04-22,Brno,Czechia,5md5tpwr2nmqao528prx43jr7,185.0,NaN,right,16.0,2023-02-23Z,active,no,2024-07-25Z,NaN
96c2zn0ugltcf1b0ldscqb179,Patrik,Brandner,Patrik,Brandner,Male,P. Brandner,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,1994-01-04,Drozdov,Czechia,5md5tpwr2nmqao528prx43jr7,180.0,75.0,right,NaN,2022-06-17Z,active,no,2024-02-15Z,NaN
9udih61a8rpolajfiwzfu0bmd,Daniel,Holzer,Daniel,Holzer,Male,D. Holzer,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1995-08-18,Ostrava,Czechia,5md5tpwr2nmqao528prx43jr7,175.0,64.0,left,7.0,2021-07-01Z,active,no,2024-06-21Z,NaN
9w2bownico3dfp96yvyiitqdx,Jan,Baránek,NaN,NaN,Male,J. Baránek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,assistant coach,1970-07-01,Uherské Hradiště,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,NaN,2023-07-22Z,retired,no,2024-10-27Z,NaN
a9oj6tuugqdq5va6dy9mmw639,Jan,Baránek,Jan,Baranek,Male,J. Baránek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,assistant coach,1993-06-26,Opava,Czechia,5md5tpwr2nmqao528prx43jr7,192.0,85.0,right,NaN,2023-07-22Z,active,no,2024-10-27Z,NaN
ajjw65yizvdjj82h6oe15jpih,Michal,Kohút,Michal,Kohút,Male,M. Kohút,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2000-06-04,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,182.0,78.0,left,13.0,2020-01-01Z,active,no,2025-01-26Z,NaN
aprzekzw2al3nf4dglv6eicb9,Marek,Havlík,Marek,Havlík,Male,M. Havlík,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1995-07-08,Lubná,Czechia,5md5tpwr2nmqao528prx43jr7,178.0,71.0,left,20.0,2013-05-25Z,active,yes,NaN,NaN
b0m2tr3d2xvi05pys67izxu96,Josef,Mucha,Josef,Mucha,Male,J. Mucha,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,assistant coach,1967-10-07,Prostějov,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,NaN,2021-04-30Z,active,yes,NaN,NaN
bpce4a18ff1ssxykqnq6s6nvu,Jan,Palínek,Jan,Palínek,Male,J. Palínek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,assistant coach,1969-02-13,Přerov,Czechia,5md5tpwr2nmqao528prx43jr7,181.0,73.0,NaN,NaN,2020-03-06Z,active,no,2024-10-27Z,NaN
bvwwdzqz77e99m0ugla4vtud,Tomáš,Fryšták,Tomás,Frysták,Male,T. Fryšták,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Goalkeeper,player,1987-08-18,Uherské Hradiště,Czechia,5md5tpwr2nmqao528prx43jr7,193.0,83.0,right,30.0,2022-01-26Z,active,yes,NaN,NaN
by7hjiqxbh17o7xdwjjzhi1g5,Marko,Kvasina,Marko,Kvasina,Male,M. Kvasina,Austria,hcs1bd49qliqqity6o268jyt,NaN,NaN,Attacker,player,1996-12-20,Wien,Austria,hcs1bd49qliqqity6o268jyt,195.0,79.0,right,27.0,2024-01-01Z,active,yes,NaN,NaN
cg3fk0cm3r2edv5u9ng4ef4yd,Ondřej,Mihálik,Ondrej,Mihálik,Male,O. Mihálik,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1997-04-02,Jablonec nad Nisou,Czechia,5md5tpwr2nmqao528prx43jr7,187.0,74.0,right,17.0,2022-08-10Z,active,no,2024-06-21Z,NaN
cq4d8qi8vt9idz0qsam4opmhg,Alexandr,Urban,NaN,NaN,Male,A. Urban,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Goalkeeper,player,2004-04-20,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,193.0,NaN,NaN,31.0,2023-07-01Z,active,no,2025-02-18Z,NaN
cqk9istk6ldbfe5bnoqzhih91,Vlastimil,Daníček,Vlastimil,Danícek,Male,V. Daníček,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1991-07-15,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,187.0,79.0,right,28.0,2015-07-01Z,active,yes,NaN,NaN
cuzh8i64qj7hcna5gqccfvgus,Jaromír,Srubek,Jaromír,Srubek,Male,J. Srubek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,2000-09-21,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,4.0,2023-07-01Z,active,no,2024-02-13Z,NaN
d2ua4dqxer9zjh1ulsulmbz6x,Patrik,Blahút,NaN,NaN,Male,P. Blahút,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,Midfielder,player,1997-10-07,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,15.0,2024-01-24Z,active,no,2024-06-20Z,NaN
dm9kjpp1890x425ybu1i2u9cl,Stanislav,Hofmann,Stanislav,Hofmann,Male,S. Hofmann,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1990-06-17,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,190.0,83.0,NaN,6.0,2015-07-01Z,active,no,2025-02-08Z,NaN
e2y6124q2ysahmnc5i0gn6ej8,Josef,Andres,Josef,Andres,Male,J. Andres,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Goalkeeper,player,2002-11-12,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,NaN,2023-09-01Z,active,no,2023-12-31Z,NaN
e7xj7n8dnnuwt406b7uztzx0,Štěpán,Břečka,NaN,NaN,Male,Š. Břečka,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,2004-04-02,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,NaN,2023-09-26Z,active,no,2024-06-21Z,NaN
