id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,weight,shirtNumber,startDate,status,active,endDate,placeOfBirth,foot,secondNationality,secondNationalityId,knownName
172cxj9mocjk4cor42kjka3mx,Eirik,Franke Saunes,Eirik,Saunes,Male,E. Saunes,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1998-09-22,Norway,7f16iy4w8u8ogyn6pfooqwv5z,189.0,72.0,14.0,2023-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
1iyf1mk4eakjc13z8iwvts222,Mats,Selmer Thornes,Mats,Thornes,Male,M. Thornes,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2002-08-25,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,7.0,2024-07-24Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
2gxvele61txnvuc7sxszfqaga,Jacob,Haahr Steffensen,Jacob,Haahr,Male,J. Haahr,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2002-03-10,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,5.0,2024-01-31Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
342b6q9d0ghvvizc2s6801ses,Sjur,Torgersen Jonassen,Sjur,Jonassen,Male,S. Jonassen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,2004-10-03,Norway,7f16iy4w8u8ogyn6pfooqwv5z,186.0,75.0,32.0,2022-07-17Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
34lcrlx7ddks5ko8s8opi44k4,Heine,Åsen Larsen,Heine,Larsen,Male,H. Larsen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2002-07-09,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,2025-08-21Z,active,yes,2025-12-31Z,NaN,NaN,NaN,NaN,NaN
39zbpdxha7mync2430sxuig9h,Jon-Helge,Ødegård Tveita,Jon-Helge,Tveita,Male,J. Tveita,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1992-10-22,Norway,7f16iy4w8u8ogyn6pfooqwv5z,184.0,80.0,15.0,2024-02-19Z,active,yes,NaN,Stavanger,right,NaN,NaN,NaN
3f9kn99zklbuxb2oddgjchzis,Patrick André,Wik,Patrick,Wik,Male,P. Wik,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2004-10-05,Norway,7f16iy4w8u8ogyn6pfooqwv5z,188.0,80.0,NaN,2025-08-09Z,active,yes,NaN,NaN,right,NaN,NaN,NaN
3jgniouh70v4y74ly7u681o89,Dadi Dodou,Gaye,Dadi,Gaye,Male,D. Gaye,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Defender,player,1995-03-21,Norway,7f16iy4w8u8ogyn6pfooqwv5z,183.0,75.0,16.0,2025-01-30Z,active,yes,NaN,Oslo,both,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN
3y08h3oqdou5o9q31dpuh5uxh,Magnus Retsius,Grødem,Magnus,Grødem,Male,M. Grødem,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1998-08-14,Norway,7f16iy4w8u8ogyn6pfooqwv5z,193.0,84.0,NaN,2025-09-02Z,active,yes,2026-06-30Z,Bryne,right,NaN,NaN,NaN
4z3w46k9n0yocg319dcewwz8q,Lars Erik,Sødal,Lars,Sødal,Male,L. Sødal,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2002-05-26,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,8.0,2024-02-05Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
