id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,endDate,status,active,secondNationality,secondNationalityId,knownName
1arzd8hqj73byhduozscqz5uy,Mathias,Jørgensen,Mathias,Jørgensen,Male,M. Jørgensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2000-09-20,Hundested,Denmark,5adf60vwiw2f2mibyq1k4ex7i,185.0,79.0,right,11.0,2024-02-01Z,2025-07-24Z,active,no,NaN,NaN,NaN
1dvhwhz4n5f9cf4ts58rfu21,Nils Daniel Erik,Ask,Daniel,Ask,Male,D. Ask,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,1998-12-20,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,NaN,NaN,2025-01-01Z,2025-01-22Z,active,no,NaN,NaN,NaN
20g27z0cklenjg7k0ox73wyc5,Aaron,Seydel,Aaron,Seydel,Male,A. Seydel,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,1996-02-07,Langen,Germany,36min0qztu8eydwvpv8t1is0m,199.0,90.0,left,19.0,2025-01-15Z,NaN,active,yes,NaN,NaN,NaN
2k8bmlxzt0qi7divtxye0a5ii,Isak,Hansen-Aarøen,Isak,Hansen-Aarøen,Male,I. Hansen-Aarøen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2004-08-22,Tromsø,Norway,7f16iy4w8u8ogyn6pfooqwv5z,173.0,67.0,right,23.0,2025-01-03Z,2025-06-30Z,active,no,NaN,NaN,NaN
2o5atg0lz3jy7k86tyqda8h04,Eugene,Ampofoh Amankwah,Eugene,Amankwah,Male,E. Amankwah,Ghana,2q2sw72utw5gu9t5y4knckwba,Defender,player,2004-11-30,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba,176.0,NaN,left,35.0,2024-07-13Z,2025-02-03Z,active,no,NaN,NaN,NaN
2s4umgp3yqnb2hubfoaxhwr2s,Christian,Tcacenco,Christian,Tcacenco,Male,C. Tcacenco,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2007-05-16,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,right,25.0,2025-03-10Z,NaN,active,yes,NaN,NaN,NaN
3q4tnk1z46lop4rbdpjtfoc2c,Viktor Melker,Widell,Melker,Widell,Male,M. Widell,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,2002-04-19,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,181.0,69.0,right,8.0,2025-01-31Z,2025-06-30Z,active,no,NaN,NaN,NaN
3tka46re2gsi9uw7pbxx5m0pg,Bertil Magne,Grønkjær Pedersen,Bertil,Pedersen,Male,B. Pedersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2007-07-24,Aalborg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,195.0,NaN,right,40.0,2023-12-01Z,NaN,active,yes,NaN,NaN,NaN
3xvocl5rk3rkgilofj2fplkyy,Menno,van Dam,Menno,van Dam,Male,M. van Dam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,coach,1983-06-19,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,NaN,2024-05-27Z,2025-04-21Z,active,no,NaN,NaN,NaN
459om58d2un5g9heiqlejibkk,Michael,Meyhoff Andersen,Michael,Meyhoff,Male,M. Meyhoff,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,assistant coach,1990-03-20,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,NaN,2025-02-22Z,NaN,active,yes,NaN,NaN,NaN
