id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,status,active,endDate,secondNationality,secondNationalityId,knownName
1h31bvtbae4q0edlp0u672hn9,Jesper,Hansen,Jesper,Hansen,Male,J. Hansen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,1985-03-31,Slangerup,Denmark,5adf60vwiw2f2mibyq1k4ex7i,188.0,78.0,right,1.0,2021-06-17Z,active,yes,NaN,NaN,NaN,NaN
2chzathpj8o0eoxedlxkklc5x,Jakob Bendix Uhd,Poulsen,Jakob,Poulsen,Male,J. Poulsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,coach,1983-07-07,Varde,Denmark,5adf60vwiw2f2mibyq1k4ex7i,181.0,74.0,right,NaN,2025-06-20Z,active,yes,NaN,NaN,NaN,NaN
2k1v6526ielemu1w3rayxdkkq,Sebastian,Vinther Jørgensen,Sebastian,Jørgensen,Male,S. Jørgensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2000-06-08,Silkeborg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,183.0,68.0,left,8.0,2025-07-14Z,active,yes,2026-06-30Z,NaN,NaN,NaN
3fxf2je8r5tx5bax9ircvr95g,Stefen Erwan,Tchamche,Stefen,Tchamche,Male,S. Tchamche,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2006-01-08,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,27.0,2025-05-03Z,active,yes,NaN,NaN,NaN,NaN
3gemcjqban843su9c9y5l2sk4,Jacob Florentin,Andersen,Jacob,Andersen,Male,J. Andersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2004-01-26,Galten,Denmark,5adf60vwiw2f2mibyq1k4ex7i,186.0,78.0,right,26.0,2022-04-02Z,active,yes,NaN,NaN,NaN,NaN
3l3v5wj4c7vtqqwu05b526590,Jonas,Jensen-Abbew,Jonas,Jensen-Abbew,Male,J. Jensen-Abbew,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2002-04-20,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,189.0,86.0,left,40.0,2024-02-01Z,active,yes,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN
3sadup8mjwu4dc96wz6lmixn9,Patrick,Mortensen,Patrick,Mortensen,Male,P. Mortensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,1989-07-13,Kopenhagen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,188.0,81.0,right,9.0,2019-01-12Z,active,yes,NaN,NaN,NaN,NaN
3uytpqx0e0jr6zgbfl1znsm7e,Tobias,Bech Kristensen,Tobias,Bech,Male,T. Bech,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2002-02-19,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,189.0,77.0,left,31.0,2023-06-26Z,active,yes,NaN,NaN,NaN,NaN
43q9ytkbmtk5y3tgv77v7pmg9,Mads Emil,Møller Madsen,Mads Emil,Madsen,Male,M. Madsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1998-01-14,Skanderborg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,189.0,84.0,left,7.0,2022-07-01Z,active,no,2025-09-02Z,NaN,NaN,NaN
4vmgmzg2004twoc39sk7zkzqh,Neo Gift,Links,Gift,Links,Male,G. Links,South Africa,1kiwby3xmt97m3ejw76qs4i6k,Midfielder,player,1998-10-02,Rustenburg,South Africa,1kiwby3xmt97m3ejw76qs4i6k,170.0,60.0,left,11.0,2019-09-01Z,active,yes,NaN,NaN,NaN,NaN
