id,firstName,lastName,shortFirstName,shortLastName,knownName,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,status,active,gender
1b9b97pxox77ia41cilqqm4iy,Elio Nicolas,de Araujo Firmino,Elio Nicolas,de Araujo Firmino,Nick Firmino,Nick Firmino,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2001-01-30,Mantena,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,180.0,79.0,right,30.0,active,yes,NaN
1lomb7f44ltsoyxg1er4pg1jp,Rob,Valentino,Rob,Valentino,NaN,R. Valentino,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,coach,1985-12-21,Hoffman Estates,USA,7hr2f89v44y65dyu9k92vprwn,191.0,86.0,NaN,NaN,active,yes,NaN
216tgeofjnxr75ehcftkvxkpg,Adyn,Torres,Adyn,Torres,NaN,A. Torres,USA,7hr2f89v44y65dyu9k92vprwn,Portugal,1nbm5i9a0403zzvltn17lxinc,Midfielder,player,2007-11-13,Silver Spring,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,23.0,active,yes,NaN
234q7lf0bx51r8wehvg51r4k5,Brooks Howard,Lennon,Brooks,Lennon,NaN,B. Lennon,USA,7hr2f89v44y65dyu9k92vprwn,Republic of Ireland,63nepb66un7juhglo2g6rezcl,Defender,player,1997-09-22,Paradise Valley,USA,7hr2f89v44y65dyu9k92vprwn,178.0,71.0,right,11.0,active,yes,NaN
26r7731d42flwc6ikxb90jxlh,Bradley Edwin,Guzan,Brad,Guzan,NaN,B. Guzan,USA,7hr2f89v44y65dyu9k92vprwn,Poland,27baqb7359ywdvsxxklx1kn11,Goalkeeper,player,1984-09-09,Evergreen Park,USA,7hr2f89v44y65dyu9k92vprwn,193.0,94.0,left,1.0,active,yes,NaN
2m4iwb3oo5zzfbxrua7ver3kl,Michael Dax,McCarty,Dax,McCarty,NaN,D. McCarty,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Midfielder,player,1987-04-30,Winter Park,USA,7hr2f89v44y65dyu9k92vprwn,176.0,68.0,right,13.0,active,yes,NaN
2m8qy80axrfogcwd8ryy17vmd,Gonzalo,Pineda Reyes,Gonzalo,Pineda,NaN,G. Pineda,Mexico,5trdr3jf42i20zj1hnkvcytr6,NaN,NaN,NaN,coach,1982-10-19,Ciudad de México,Mexico,5trdr3jf42i20zj1hnkvcytr6,177.0,67.0,NaN,NaN,active,no,NaN
2p6uagebunshlw5zmp16748dm,Caleb Ryan,Wiley,Caleb,Wiley,NaN,C. Wiley,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,2004-12-22,Atlanta,USA,7hr2f89v44y65dyu9k92vprwn,180.0,73.0,left,26.0,active,no,NaN
2qa0nfm4bi2wn6b6eajf8980l,Derrick Shaun,Williams,Derrick,Williams,NaN,D. Williams,Republic of Ireland,63nepb66un7juhglo2g6rezcl,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1993-01-17,Hamburg,Germany,36min0qztu8eydwvpv8t1is0m,180.0,75.0,left,3.0,active,yes,NaN
2uis9d0h87arn5ew3bg1si40l,Derrick Burckley,Etienne Jr.,Derrick,Etienne Jr.,NaN,D. Etienne,Haiti,5mp58o38d0mr5qt8g4o6l7efg,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1996-11-25,"Richmond, Virginia",USA,7hr2f89v44y65dyu9k92vprwn,178.0,77.0,right,18.0,active,no,NaN
3luquna7mmn8rvooqevn0q0h5,Bartosz Piotr,Slisz,Bartosz,Slisz,NaN,B. Slisz,Poland,27baqb7359ywdvsxxklx1kn11,NaN,NaN,Midfielder,player,1999-03-29,Rybnik,Poland,27baqb7359ywdvsxxklx1kn11,180.0,76.0,right,6.0,active,yes,NaN
