id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,foot,shirtNumber,startDate,status,active,endDate,secondNationality,secondNationalityId,weight,knownName
286v8a4wf61l4nllj0bpxipec,Erik,Hovden Flataker,Erik,Flataker,Male,E. Flataker,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,2004-12-26,Måløy,Norway,7f16iy4w8u8ogyn6pfooqwv5z,182.0,right,20.0,2025-07-15Z,active,yes,NaN,NaN,NaN,NaN,NaN
2l14t89f2n27b28xqfguvr4es,Stanley Wilson,Omondi,Stanley,Omondi,Male,S. Omondi,Kenya,7bj2q2zb0n47lb9g55dnvfr2s,Midfielder,player,2006-08-21,NaN,Kenya,7bj2q2zb0n47lb9g55dnvfr2s,NaN,NaN,21.0,2024-08-30Z,active,no,2025-08-25Z,NaN,NaN,NaN,NaN
2q5dedfrzn793s2alaaig8i6s,Abdihakin Abdulkadir,Ali,Abdihakin,Ali,Male,A. Ali,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,2002-01-22,Solna,Sweden,1z6l2c33w2kyz9rdefs1d68nb,178.0,right,18.0,2023-02-01Z,active,yes,NaN,Somalia,5f1civs919ytka0t5h6fperc2,68.0,NaN
3bxqgluj0fm03fst1ln0crg2c,Kevin,Filling,Kevin,Filling,Male,K. Filling,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,2008-11-30,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,29.0,2025-06-28Z,active,yes,NaN,NaN,NaN,NaN,NaN
3e3iornyvm03cbixgyfkvb9xw,Ahmad,Faqa,Ahmad,Faqa,Male,Ahmad Faqa,Syria,3tsnzfkszhsktmhsmwar1tvp8,Defender,player,2003-01-10,Qamishli,Syria,3tsnzfkszhsktmhsmwar1tvp8,187.0,right,37.0,2024-01-01Z,active,no,2025-04-03Z,Sweden,1z6l2c33w2kyz9rdefs1d68nb,83.0,Ahmad Faqa
3hz7fbme9sm4xkj5fo3moeluc,Gabriel Victor David,Gonçalves Andersson,Victor,Andersson,Male,V. Andersson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,2004-10-22,Danderyd,Sweden,1z6l2c33w2kyz9rdefs1d68nb,174.0,right,43.0,2022-07-23Z,active,yes,NaN,Guatemala,6bw57gk867vfrep8b5e4ykh24,74.0,NaN
3xx0l8c30mjstvxq7z1s0fnit,John Alberto Fernando Andres Luigi Olof,Guidetti,John,Guidetti,Male,J. Guidetti,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,1992-04-15,Solna,Sweden,1z6l2c33w2kyz9rdefs1d68nb,185.0,right,11.0,2022-07-15Z,active,yes,NaN,NaN,NaN,79.0,NaN
441d0z7d91cwczz4rmoqpbiay,Danilo Andrés,Al Saed Alvarado,Danilo Andrés,Al Saed Alvarado,Male,Danilo Al Saed,Iraq,1uzblzx1s42jn6zk6hivjzby8,Attacker,player,1999-02-24,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,180.0,right,NaN,2025-01-10Z,active,no,2025-06-30Z,Sweden,1z6l2c33w2kyz9rdefs1d68nb,66.0,Danilo Al Saed
45stt0xeohn9ti5cozz7vqhhw,Eskil,Smidesang Edh,Eskil,Edh,Male,E. Edh,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2002-08-04,Lillestrøm,Norway,7f16iy4w8u8ogyn6pfooqwv5z,181.0,right,2.0,2024-03-15Z,active,yes,NaN,NaN,NaN,71.0,NaN
4xy45ankq28sm6v0qjh2i68k,Norton,de Carvalho Otterud,Norton,Otterud,Male,N. Otterud,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Goalkeeper,player,2008-06-14,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,NaN,2025-08-19Z,active,yes,NaN,NaN,NaN,NaN,NaN
5rbr8z5frgawr2ykcmcxbbluy,Fredrik Oscar Olle,Uddenäs,Oscar,Uddenäs,Male,O. Uddenäs,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,2002-08-17,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,186.0,left,20.0,2024-08-26Z,active,no,2025-06-30Z,NaN,NaN,75.0,NaN
