id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,status,active,knownName
1jeb7li66vn913oub7t7l7x79,Rigino,Cicilia,Rigino,Cicilia,Male,R. Cicilia,Curaçao,5im58ram567ao2fbnz39sm8vk,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,1994-09-23,Willemstad,Curaçao,5im58ram567ao2fbnz39sm8vk,197.0,86.0,right,22.0,active,yes,NaN
1k5zztvvduo52e0vjhxqs9tnu,Matyáš,Kozák,Matyás,Kozák,Male,M. Kozák,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,2001-05-04,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,17.0,active,yes,NaN
1oqsye3np44f24kfne286k6ol,Michal,Trávník,Michal,Trávník,Male,M. Trávník,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1994-05-17,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,175.0,70.0,right,10.0,active,yes,NaN
1v5y449fu6px4eb1h790ao4d0,Lukáš,Novotný,NaN,NaN,Male,L. Novotný,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2006-06-03,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,16.0,active,yes,NaN
3cll4hlo919ttg7ninjcgy02d,Milan,Petržela,Milan,Petrzela,Male,M. Petržela,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1983-06-19,Hoštice-Heroltice,Czechia,5md5tpwr2nmqao528prx43jr7,172.0,64.0,right,11.0,active,yes,NaN
4ic6tao3a4kk8g01udjnc5v4l,Tomáš,Břečka,Tomás,Brecka,Male,T. Břečka,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1994-05-12,Kromeriz,Czechia,5md5tpwr2nmqao528prx43jr7,185.0,85.0,left,4.0,active,yes,NaN
4ubkf4v7ka2h7tyd7wt1fyoa2,Seung-Bin,Kim,Seung-Bin,Kim,Male,Kim Seung-Bin,Korea Republic,4vzpxtqkiwx0puygnmayr74di,NaN,NaN,Midfielder,player,2000-12-28,NaN,Korea Republic,4vzpxtqkiwx0puygnmayr74di,NaN,NaN,NaN,18.0,active,yes,Kim Seung-Bin
57lh551wzmyjrw2qt9j97lh3p,Milan,Heča,Milan,Heca,Male,M. Heča,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Goalkeeper,player,1991-03-21,Krumvíř,Czechia,5md5tpwr2nmqao528prx43jr7,192.0,82.0,right,29.0,active,yes,NaN
5poctr282gyyf123ouhs0pduy,Filip,Vecheta,Filip,Vecheta,Male,F. Vecheta,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,2003-02-15,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,179.0,NaN,NaN,9.0,active,no,NaN
5t9iyv0nltknsabsxcjehqr4l,Vlasiy,Sinyavskiy,Vlasiy,Sinyavskiy,Male,V. Sinyavskiy,Estonia,64smib5liu1qh78iaylufxj99,NaN,NaN,Midfielder,player,1996-11-27,Narva,Estonia,64smib5liu1qh78iaylufxj99,180.0,72.0,right,99.0,active,yes,NaN
