id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,shirtNumber,startDate,status,active,secondNationality,secondNationalityId,endDate,foot,knownName
18443jomfufijc5n6b35ejlcl,Lukáš,Skovajsa,Lukás,Skovajsa,Male,L. Skovajsa,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1994-03-27,Trenčín,Slovakia,7dybe8679n9bgyrcxi383pq3y,181.0,77.0,25.0,2023-07-04Z,active,yes,NaN,NaN,NaN,NaN,NaN
1b1vsi0l9xd0xy42q4p1bdk44,Lucas,Demitra,Lucas,Demitra,Male,L. Demitra,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2003-04-09,NaN,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,17.0,2023-07-01Z,active,no,USA,7hr2f89v44y65dyu9k92vprwn,2024-06-30Z,NaN,NaN
1dluk435oh06er5avj9ilstpm,Chinonso,Emeka,Chinonso,Emeka,Male,C. Emeka,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2001-08-30,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,189.0,NaN,9.0,2022-10-01Z,active,no,NaN,NaN,2025-08-08Z,NaN,NaN
1lv56r20p7k323vzhpfew7pqs,Shehu Abdullahi,Aliyu,Shehu,Aliyu,Male,S. Aliyu,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2005-01-01,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,NaN,2023-09-05Z,active,no,NaN,NaN,2024-06-30Z,right,NaN
1lzqnhtefu81ttvcpe6a4e6l1,Damián,Bariš,Damián,Baris,Male,D. Bariš,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1994-12-09,Trenčín,Slovakia,7dybe8679n9bgyrcxi383pq3y,178.0,75.0,27.0,2023-06-19Z,active,no,NaN,NaN,2025-06-30Z,right,NaN
218jan56ksky7oqrakbci8962,Adam,Gaži,Adam,Gazi,Male,A. Gaži,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2003-03-01,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,176.0,NaN,77.0,2023-07-01Z,active,no,NaN,NaN,2023-08-17Z,NaN,NaN
29ani26a4nmug5mesyj8wp1xw,Emmanuel,Chimeroucheya Uchegbu,Emmanuel,Uchegbu,Male,E. Uchegbu,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2005-02-05,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,85.0,2023-09-05Z,active,no,NaN,NaN,2025-03-13Z,NaN,NaN
2e0kjyftixsji3hhxydl179t6,Lazar,Mijović,Lazar,Mijovic,Male,L. Mijović,Montenegro,1411jebgwo2ja1erogsq81lg9,Attacker,player,2003-03-12,NaN,Montenegro,1411jebgwo2ja1erogsq81lg9,NaN,NaN,45.0,2024-02-15Z,active,no,NaN,NaN,2024-07-02Z,NaN,NaN
2hivpagsggwzpck6sw99do9as,Nikolas,Brandis,Nikolas,Brandis,Male,N. Brandis,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2005-05-06,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,2024-05-17Z,active,no,NaN,NaN,2024-09-04Z,NaN,NaN
2xjw0d1yxt2fagqavafa7vcyy,Strahinja,Kerkez,Strahinja,Kerkez,Male,S. Kerkez,Cyprus,3om8cj5nhmq1rzzkykubm5icj,Defender,player,2002-12-13,Beograd,Serbia,5w4ve503bjdsshwx9ho6jxzx0,185.0,NaN,22.0,2022-07-01Z,active,no,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-02-01Z,right,NaN
