id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,endDate,status,active,secondNationality,secondNationalityId,knownName
1r5zkfhxkrrgzhd0k0huxtas5,Mateusz Andrzej,Klich,Mateusz,Klich,Male,M. Klich,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,1990-06-13,Tarnów,Poland,27baqb7359ywdvsxxklx1kn11,183.0,84.0,right,43.0,2025-01-31Z,2025-07-22Z,active,no,NaN,NaN,NaN
1y77693pn6jwr0t3kel8z2g2x,Emmanuel Delan Junior,Latte Lath,Emmanuel,Latte Lath,Male,E. Latte Lath,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Attacker,player,1999-01-01,Abidjan,Côte d'Ivoire,tin6kf561ywonqan0mettr98,177.0,75.0,right,19.0,2025-02-04Z,NaN,active,yes,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN
216tgeofjnxr75ehcftkvxkpg,Adyn,Torres,Adyn,Torres,Male,A. Torres,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2007-11-13,Silver Spring,USA,7hr2f89v44y65dyu9k92vprwn,175.0,70.0,right,23.0,2024-01-01Z,NaN,active,yes,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN
234q7lf0bx51r8wehvg51r4k5,Brooks Howard,Lennon,Brooks,Lennon,Male,B. Lennon,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1997-09-22,Paradise Valley,USA,7hr2f89v44y65dyu9k92vprwn,178.0,71.0,right,11.0,2020-01-01Z,NaN,active,yes,Republic of Ireland,63nepb66un7juhglo2g6rezcl,NaN
26r7731d42flwc6ikxb90jxlh,Bradley Edwin,Guzan,Brad,Guzan,Male,B. Guzan,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,1984-09-09,Evergreen Park,USA,7hr2f89v44y65dyu9k92vprwn,193.0,94.0,left,1.0,2017-07-10Z,NaN,active,yes,Poland,27baqb7359ywdvsxxklx1kn11,NaN
2qa0nfm4bi2wn6b6eajf8980l,Derrick Shaun,Williams,Derrick,Williams,Male,D. Williams,Republic of Ireland,63nepb66un7juhglo2g6rezcl,Defender,player,1993-01-17,Hamburg,Germany,36min0qztu8eydwvpv8t1is0m,180.0,75.0,left,3.0,2024-01-31Z,2025-08-15Z,active,no,USA,7hr2f89v44y65dyu9k92vprwn,NaN
3luquna7mmn8rvooqevn0q0h5,Bartosz Piotr,Slisz,Bartosz,Slisz,Male,B. Slisz,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,1999-03-29,Rybnik,Poland,27baqb7359ywdvsxxklx1kn11,180.0,76.0,right,99.0,2024-01-31Z,NaN,active,yes,NaN,NaN,NaN
3rq2fxtjqablx794v1nom142x,Cayman,Graybill Togashi,Cayman,Togashi,Male,C. Togashi,Japan,lxyibh89lpdc0bfian1nx0xq,Attacker,player,1993-08-10,New York,USA,7hr2f89v44y65dyu9k92vprwn,178.0,75.0,right,30.0,2025-01-31Z,NaN,active,yes,USA,7hr2f89v44y65dyu9k92vprwn,NaN
3vlv0gwh5fgwri12fkn4k2stm,Edwin Stiven,Mosquera Palacios,Edwin,Mosquera,Male,E. Mosquera,Colombia,6kby8rq1p01fg5ds38ckkrcs5,Midfielder,player,2001-06-27,Quibdó,Colombia,6kby8rq1p01fg5ds38ckkrcs5,172.0,68.0,right,70.0,2023-07-01Z,2025-07-08Z,active,no,NaN,NaN,Edwin Mosquera
42g5cvcoghx80xiru3f1beyfp,Carl Philip,Robinson,Carl,Robinson,Male,C. Robinson,Wales,26ilvvgth36hmq6lgq8cy5cb5,NaN,assistant coach,1976-10-13,Llandrindod Wells,Wales,26ilvvgth36hmq6lgq8cy5cb5,178.0,75.0,NaN,NaN,2024-06-13Z,NaN,active,yes,NaN,NaN,NaN
4kng7wg83mastngy9hw7j6v6y,Nykolas,Sessock,Nyk,Sessock,Male,N. Sessock,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2000-06-17,Philadelphia,USA,7hr2f89v44y65dyu9k92vprwn,165.0,64.0,right,66.0,2025-03-21Z,NaN,active,yes,NaN,NaN,NaN
4ofpb9y2fqqr3d5cdfbl05c6h,Enea,Mihaj,Enea,Mihaj,Male,E. Mihaj,Albania,17zsm8shejejls2on1ffil3op,Defender,player,1998-07-05,Rhodos,Greece,6lpgd60z890no2v46zdecrcss,186.0,78.0,right,4.0,2025-07-24Z,NaN,active,yes,Greece,6lpgd60z890no2v46zdecrcss,NaN
4tci69chjeg0ukx8fs4h7r6j9,Jamal,Thiaré,Jamal,Thiaré,Male,J. Thiaré,Senegal,6hhqyhr5cwq2pfprlazyposyk,Attacker,player,1993-03-31,Kaolack,Senegal,6hhqyhr5cwq2pfprlazyposyk,183.0,70.0,right,14.0,2023-08-01Z,NaN,active,yes,NaN,NaN,NaN
4tz64bm0vbosads0bbsw7n5xx,Stian,Rode Gregersen,Stian,Gregersen,Male,S. Gregersen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1995-05-17,Kristiansund,Norway,7f16iy4w8u8ogyn6pfooqwv5z,192.0,83.0,right,5.0,2024-01-11Z,NaN,active,yes,NaN,NaN,NaN
5c7gqtyra887hjyg502tvzn1m,Matthew,Edwards,Matt,Edwards,Male,M. Edwards,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2003-02-17,Apex,USA,7hr2f89v44y65dyu9k92vprwn,178.0,79.0,right,47.0,2024-03-22Z,NaN,active,yes,NaN,NaN,NaN
5wdqva17qr5j2kqbmfi9o91x,Aleksey,Miranchuk,Aleksey,Miranchuk,Male,A. Miranchuk,Russia,7kfg68kh6n16fs4ap3xjiudr,Midfielder,player,1995-10-17,Slavyansk-na-Kubani,Russia,7kfg68kh6n16fs4ap3xjiudr,182.0,74.0,left,59.0,2024-07-30Z,NaN,active,yes,NaN,NaN,NaN
5zeta56pml2qki1q095myhvys,Rodrigo Antonio,Neri González,Rodrigo,Neri,Male,R. Neri,Venezuela,1er0616j12s9yghuzvsx76d5v,Attacker,player,2005-05-12,Miami,USA,7hr2f89v44y65dyu9k92vprwn,186.0,NaN,right,77.0,2025-03-21Z,NaN,active,yes,USA,7hr2f89v44y65dyu9k92vprwn,NaN
652d6i0jem2jymjfzd8w0ndn9,Luis Alfonso,Abram Ugarelli,Luis,Abram,Male,L. Abram,Peru,2uib9hdovpcye4re2l3omr4dl,Defender,player,1996-02-27,Lima,Peru,2uib9hdovpcye4re2l3omr4dl,181.0,76.0,left,44.0,2023-02-02Z,2025-07-28Z,active,no,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN
66fdz442trpbwdi3s7i8ktxw5,Tristan,Muyumba Nkita,Tristan,Muyumba,Male,T. Muyumba,France,7gww28djs405rfga69smki84o,Midfielder,player,1997-03-07,Paris,France,7gww28djs405rfga69smki84o,165.0,54.0,right,8.0,2023-07-06Z,NaN,active,yes,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,NaN
