id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,endDate,status,active,knownName
1gzgkjei16r4lt2fvcedy1jvt,Ahoueke Steeve Kévin,Denkey,Kévin,Denkey,Male,K. Denkey,Togo,3jiuckrqd0zejkm452st5dyq7,France,7gww28djs405rfga69smki84o,Attacker,player,2000-11-30,Lomé,Togo,3jiuckrqd0zejkm452st5dyq7,181.0,81.0,right,9.0,2021-01-10Z,2025-01-31Z,active,no,NaN
21d3mvqtl1ttuyvnl3hrsz6z8,Jonas,Lietaert,Jonas,Lietaert,Male,J. Lietaert,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2004-07-16,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,190.0,78.0,right,76.0,2023-02-09Z,NaN,active,yes,NaN
21ipfd9gxws9vqpw9002o8ve1,Warleson,Steillon Lisboa Oliveira,Warleson,Steillon Lisboa Oliveira,Male,Warleson,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Italy,25f2cmb2r8mk5rj92tzer6kvv,Goalkeeper,player,1996-08-31,Cuiabá,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,190.0,87.0,right,1.0,2020-02-06Z,NaN,active,yes,Warleson
3azcz09h41svsjqkp6m676j9w,Felipe Augusto,da Silva,Felipe Augusto,da Silva,Male,Felipe Augusto,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,Attacker,player,2004-02-18,São Paulo,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,187.0,78.0,left,10.0,2024-01-06Z,NaN,active,yes,Felipe Augusto
3l1v52usaf9mmi9dwowdwv3e,Abu,Francis,Abu,Francis,Male,A. Francis,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,Midfielder,player,2001-04-27,Accra,Ghana,2q2sw72utw5gu9t5y4knckwba,182.0,65.0,right,17.0,2022-08-20Z,NaN,active,yes,NaN
3psb1vnaszejdsicw7vpwi6ms,Alama,Bayo,Alama,Bayo,Male,A. Bayo,Belgium,4wbzjcclyefma1ourvjsu4q2j,Guinea,4i9sg55wigitrfx7290f59ceo,Attacker,player,2006-02-02,Conakry,Guinea,4i9sg55wigitrfx7290f59ceo,181.0,NaN,right,22.0,2024-06-15Z,NaN,active,yes,NaN
3rw4wlo3rlojg4rs9dri2uyvo,Emmanuel,Junior Kakou,Emmanuel,Kakou,Male,E. Kakou,Côte d'Ivoire,tin6kf561ywonqan0mettr98,NaN,NaN,Defender,player,2005-06-30,NaN,Côte d'Ivoire,tin6kf561ywonqan0mettr98,179.0,NaN,right,90.0,2024-04-23Z,NaN,active,yes,NaN
3zyx90nllh9itq09uf41z2z9w,Tiemen,De Bel,Tiemen,De Bel,Male,T. De Bel,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Goalkeeper,player,2006-10-31,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,190.0,NaN,right,95.0,2024-07-24Z,NaN,active,yes,NaN
41gpjj5od0ww4rnopzgp1oetw,Ibrahim,Diakité,Ibrahim,Diakité,Male,I. Diakité,Guinea,4i9sg55wigitrfx7290f59ceo,France,7gww28djs405rfga69smki84o,Defender,player,2003-10-31,Compiègne,France,7gww28djs405rfga69smki84o,180.0,74.0,right,2.0,2024-07-03Z,NaN,active,yes,NaN
44iqe9xsphq08posqzrkpyu50,Ilias,Ben Sadik,Ben,Sadik,Male,I. Ben Sadik,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2007-07-18,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,NaN,2025-03-12Z,NaN,active,yes,NaN
4awwt5mccxjhhitewjzpw2jth,Bernd,Storck,Bernd,Storck,Male,B. Storck,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,coach,1963-01-25,Herne,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,NaN,2025-05-12Z,NaN,active,yes,NaN
4dkerrlcqxybg52pose3qxas,Paris Josua,Brunner,Paris,Brunner,Male,P. Brunner,Germany,36min0qztu8eydwvpv8t1is0m,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,Attacker,player,2006-02-15,Dortmund,Germany,36min0qztu8eydwvpv8t1is0m,186.0,80.0,right,13.0,2024-08-17Z,2025-06-30Z,active,yes,NaN
4xar9g5p62l7rt8to8enxy06i,Miron,Muslić,Miron,Muslic,Male,M. Muslić,Austria,hcs1bd49qliqqity6o268jyt,NaN,NaN,NaN,coach,1982-09-14,Bihać,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN,NaN,NaN,NaN,2022-09-19Z,2024-12-02Z,active,no,NaN
52qemp1py9mm9unjvxaphv209,Jesper Norman,Daland,Jesper,Daland,Male,J. Daland,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,Defender,player,2000-01-06,Kristiansand,Norway,7f16iy4w8u8ogyn6pfooqwv5z,175.0,71.0,right,4.0,2021-07-01Z,2024-08-20Z,active,no,NaN
5e5s2pues25qi4uahcz7ldwd0,Mathis Johan,Roete,Mathis,Roete,Male,M. Roete,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Goalkeeper,player,2007-02-20,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,NaN,2024-12-11Z,2024-12-31Z,active,no,NaN
5iuagsqdiiaadb5yuf7r4vzmc,Christiaan,Ravych,Christiaan,Ravych,Male,C. Ravych,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2002-07-30,Kortrijk,Belgium,4wbzjcclyefma1ourvjsu4q2j,187.0,71.0,right,66.0,2022-02-11Z,NaN,active,yes,NaN
5pxm3apy9atp2w2j3r65ju2uh,Edgaras,Utkus,Edgaras,Utkus,Male,E. Utkus,Lithuania,366yd1wf1hzvvjb5u6r59rl1w,NaN,NaN,Defender,player,2000-06-22,Vilnius,Lithuania,366yd1wf1hzvvjb5u6r59rl1w,190.0,77.0,right,3.0,2021-07-20Z,NaN,active,yes,NaN
5w8e01c5slboqdrlqnyljlnft,Maxime René,Delanghe,Maxime,Delanghe,Male,M. Delanghe,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Goalkeeper,player,2001-05-23,Hall,Belgium,4wbzjcclyefma1ourvjsu4q2j,189.0,83.0,right,21.0,2023-06-15Z,NaN,active,yes,NaN
71euf80lf18fu40b9lika9ysq,Nils,De Wilde,Nils,De Wilde,Male,N. De Wilde,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,2003-01-27,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,182.0,67.0,right,27.0,2023-06-15Z,NaN,active,yes,NaN
7cza2st4pm7zecztqgeauujmd,Eloy Victor,Room,Eloy,Room,Male,E. Room,Curaçao,5im58ram567ao2fbnz39sm8vk,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,1989-02-06,Nijmegen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,191.0,99.0,right,89.0,2024-10-21Z,NaN,active,yes,NaN
7d2kxrw15a6b1nb4kw9zg5ej9,Ferdinand,Feldhofer,Ferdinand,Feldhofer,Male,F. Feldhofer,Austria,hcs1bd49qliqqity6o268jyt,NaN,NaN,NaN,coach,1979-10-23,Vorau,Austria,hcs1bd49qliqqity6o268jyt,182.0,78.0,right,NaN,2024-12-10Z,2025-03-17Z,active,no,NaN
7ht5gaqg5p9s7pl75iuvtfvh0,Xander Robert,Martlé,Xander,Martlé,Male,X. Martlé,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,2003-08-27,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,172.0,60.0,right,NaN,2022-07-01Z,NaN,active,yes,NaN
7mg9ycwc9ay4fdedl0dpp5nca,Flávio,Basilua Jacinto Nazinho,Flávio,Basilua Jacinto Nazinho,Male,Flávio Nazinho,Portugal,1nbm5i9a0403zzvltn17lxinc,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,Defender,player,2003-07-20,Almada,Portugal,1nbm5i9a0403zzvltn17lxinc,178.0,72.0,left,20.0,2024-06-26Z,NaN,active,yes,Flávio Nazinho
7weuixp1j81ga9pjhouf2h2hh,Hannes,Van der Bruggen,Hannes,Van der Bruggen,Male,H. Van der Bruggen,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,1993-04-01,Burst,Belgium,4wbzjcclyefma1ourvjsu4q2j,181.0,72.0,right,28.0,2021-01-19Z,NaN,active,yes,NaN
7z9i3l1me653j1gn75cui8r9w,Ono,Vanackere,Ono,Vanackere,Male,O. Vanackere,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,2003-03-10,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,right,NaN,2003-10-23Z,NaN,active,yes,NaN
9f5ne3ea3mfrwh36l51ssw6qc,Steve,Ngoura,Steve,Ngoura,Male,S. Ngoura,France,7gww28djs405rfga69smki84o,Cameroon,4eb9feio6u267dd1jcwaf38mt,Attacker,player,2005-02-22,Ivry-sur-Seine,France,7gww28djs405rfga69smki84o,185.0,75.0,right,77.0,2025-01-07Z,NaN,active,yes,NaN
a0ecz4nlxrr62dcwixtmjiwyy,Thibo,Somers,Thibo,Somers,Male,T. Somers,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,1999-03-16,Brugge,Belgium,4wbzjcclyefma1ourvjsu4q2j,173.0,79.0,right,34.0,2019-10-20Z,NaN,active,yes,NaN
a5ls0i1ztco0zee3la61zv4rt,Senna Malik,Miangué,Senna,Miangué,Male,S. Miangué,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,1997-02-05,Antwerpen,Belgium,4wbzjcclyefma1ourvjsu4q2j,192.0,83.0,left,18.0,2022-07-01Z,NaN,active,yes,NaN
aax4cgpd9gm3zf6bgcv164t1w,Beni Christophe,Mpanzu,Beni,Mpanzu,Male,B. Mpanzu,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2004-05-15,Brussel,Belgium,4wbzjcclyefma1ourvjsu4q2j,185.0,NaN,left,14.0,2025-02-28Z,NaN,active,yes,NaN
adchh9nesmp7yvsaxfeemwsgk,Sebbe,Gheerardyns,Sebbe,Gheerardyns,Male,S. Gheerardyns,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2005-01-11,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,left,NaN,2024-10-23Z,2024-12-31Z,active,no,NaN
ba4573x87qra4546ut5gtow7o,Malamine,Efekele,Malamine,Efekele,Male,M. Efekele,France,7gww28djs405rfga69smki84o,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,Attacker,player,2004-07-19,NaN,France,7gww28djs405rfga69smki84o,180.0,68.0,right,7.0,2024-01-24Z,2025-06-30Z,active,yes,NaN
beb9hxzkxne55pkxrltq7kr11,Jimmy Jacky,De Wulf,Jimmy,De Wulf,Male,J. De Wulf,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,coach,1980-06-09,Blankenberge,Belgium,4wbzjcclyefma1ourvjsu4q2j,189.0,75.0,NaN,NaN,2025-03-21Z,2025-05-12Z,active,no,NaN
bmbn4q2uorkgosgaig6migpux,Boris,Popović,Boris,Popovic,Male,B. Popović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,France,7gww28djs405rfga69smki84o,Defender,player,2000-02-26,Tours,France,7gww28djs405rfga69smki84o,189.0,75.0,right,5.0,2021-07-20Z,2024-09-02Z,active,no,NaN
ca3ukcuuhpi2to4ybxd84z7ro,Søren,Coens,Soren,Coens,Male,S. Coens,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,2003-06-17,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,right,NaN,2024-10-23Z,2024-12-31Z,active,no,NaN
cslexkls1qmrj8nu746b4rv2s,Alan Steve,Minda García,Alan,Minda,Male,A. Minda,Ecuador,6pyj2bytt2osbjk69owzfehcg,NaN,NaN,Midfielder,player,2003-05-14,Esmeraldas,Ecuador,6pyj2bytt2osbjk69owzfehcg,171.0,68.0,right,11.0,2023-07-12Z,NaN,active,yes,NaN
d2dqd11a9koizwjaq93n4npt6,Kazeem Aderemi,Olaigbe,Kazeem,Olaigbe,Male,K. Olaigbe,Belgium,4wbzjcclyefma1ourvjsu4q2j,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2003-01-02,Brussel,Belgium,4wbzjcclyefma1ourvjsu4q2j,178.0,71.0,right,19.0,2023-08-29Z,2025-02-03Z,active,no,NaN
d4ppxjyzxjk3fm4agxpsani8k,Lawrence,Agyekum,Lawrence,Agyekum,Male,L. Agyekum,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,Midfielder,player,2003-11-23,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba,174.0,67.0,right,6.0,2024-07-04Z,NaN,active,yes,NaN
d4xpyxj5q2fp34a1nnm7dulpm,Bruno,Gonçalves de Jesus,Bruno,Gonçalves de Jesus,Male,Bruninho,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,Attacker,player,2003-03-14,NaN,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,175.0,70.0,right,30.0,2024-07-10Z,2025-06-30Z,active,yes,Bruninho
d74kbwi43w94hu3lsop84amtw,Heriberto,de Jesús Jurado Flores,Heriberto,Jurado,Male,H. Jurado,Mexico,5trdr3jf42i20zj1hnkvcytr6,NaN,NaN,Midfielder,player,2005-01-03,NaN,Mexico,5trdr3jf42i20zj1hnkvcytr6,172.0,63.0,NaN,23.0,2025-02-03Z,NaN,active,yes,NaN
ditnpqgspoih5ich7c5vn44fe,Gary Jean,Magnée,Gary,Magnée,Male,G. Magnée,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,1999-10-12,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,175.0,67.0,right,15.0,2024-08-17Z,NaN,active,yes,NaN
dn1hjjy5srrp1416f52gmwqvo,Rayan,El Bahri,Rayan,El Bahri,Male,R. El Bahri,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,2004-02-13,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,right,68.0,2023-12-15Z,2024-08-16Z,active,no,NaN
e1zu2mm6zkvwh4ids4gg3ndas,Dalangunypole,Gomis,Dalangunypole,Gomis,Male,D. Gomis,France,7gww28djs405rfga69smki84o,Senegal,6hhqyhr5cwq2pfprlazyposyk,Defender,player,2004-06-28,NaN,France,7gww28djs405rfga69smki84o,191.0,NaN,left,4.0,2024-08-27Z,NaN,active,yes,NaN
edti6w99ejmzljpsemda60ic,Bas,Langenbick,Bas,Langenbick,Male,B. Langenbick,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Goalkeeper,player,2003-02-13,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,189.0,72.0,right,84.0,2022-03-07Z,NaN,active,yes,NaN
eg9qnjpbewow79ggttc0z2h3o,Erick,Nunes Barbosa dos Santos,Erick,Nunes Barbosa dos Santos,Male,Erick Nunes,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,Defender,player,2004-02-29,NaN,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,176.0,84.0,right,8.0,2024-01-08Z,2025-06-30Z,active,yes,Erick Nunes
eo47h2ekymiisj3kry3og7tgp,Lucas,Perrin,Lucas,Perrin,Male,L. Perrin,France,7gww28djs405rfga69smki84o,NaN,NaN,Defender,player,1998-11-19,NaN,France,7gww28djs405rfga69smki84o,187.0,77.0,right,5.0,2025-01-30Z,2025-06-30Z,active,yes,NaN
f0k55y82lf6zzovbrm2x6edjo,Abdoul Kader,Ouattara,Abdoul,Ouattara,Male,A. Ouattara,Burkina Faso,2ggql4uo9h0p3c67wkm68ibol,NaN,NaN,Attacker,player,2005-05-26,NaN,Burkina Faso,2ggql4uo9h0p3c67wkm68ibol,171.0,69.0,right,99.0,2024-01-19Z,NaN,active,yes,NaN
14yb6ab45h6z3lla1i3046f4k,Joel Leandro,Ordóñez Guerrero,Joel,Ordóñez,Male,J. Ordoñez,Ecuador,6pyj2bytt2osbjk69owzfehcg,NaN,NaN,Defender,player,2004-04-21,Guayaquil,Ecuador,6pyj2bytt2osbjk69owzfehcg,188.0,76.0,right,4.0,2022-08-19Z,NaN,active,yes,NaN
15odj8wui8136996wi2d5t7md,Håkan Gustaf,Nilsson,Gustaf,Nilsson,Male,G. Nilsson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Attacker,player,1997-05-23,Falkenberg,Sweden,1z6l2c33w2kyz9rdefs1d68nb,196.0,78.0,right,19.0,2024-07-12Z,NaN,active,yes,NaN
16o074zua15qkk7x0me7gi1w4,Bjorn Thomas,Meijer,Bjorn,Meijer,Male,B. Meijer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Defender,player,2003-03-18,Groningen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,191.0,89.0,left,14.0,2022-06-15Z,NaN,active,yes,NaN
1q935a1d9qmoyo7v6tstqx7je,Kyriani,Sabbe,Kyriani,Sabbe,Male,K. Sabbe,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2005-01-26,Gent,Belgium,4wbzjcclyefma1ourvjsu4q2j,176.0,68.0,right,64.0,2022-10-03Z,NaN,active,yes,NaN
4f8xb5sbyksacxmifi375h7qi,Kamal,Deen Sowah,Kamal,Sowah,Male,K. Sowah,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,Midfielder,player,2000-01-09,Sabon Zango,Ghana,2q2sw72utw5gu9t5y4knckwba,179.0,66.0,left,NaN,2024-07-01Z,2025-01-16Z,active,no,NaN
