id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,foot,shirtNumber,startDate,status,active,weight,endDate,knownName
1wm0cwdynwo3y5m5kp2y1xv4l,Adel,Bettaieb,Adel,Bettaieb,Male,A. Bettaieb,Tunisia,2um1icx6ftp1auliaxyw0ou6y,France,7gww28djs405rfga69smki84o,Attacker,player,1997-01-28,Villiers-le-Bel,France,7gww28djs405rfga69smki84o,184.0,right,21.0,2025-07-13Z,active,yes,NaN,NaN,NaN
1y01tw7vk0sq0294znj8057o4,Adriano George Flavius,Manole,Adriano,Manole,Male,A. Manole,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2007-07-28,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,98.0,2023-06-02Z,active,yes,NaN,NaN,NaN
281ieftii7id7an6dm505owrt,Xian Ghislaine,Emmers,Xian,Emmers,Male,X. Emmers,Belgium,4wbzjcclyefma1ourvjsu4q2j,Switzerland,3bh70jgvc5mn58x0byjkuda17,Midfielder,player,1999-07-20,Lugano,Switzerland,3bh70jgvc5mn58x0byjkuda17,178.0,both,NaN,2026-01-01Z,active,yes,75.0,NaN,NaN
29piir62l5w3ueli8252ya4tl,Ionuţ Laurenţiu,Rădescu,Ionut,Radescu,Male,I. Rădescu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,1995-03-20,Câmpulung Muscel,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,16.0,2023-06-29Z,active,yes,NaN,NaN,NaN
3l9l481rrli50qqsn7g8ri590,Mario,Marin,Mario,Marin,Male,M. Marin,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2008-03-05,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,82.0,2025-11-20Z,active,yes,NaN,NaN,NaN
4282z2wogk8ddnc7qo1fhr9jo,Eldin,Mehmedović,Eldin,Mehmedovic,Male,E. Mehmedović,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN,NaN,Attacker,player,2000-06-23,Maoča,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN,NaN,77.0,2025-01-01Z,active,no,NaN,2025-07-14Z,NaN
4w0mg0kovrxpjcsbb77byfjzd,Costinel Andrei,Tofan,Costinel,Tofan,Male,C. Tofan,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,1996-08-02,Piteşti,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,2.0,2017-06-27Z,active,yes,NaN,NaN,NaN
5acie3fe6j0s759bp4kk36rys,Claudiu Constantin,Stancu,Claudiu,Stancu,Male,C. Stancu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,2009-11-04,Pitești,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,28.0,2025-07-01Z,active,yes,NaN,NaN,NaN
5j9k3rz7a8z7zx91hxetr6v6y,Ricardo Manuel,Pinho Matos,Ricardo Manuel,Pinho Matos,Male,Ricardo Matos,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN,NaN,Attacker,player,2000-03-25,Vale de Figueira,Portugal,1nbm5i9a0403zzvltn17lxinc,182.0,right,17.0,2025-07-08Z,active,yes,77.0,NaN,Ricardo Matos
5l8ke9fzoz3m6yp2vzyfoo5jo,Iulian,Moldovan,Iulian,Moldovan,Male,I. Moldovan,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2008-06-04,Aiud,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,13.0,2025-12-12Z,active,yes,NaN,NaN,NaN
5y2pzl020ybuk7ae5wteidr6d,Mihai Alexandru,Roman,Mihai,Roman,Male,M. Roman,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Attacker,player,1992-05-31,Craiova,Romania,17oj2qrzqlkhdjvazum10sx2i,190.0,right,9.0,2024-08-16Z,active,yes,80.0,NaN,NaN
74by0qjyjw9o0nnxzxq7z1yxg,Yanis Nikolas Christian,Pîrvu,Yanis,Pîrvu,Male,Y. Pîrvu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Attacker,player,2007-04-02,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,11.0,2022-07-01Z,active,yes,NaN,NaN,NaN
7nzkc6lufzat0g0d4pfc3fmxh,Marius Ionuț,Briceag,Marius,Briceag,Male,M. Briceag,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,1992-04-06,Piteşti,Romania,17oj2qrzqlkhdjvazum10sx2i,175.0,left,5.0,2024-07-01Z,active,yes,76.0,NaN,NaN
7qsdl6jajrqdnf7qljklki2fp,Guilherme,Gomes Garutti,Guilherme,Gomes Garutti,Male,Guilherme Garutti,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Italy,25f2cmb2r8mk5rj92tzer6kvv,Defender,player,1994-03-08,Marília,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,194.0,right,15.0,2024-07-24Z,active,yes,86.0,NaN,Guilherme Garutti
7sq6jlg1jq1e8pt0xyujqjdgp,Claudiu Valentin,Micovschi,Claudiu,Micovschi,Male,C. Micovschi,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,1999-05-19,Oradea,Romania,17oj2qrzqlkhdjvazum10sx2i,178.0,left,NaN,2026-01-13Z,active,yes,NaN,NaN,NaN
85pw7q2msf1u35ivrk860le22,Kevin,Doukoure Grobry,Kevin,Doukoure,Male,K. Doukoure,Côte d'Ivoire,tin6kf561ywonqan0mettr98,NaN,NaN,Midfielder,player,1999-03-30,NaN,Côte d'Ivoire,tin6kf561ywonqan0mettr98,NaN,NaN,4.0,2024-07-01Z,active,yes,NaN,NaN,NaN
85v8msafpwjpo6yrv0skmbris,Andrei Bogdan,Dinu,Andrei,Dinu,Male,A. Dinu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2008-03-10,Pitești,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,80.0,2024-10-01Z,active,yes,NaN,NaN,NaN
