id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,startDate,status,active,secondNationality,secondNationalityId,endDate,knownName,shirtNumber
1asrguqxyo7rmoyamggwd9oq2,Ahmetcan,Kaplan,Ahmetcan,Kaplan,Male,A. Kaplan,Türkiye,6kd6webenogylfgwt2aa9l6vx,Defender,player,2003-01-16,Trabzon,Türkiye,6kd6webenogylfgwt2aa9l6vx,189.0,72.0,left,2023-10-22Z,active,yes,NaN,NaN,NaN,NaN,NaN
1bqr3p8h5skumdwr21l0wcxjp,Yuri,Rose,Yuri,Rose,Male,Y. Rose,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,assistant coach,1979-05-08,Purmerend,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,87.0,NaN,2023-10-30Z,active,yes,NaN,NaN,NaN,NaN,NaN
1c4fzmrwmlwaqmqomge14rqc4,Dies,Janse,Dies,Janse,Male,D. Janse,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2006-01-17,Goes,Netherlands,6hzi5pltnz67q4la8yli9qfv6,196.0,NaN,left,2023-08-24Z,active,yes,NaN,NaN,NaN,NaN,NaN
1ftov4tclo53l0sza0md8ihg5,Frank,Peereboom,Frank,Peereboom,Male,F. Peereboom,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,coach,1979-04-11,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,2024-06-04Z,active,yes,NaN,NaN,NaN,NaN,NaN
264gu641hrd38wqf28xolwhlg,Rayane,Bounida,Rayane,Bounida,Male,R. Bounida,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,2006-03-03,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,179.0,NaN,right,2024-12-08Z,active,yes,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN,NaN,NaN
28rtnolu3a2au3on0jtwzhu6s,Precious Joel Uche-Chukwu,Ugwu,Precious,Ugwu,Male,P. Ugwu,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2006-02-08,Filderstadt,Germany,36min0qztu8eydwvpv8t1is0m,192.0,NaN,right,2024-02-25Z,active,yes,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN
2dmj7c8rsvjimb1xw15x3xyxg,Luuk,Beekman,Luuk,Beekman,Male,L. Beekman,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2007-09-13,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,right,2025-03-06Z,active,yes,NaN,NaN,NaN,NaN,NaN
2vp8f9x46i2ptaf08xv7a85xw,Paul,Peters Reverson,Paul,Reverson,Male,P. Reverson,Ghana,2q2sw72utw5gu9t5y4knckwba,Goalkeeper,player,2005-06-20,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,194.0,NaN,right,2023-04-16Z,active,yes,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN
2wesmq2wuhnuwh2yhgkuaxqfo,Aaron,Bouwman,Aaron,Bouwman,Male,A. Bouwman,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2007-08-28,Haarlem,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,71.0,right,2024-04-25Z,active,yes,England,1fk5l4hkqk12i7zske6mcqju6,NaN,NaN,NaN
2yd4k7raor3q6uunpmth5d8no,Mohamed Rida,Chahid,Rida,Chahid,Male,R. Chahid,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2004-12-03,Purmerend,Netherlands,6hzi5pltnz67q4la8yli9qfv6,182.0,NaN,left,2023-01-26Z,active,yes,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN,NaN,NaN
