id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,foot,shirtNumber,startDate,endDate,status,active,placeOfBirth,height,weight,knownName
15x1l3qt532hfz5dujzlgy5uc,Justin,Kumi,Justin,Kumi,Male,J. Kumi,Italy,25f2cmb2r8mk5rj92tzer6kvv,Ghana,2q2sw72utw5gu9t5y4knckwba,Midfielder,player,2004-07-16,Ghana,2q2sw72utw5gu9t5y4knckwba,right,55.0,2025-01-15Z,2025-06-30Z,active,yes,NaN,NaN,NaN,NaN
17j1puxbnff4ic9aveby5xej9,Alejandro,Blanco Sánchez,Álex,Blanco,Male,Álex Blanco,Spain,49ih1pwv3ahshdf8uzrimi54c,NaN,NaN,Attacker,player,1998-12-16,Spain,49ih1pwv3ahshdf8uzrimi54c,left,NaN,2024-01-31Z,2024-08-30Z,active,no,Benidorm,175.0,70.0,NaN
1bhy8ma8pm9qzqv412tz5l39x,Massimiliano,Guidetti,Massimiliano,Guidetti,Male,M. Guidetti,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,NaN,assistant coach,1976-08-28,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,2024-07-01Z,NaN,active,yes,Como,172.0,69.0,NaN
1hvgbjwatv31ex1cbx1tizmga,Oliver,Urso,Oliver,Urso,Male,O. Urso,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Italy,25f2cmb2r8mk5rj92tzer6kvv,Midfielder,player,1999-04-29,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,29.0,2024-07-11Z,NaN,active,yes,NaN,NaN,NaN,NaN
1rze7aetma0d5as8f0m62jysp,Diomandè Yann Cedric,Gondo,Cedric,Gondo,Male,C. Gondo,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Italy,25f2cmb2r8mk5rj92tzer6kvv,Attacker,player,1996-11-25,Côte d'Ivoire,tin6kf561ywonqan0mettr98,right,11.0,2024-07-01Z,NaN,active,yes,Divo,187.0,75.0,NaN
1sesup3i2y9uyhssyfzx8kljo,Matteo,Donelli,Matteo,Donelli,Male,M. Donelli,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Goalkeeper,player,2006-04-15,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,12.0,2024-08-08Z,NaN,active,yes,Reggio Emilia,NaN,NaN,NaN
1wubpng5503qfvlyc3vvjr8wl,Luca,Vido,Luca,Vido,Male,L. Vido,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,1997-02-03,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,10.0,2023-08-03Z,NaN,active,yes,Bassano del Grappa,182.0,75.0,NaN
29xm21ncyacdz7zrr3czue6z9,Mario,Sampirisi,Mario,Sampirisi,Male,M. Sampirisi,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1992-10-31,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,31.0,2023-08-27Z,NaN,active,yes,Caltanisetta,188.0,75.0,NaN
2os2xde8tdxbpamab8kngnhuc,Edoardo,Motta,Edoardo,Motta,Male,E. Motta,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Goalkeeper,player,2005-01-13,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,1.0,2023-07-01Z,NaN,active,yes,NaN,194.0,87.0,NaN
2vbnuqw00uxz2t97bxh37o2l0,Giacomo,Cavallini,Giacomo,Cavallini,Male,G. Cavallini,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,2004-11-16,Italy,25f2cmb2r8mk5rj92tzer6kvv,left,39.0,2023-07-01Z,2025-01-22Z,active,no,Bologna,180.0,NaN,NaN
2wa5gbz3brc2gslxcvr8ocz4l,Davide,Dionigi,Davide,Dionigi,Male,D. Dionigi,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,NaN,coach,1974-01-10,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,2025-03-31Z,NaN,active,yes,Modena,180.0,NaN,NaN
46twjsjrm4ljb7bhobbpwx5h,Francesco,Bardi,Francesco,Bardi,Male,F. Bardi,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Goalkeeper,player,1992-01-18,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,22.0,2023-07-06Z,NaN,active,yes,Livorno,188.0,80.0,NaN
53myggta3evbx1dpb95elbac4,Matteo,Maggio,Matteo,Maggio,Male,M. Maggio,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,2002-01-06,Italy,25f2cmb2r8mk5rj92tzer6kvv,both,27.0,2024-07-04Z,NaN,active,yes,Moncalieri,176.0,NaN,NaN
5bl5jmtr2ttcy1tvodz1s1p05,Lorenzo,Libutti,Lorenzo,Libutti,Male,L. Libutti,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1997-09-17,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,17.0,2019-07-27Z,NaN,active,yes,Melfi,180.0,70.0,NaN
5nwu937qz4ixuok37vhifthqs,Noa,Kljajić,Noa,Kljajic,Male,N. Kljajić,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN,Attacker,player,2006-05-19,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN,2024-08-19Z,NaN,active,yes,NaN,NaN,NaN,NaN
5qqapfz2effed8dt08qf21st0,Simon Esosa,Aibangbee,Simon,Aibangbee,Male,S. Aibangbee,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,Goalkeeper,player,2006-04-13,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,19.0,2023-07-01Z,NaN,active,yes,NaN,NaN,NaN,NaN
6fsxd2h0hdmlq3ttnusbod6hg,Lorenzo,Ignacchiti,Lorenzo,Ignacchiti,Male,L. Ignacchiti,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,2004-04-25,Italy,25f2cmb2r8mk5rj92tzer6kvv,left,25.0,2024-08-04Z,2025-06-30Z,active,yes,Pisa,NaN,NaN,NaN
6khwppiuogbcm5v9twk5hvydx,Luca,Cigarini,Luca,Cigarini,Male,L. Cigarini,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,1986-06-20,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,8.0,2021-08-23Z,NaN,active,yes,Montecchi Emilia,175.0,72.0,NaN
6xt6fnmwrs7btha4d2t7wkktm,Enzo Joaquín,Sosa Romañuk,Joaquín,Sosa,Male,J. Sosa,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,Italy,25f2cmb2r8mk5rj92tzer6kvv,Defender,player,2002-01-10,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,left,3.0,2025-01-10Z,2025-06-30Z,active,yes,Fray Bentos,189.0,82.0,NaN
7azsecjon4qnet52kug2xv8k4,Nuhu,Shaibu,Nuhu,Shaibu,Male,N. Shaibu,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,Midfielder,player,2004-01-01,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,14.0,2023-07-01Z,NaN,active,yes,NaN,NaN,NaN,NaN
7fhdf2sxenizituugeu0fb2ll,Andrea,Meroni,Andrea,Meroni,Male,A. Meroni,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1997-01-09,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,13.0,2024-07-05Z,NaN,active,yes,Empoli,188.0,85.0,NaN
7ys2kqt9bjq57p72pzubsoacq,Tobías Elián,Reinhart,Tobías,Reinhart,Male,T. Reinhart,Argentina,2vovxa97k7v7ofa85dah2xktb,Italy,25f2cmb2r8mk5rj92tzer6kvv,Midfielder,player,2000-05-21,Argentina,2vovxa97k7v7ofa85dah2xktb,right,16.0,2024-01-02Z,NaN,active,yes,Lomas de Zamora,176.0,70.0,NaN
857eye3fn24dlnd7qv2i92ket,William,Viali,William,Viali,Male,W. Viali,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,NaN,coach,1974-11-16,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,2024-07-01Z,2025-03-30Z,active,no,Vaprio d'Adda,185.0,79.0,NaN
