id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,endDate,status,active,secondNationality,secondNationalityId,knownName
14xoy6tg51xbydm69d5ybyfis,Agustín,Álvarez Martínez,Agustín,Álvarez,Male,A. Álvarez,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,Attacker,player,2001-05-19,San Bautista,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,177.0,75.0,right,25.0,2025-08-27Z,2026-06-30Z,active,yes,NaN,NaN,NaN
1b8uwkohkevu6ltjex0liklpl,Valentin,Ivaylov Antov,Valentin,Antov,Male,V. Antov,Bulgaria,5a1vsxg8tbnsk65iefq1q8tlt,Defender,player,2000-11-09,Sofia,Bulgaria,5a1vsxg8tbnsk65iefq1q8tlt,187.0,70.0,right,NaN,2025-07-01Z,NaN,active,yes,NaN,NaN,NaN
1ik2ezjhgygd7d9yvchhgnjf8,Saverio,Domanico,Saverio,Domanico,Male,S. Domanico,Italy,25f2cmb2r8mk5rj92tzer6kvv,Defender,player,2005-01-26,NaN,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,NaN,33.0,2025-08-11Z,NaN,active,yes,NaN,NaN,NaN
1vbylasb99c3kpzyh2skmjhn8,Rosindo,Zanni,Rosindo,Zanni,Male,R. Zanni,Italy,25f2cmb2r8mk5rj92tzer6kvv,Attacker,player,2009-03-06,NaN,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,right,90.0,2025-08-10Z,NaN,active,yes,NaN,NaN,NaN
2qdgfxqyh0bjn3alkz97py8k5,Matteo,Pessina,Matteo,Pessina,Male,M. Pessina,Italy,25f2cmb2r8mk5rj92tzer6kvv,Midfielder,player,1997-04-21,Monza,Italy,25f2cmb2r8mk5rj92tzer6kvv,187.0,77.0,left,32.0,2023-07-01Z,NaN,active,yes,NaN,NaN,NaN
36gtyjc6dg13f6ff8go77951x,Mirko,Marić,Mirko,Maric,Male,M. Marić,Croatia,37hlakrwxyuzovaeoo4sezusp,Attacker,player,1995-05-16,Mostar,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,188.0,77.0,left,9.0,2025-07-01Z,NaN,active,yes,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN
3ljpx8whr1ulrif20fbxg77kk,Mathis,Mout,Mathis,Mout,Male,M. Mout,Italy,25f2cmb2r8mk5rj92tzer6kvv,Attacker,player,2007-08-06,NaN,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,left,52.0,2025-12-25Z,NaN,active,yes,France,7gww28djs405rfga69smki84o,NaN
40rsjcp9bgu6pt4bf2qrczyp6,Semuel,Pizzignacco,Semuel,Pizzignacco,Male,S. Pizzignacco,Italy,25f2cmb2r8mk5rj92tzer6kvv,Goalkeeper,player,2001-09-01,Monfalcone,Italy,25f2cmb2r8mk5rj92tzer6kvv,188.0,76.0,right,1.0,2024-08-05Z,NaN,active,yes,NaN,NaN,NaN
628n16k677wb1zsidcm3yz4rt,Filippo,Delli Carri,Filippo,Delli Carri,Male,F. Delli Carri,Italy,25f2cmb2r8mk5rj92tzer6kvv,Defender,player,1999-05-03,Torino,Italy,25f2cmb2r8mk5rj92tzer6kvv,189.0,77.0,NaN,15.0,2025-08-11Z,NaN,active,yes,NaN,NaN,NaN
6710kg06aejtq0tq9a7303z6x,Demba,Thiam Ngagne,Demba,Thiam,Male,D. Thiam,Senegal,6hhqyhr5cwq2pfprlazyposyk,Goalkeeper,player,1998-03-05,Dakar,Senegal,6hhqyhr5cwq2pfprlazyposyk,202.0,87.0,right,20.0,2025-07-08Z,NaN,active,yes,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN
