id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,startDate,status,active,secondNationality,secondNationalityId,position,shirtNumber,height,weight,foot,endDate,knownName
18ehi3v2xnfibys678d7zubit,Pablo,Correa,Pablo,Correa,Male,P. Correa,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,coach,1967-03-14,Montevideo,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,2023-11-17Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1dhbru3duub6fp0kovnhuzzvu,Brandon,Bokangu,Brandon,Bokangu,Male,B. Bokangu,France,7gww28djs405rfga69smki84o,player,1999-12-10,NaN,France,7gww28djs405rfga69smki84o,2024-07-03Z,active,yes,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,Midfielder,20.0,NaN,NaN,NaN,NaN,NaN
1fnkqb1hba4ygw6q4sl729bl5,Adrien,Julloux,Adrien,Julloux,Male,A. Julloux,France,7gww28djs405rfga69smki84o,player,1996-10-05,NaN,France,7gww28djs405rfga69smki84o,2024-07-01Z,active,yes,NaN,NaN,Defender,12.0,NaN,NaN,NaN,NaN,NaN
1gcukm2rx47qlqk7glv0demfo,Kenzo,Noel,Kenzo,Noel,Male,K. Noel,France,7gww28djs405rfga69smki84o,player,2006-07-28,NaN,France,7gww28djs405rfga69smki84o,2024-11-15Z,active,yes,NaN,NaN,Goalkeeper,40.0,NaN,NaN,NaN,NaN,NaN
1vjehcro1lfg6658rvc74g05x,Martin,Sourzac,Martin,Sourzac,Male,M. Sourzac,France,7gww28djs405rfga69smki84o,player,1992-03-25,Vendome,France,7gww28djs405rfga69smki84o,2022-07-12Z,active,yes,NaN,NaN,Goalkeeper,16.0,186.0,85.0,right,NaN,NaN
2itfz1f0g8edq8m63q6sxvd1x,Geoffrey Didace,Lembet,Geoffrey,Lembet,Male,G. Lembet,Central African Republic,4grlavjd5jd86praiug1voxmd,player,1988-09-23,Villeuneuve-St-Georges,France,7gww28djs405rfga69smki84o,2025-11-11Z,active,yes,France,7gww28djs405rfga69smki84o,Goalkeeper,30.0,185.0,75.0,right,NaN,NaN
2ndfw6qjju66yhdh662rq61d6,Elydjah,Mendy,Elydjah,Mendy,Male,E. Mendy,France,7gww28djs405rfga69smki84o,player,2000-03-14,Mont-Saint-Aignan,France,7gww28djs405rfga69smki84o,2025-08-27Z,active,yes,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,Defender,21.0,193.0,83.0,left,NaN,NaN
2rxdfdi96rnkn7mh4itzflx5g,Nehemiah,Fernandez-Veliz,Nehemiah,Fernandez-Veliz,Male,N. Fernandez-Veliz,France,7gww28djs405rfga69smki84o,player,2004-12-11,Stains,France,7gww28djs405rfga69smki84o,2025-07-01Z,active,yes,NaN,NaN,Defender,4.0,185.0,NaN,right,NaN,NaN
3z8y6sisrjl8upemu9mmjr07p,Enzo,Basilio,Enzo,Basilio,Male,E. Basilio,France,7gww28djs405rfga69smki84o,player,1994-10-03,Dijon,France,7gww28djs405rfga69smki84o,2025-07-11Z,active,yes,Italy,25f2cmb2r8mk5rj92tzer6kvv,Goalkeeper,1.0,187.0,75.0,right,NaN,NaN
4kd6nnylpdwodl8d8uvojl78,Niama Pape,Sissoko,Niama,Sissoko,Male,N. Sissoko,Mali,d0v29nncgikdswlxpdq553zz,player,2005-12-16,NaN,Mali,d0v29nncgikdswlxpdq553zz,2026-01-08Z,active,yes,NaN,NaN,Attacker,9.0,186.0,72.0,right,2026-06-30Z,NaN
4ki61hdrbxd3qsocjk3e448o9,Bakari,Camara,Bakari,Camara,Male,B. Camara,Mauritania,fddgtcs6irg28x9oqietkb6x,player,1994-01-04,Aulnay-sous-Bois,France,7gww28djs405rfga69smki84o,2024-07-01Z,active,yes,France,7gww28djs405rfga69smki84o,Midfielder,13.0,189.0,78.0,right,NaN,NaN
4phxwiks7sjurfnmlqdb9qcd0,Zakaria,Ztouti,Zakaria,Ztouti,Male,Z. Ztouti,France,7gww28djs405rfga69smki84o,player,2006-10-20,NaN,France,7gww28djs405rfga69smki84o,2025-07-01Z,active,yes,NaN,NaN,Attacker,26.0,NaN,NaN,NaN,NaN,NaN
52chn9w0r6gxhtfyvpd1eu1g5,Ćazim,Suljić,Cazim,Suljic,Male,Ć. Suljić,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,player,1996-10-29,Saint Priest en Jarez,France,7gww28djs405rfga69smki84o,2024-07-01Z,active,yes,France,7gww28djs405rfga69smki84o,Midfielder,5.0,178.0,73.0,left,NaN,NaN
554kyr3o9z9smhd0hjghnyj8p,Maxence,Carlier,Maxence,Carlier,Male,M. Carlier,France,7gww28djs405rfga69smki84o,player,1997-03-15,NaN,France,7gww28djs405rfga69smki84o,2023-08-01Z,active,yes,NaN,NaN,Defender,17.0,NaN,NaN,NaN,NaN,NaN
5choprzevm9tvdokmn7f11w5w,Almami,Touré,Almami,Touré,Male,A. Touré,France,7gww28djs405rfga69smki84o,player,2006-08-19,Montreuil-sous-Bois,France,7gww28djs405rfga69smki84o,2025-08-01Z,active,yes,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Goalkeeper,NaN,NaN,NaN,right,NaN,NaN
5mgutq424xhednj2btfe6f46h,Cheikh Ibrahima,Touré,Cheikh,Touré,Male,C. Touré,France,7gww28djs405rfga69smki84o,player,1996-09-22,NaN,France,7gww28djs405rfga69smki84o,2023-07-01Z,active,no,Senegal,6hhqyhr5cwq2pfprlazyposyk,Attacker,9.0,NaN,NaN,NaN,2025-08-31Z,NaN
5w9g9gfeucuccwxd09o62f84p,Christ-Emmanuel Faitout,Maouassa,Faitout,Maouassa,Male,F. Maouassa,France,7gww28djs405rfga69smki84o,player,1998-07-06,Villepinte,France,7gww28djs405rfga69smki84o,2025-08-14Z,active,yes,Congo,1s2y6o0lwj69dj5ib5pid8f6r,Defender,27.0,170.0,76.0,left,NaN,NaN
666513vr9uqy9sj7amvy8hrdh,Jérémy Pierre Sincère,Gélin,Jérémy,Gélin,Male,J. Gélin,France,7gww28djs405rfga69smki84o,player,1997-04-24,Quimper,France,7gww28djs405rfga69smki84o,2025-11-21Z,active,yes,NaN,NaN,Midfielder,25.0,183.0,77.0,right,NaN,NaN
