id,firstName,lastName,matchName,nationality,nationalityId,position,type,countryOfBirth,countryOfBirthId,status,active,shirtNumber,dateOfBirth,height,foot,shortFirstName,shortLastName,weight,knownName,placeOfBirth,secondNationality,secondNationalityId
2dlt0ck6vad3byclgvr29ofmc,Carl,Ernstsen,C. Ernstsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2xmgn875zwo308du7lp25zv9w,Anders,Juul,A. Juul,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,16.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2y65avu2ghuntguat0y8giwpg,Tunahan,Turan,T. Turan,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3s0h0r2wbp7gekvp70fy5fbpw,Ole,Pedersen,O. Pedersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,coach,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,1975-01-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3sczauyurwdytwyxfm6w08zkk,Sebastian,Mortensen Segall,S. Segall,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,19.0,2000-11-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43xw2w4o8dm3zjbtxh8n9vsb8,Aymen,Lamlil,A. Lamlil,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,1996-07-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4indifv9zvhvgwykp4qd4wqhg,Jeppe,Orbe,J. Orbe,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,18.0,2001-11-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5j0hfjn8gm8ltc4y4s2q0jdd6,Lucas Rejnhold,Steen,L. Steen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,7.0,2000-06-13,178.0,left,NaN,NaN,NaN,NaN,NaN,NaN,NaN
626hzjrxdonbtlr40db0p2yvo,Mudabar,Qadir,M. Qadir,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6ij8iblf37p1nnm8w06d90aju,Ahmed Mosa,Alswafi,A. Alswafi,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,13.0,1999-11-10,179.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6nbfocgmh7rtvbyynwscusr2s,Ruben André,Pedersen,R. Pedersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,10.0,1998-06-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73790qn3bycl5xbvfk26t6exg,Cedric,Junior Bediang Atsoko,C. Bediang,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,11.0,2000-01-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7548wp08g8k6evfbkkm0y2txw,Tobias,Søderstrøm,T. Søderstrøm,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76f4i2d8qzkmgszonuit12q6s,Marcus,Weiss,M. Weiss,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,6.0,1999-06-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7e8iuxsvj73fz4hfnbzdjg4bt,Boris,Saric,B. Saric,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,1997-01-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7s2madtf5l6yvrsf9wbi7h2j8,Jonas,Apuada Nielsen,J. Nielsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,9.0,2001-04-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80ig3w6sji7h5ebg2zx1jekgk,Emil Kilde,Corfitzen,E. Corfitzen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,5.0,2004-12-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9f7ga87opn7c3sbgexis069lg,Dagur,Arnason,D. Arnason,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9neczkp55vhfgejgx3wjm8g7o,Nadeem,Al Shemary,N. Al Shemary,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
