id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,endDate,status,active,secondNationality,secondNationalityId,knownName
139x1fi4ax09rz46q36ciag6i,Przemysław,Pęksa,Przemyslaw,Peksa,Male,P. Pęksa,Poland,27baqb7359ywdvsxxklx1kn11,Goalkeeper,player,2002-03-12,Lubartow,Poland,27baqb7359ywdvsxxklx1kn11,186.0,78.0,right,12.0,2023-07-29Z,2025-06-30Z,active,no,NaN,NaN,NaN
1bzlb6q2ojuw0qbucpt8ipno4,Dawid,Drachal,Dawid,Drachal,Male,D. Drachal,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2005-01-31,Radom,Poland,27baqb7359ywdvsxxklx1kn11,182.0,75.0,both,18.0,2025-02-05Z,2025-06-19Z,active,no,NaN,NaN,NaN
1s2hnit6uh6b651m3jn9w52p5,Mateusz,Marzec,Mateusz,Marzec,Male,M. Marzec,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,1994-08-13,Ozimek,Poland,27baqb7359ywdvsxxklx1kn11,178.0,70.0,NaN,17.0,2023-01-29Z,NaN,active,yes,NaN,NaN,NaN
1z3geshn4wenhv4ykebzv51bd,Grzegorz,Rogala,Grzegorz,Rogala,Male,G. Rogala,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,1995-10-12,Stargard Szczeciński,Poland,27baqb7359ywdvsxxklx1kn11,183.0,76.0,left,16.0,2019-07-05Z,NaN,active,yes,NaN,NaN,NaN
2od50aaxh8hofv32r291dqjh0,Kacper,Ćwielong,Kacper,Cwielong,Male,K. Cwielong,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2007-08-22,NaN,Poland,27baqb7359ywdvsxxklx1kn11,NaN,NaN,NaN,29.0,2024-02-23Z,2024-08-02Z,active,no,NaN,NaN,NaN
2pdy64dhznfn9tu2ahy3ef5qt,Bartosz,Nowak,Bartosz,Nowak,Male,B. Nowak,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,1993-08-25,Radom,Poland,27baqb7359ywdvsxxklx1kn11,180.0,74.0,right,27.0,2024-07-23Z,NaN,active,yes,NaN,NaN,NaN
473vhx4rfbcclgat6tsin2dpl,Rafał,Strączek,Rafal,Straczek,Male,R. Strączek,Poland,27baqb7359ywdvsxxklx1kn11,Goalkeeper,player,1999-02-12,Jarosław,Poland,27baqb7359ywdvsxxklx1kn11,188.0,80.0,right,32.0,2024-07-24Z,NaN,active,yes,NaN,NaN,NaN
4czvb5mgp2vc80xu80gcsao5x,Adrian,Błąd,Adrian,Blad,Male,A. Błąd,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,1991-04-16,Lubin,Poland,27baqb7359ywdvsxxklx1kn11,165.0,68.0,both,11.0,2017-08-21Z,NaN,active,yes,NaN,NaN,NaN
4k6q76mgnuplycboirg98tzh1,Alan,Czerwiński,Alan,Czerwinski,Male,A. Czerwiński,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,1993-02-02,Olkusz,Poland,27baqb7359ywdvsxxklx1kn11,181.0,74.0,right,30.0,2024-07-09Z,NaN,active,yes,NaN,NaN,NaN
4s3h19ojsrqg74yk5u6ryms5w,Shun,Shibata,Shun,Shibata,Male,S. Shibata,Japan,lxyibh89lpdc0bfian1nx0xq,Midfielder,player,1997-06-15,Toyota,Japan,lxyibh89lpdc0bfian1nx0xq,165.0,NaN,right,31.0,2023-07-29Z,2024-08-30Z,active,no,NaN,NaN,NaN
5epn2w42npctbsab7hyzxs4fe,Bartosz,Baranowicz,Bartosz,Baranowicz,Male,B. Baranowicz,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2003-01-11,NaN,Poland,27baqb7359ywdvsxxklx1kn11,175.0,64.0,NaN,21.0,2023-07-21Z,2025-06-30Z,active,no,NaN,NaN,NaN
6b0o88v7qb1zv05cs2kewi1nt,Oskar,Repka,Oskar,Repka,Male,O. Repka,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,1999-01-03,Bydgoszcz,Poland,27baqb7359ywdvsxxklx1kn11,190.0,85.0,right,5.0,2021-07-01Z,2025-07-04Z,active,no,NaN,NaN,NaN
6gio220jnnpvfcfkqpo53gxjp,Adam,Zreľák,Adam,Zrelák,Male,A. Zreľák,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,1994-05-05,Stará Ľubovňa,Slovakia,7dybe8679n9bgyrcxi383pq3y,183.0,80.0,left,99.0,2024-06-25Z,NaN,active,yes,NaN,NaN,NaN
6mjhepo267xtrt1bqre1dsq8l,Lukas Rafael,Klemenz,Lukas,Klemenz,Male,L. Klemenz,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,1995-09-24,Neu-Ulm,Germany,36min0qztu8eydwvpv8t1is0m,191.0,88.0,right,6.0,2024-06-24Z,NaN,active,yes,NaN,NaN,NaN
7dd79dc2bwcugqyn3fjs3emt,Jakub,Arak,Jakub,Arak,Male,J. Arak,Poland,27baqb7359ywdvsxxklx1kn11,Attacker,player,1995-04-02,Warszawa,Poland,27baqb7359ywdvsxxklx1kn11,183.0,78.0,right,18.0,2022-06-13Z,2025-01-20Z,active,no,NaN,NaN,NaN
87nm0x0cddslis4didzux8xsk,Szymon,Krawczyk,Szymon,Krawczyk,Male,S. Krawczyk,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2004-02-28,Sosnowiec,Poland,27baqb7359ywdvsxxklx1kn11,178.0,73.0,both,15.0,2023-02-17Z,2024-09-04Z,active,no,NaN,NaN,NaN
