id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,status,active,secondNationality,secondNationalityId,endDate,knownName
18tdnqd840ai8xf7wr92if95g,Jiří,Hamza,Jirí,Hamza,Male,J. Hamza,Czechia,5md5tpwr2nmqao528prx43jr7,Defender,player,2005-07-08,Brno,Czechia,5md5tpwr2nmqao528prx43jr7,181.0,79.0,left,25.0,2025-02-05Z,active,yes,NaN,NaN,NaN,NaN
19qtx4n4tmo0pbkzezmieiezu,Robert,Mišković,Robert,Miskovic,Male,R. Mišković,Croatia,37hlakrwxyuzovaeoo4sezusp,Midfielder,player,1999-10-20,Ingolstadt,Germany,36min0qztu8eydwvpv8t1is0m,189.0,84.0,right,22.0,2025-01-26Z,active,no,Germany,36min0qztu8eydwvpv8t1is0m,2025-09-08Z,NaN
1ay3ef800f635ki7nks9w9re,Andrej,Stojchevski,Andrej,Stojchevski,Male,A. Stojchevski,North Macedonia,1lesyxylc5eza0a4z87t9azcc,Defender,player,2003-05-26,NaN,North Macedonia,1lesyxylc5eza0a4z87t9azcc,186.0,75.0,right,4.0,2025-06-21Z,active,yes,NaN,NaN,NaN,NaN
1oqsye3np44f24kfne286k6ol,Michal,Trávník,Michal,Trávník,Male,M. Trávník,Czechia,5md5tpwr2nmqao528prx43jr7,Midfielder,player,1994-05-17,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,175.0,70.0,right,10.0,2022-07-02Z,active,yes,NaN,NaN,NaN,NaN
2pmyiqgl3t8y1dd42khlg4dex,Daniel,Tetour,NaN,NaN,Male,D. Tetour,Czechia,5md5tpwr2nmqao528prx43jr7,Midfielder,player,1994-07-17,Praha,Czechia,5md5tpwr2nmqao528prx43jr7,181.0,71.0,NaN,8.0,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN
2q0gmmm1809ngjpbgq6raiv9x,Milan,Rundić,Milan,Rundic,Male,M. Rundić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,1992-03-23,Beograd,Serbia,5w4ve503bjdsshwx9ho6jxzx0,188.0,80.0,left,3.0,2025-08-20Z,active,yes,NaN,NaN,NaN,NaN
3cll4hlo919ttg7ninjcgy02d,Milan,Petržela,Milan,Petrzela,Male,M. Petržela,Czechia,5md5tpwr2nmqao528prx43jr7,Midfielder,player,1983-06-19,Hoštice-Heroltice,Czechia,5md5tpwr2nmqao528prx43jr7,172.0,64.0,right,11.0,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN
3ph2vmo060rq3l7h3korj30lx,Žan,Medved,Zan,Medved,Male,Ž. Medved,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,Attacker,player,1999-06-14,Slovenj Gradec,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,185.0,NaN,NaN,55.0,2025-09-02Z,active,yes,NaN,NaN,2026-06-30Z,NaN
3shgc6w2kq4bgpbswjgimycmi,Alan Nicolás,Marinelli,Alan,Marinelli,Male,A. Marinelli,Argentina,2vovxa97k7v7ofa85dah2xktb,Attacker,player,1999-04-07,Rosario,Argentina,2vovxa97k7v7ofa85dah2xktb,174.0,70.0,left,9.0,2025-07-29Z,active,yes,NaN,NaN,NaN,NaN
3wnx3njkovnzl5eimqjcmluz8,Daniel,Barát,NaN,NaN,Male,D. Barát,Czechia,5md5tpwr2nmqao528prx43jr7,Midfielder,player,2006-08-16,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,14.0,2025-06-16Z,active,yes,NaN,NaN,NaN,NaN
49h6arnqkyla1a8kpkogy0wes,Jiří,Borek,Jirí,Borek,Male,J. Borek,Czechia,5md5tpwr2nmqao528prx43jr7,Goalkeeper,player,2002-09-23,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,31.0,2025-01-01Z,active,yes,NaN,NaN,NaN,NaN
4ubkf4v7ka2h7tyd7wt1fyoa2,Seung-Bin,Kim,Seung-Bin,Kim,Male,Kim Seung-Bin,Korea Republic,4vzpxtqkiwx0puygnmayr74di,Midfielder,player,2000-12-28,NaN,Korea Republic,4vzpxtqkiwx0puygnmayr74di,NaN,NaN,NaN,77.0,2023-01-01Z,active,yes,NaN,NaN,NaN,Kim Seung-Bin
512ozlfpg70sx8dk6wemzrx0,Štěpán,Beran,Stepán,Beran,Male,Š. Beran,Czechia,5md5tpwr2nmqao528prx43jr7,Midfielder,player,2004-03-10,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,176.0,NaN,right,NaN,2026-01-01Z,active,no,NaN,NaN,NaN,NaN
57lh551wzmyjrw2qt9j97lh3p,Milan,Heča,Milan,Heca,Male,M. Heča,Czechia,5md5tpwr2nmqao528prx43jr7,Goalkeeper,player,1991-03-21,Krumvíř,Czechia,5md5tpwr2nmqao528prx43jr7,192.0,82.0,right,29.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN
5ub4ppwuu1ufjtw9s37s2eb8q,Jan,Kameník,NaN,NaN,Male,J. Kameník,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,coach,1982-01-25,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,NaN,2025-06-05Z,active,yes,NaN,NaN,NaN,NaN
5yxmjnv5xa4evkrmh8nleebpx,Michael,Krmenčík,Michael,Krmencik,Male,M. Krmenčík,Czechia,5md5tpwr2nmqao528prx43jr7,Attacker,player,1993-03-15,Kraslice,Czechia,5md5tpwr2nmqao528prx43jr7,191.0,84.0,right,21.0,2024-08-14Z,active,yes,NaN,NaN,NaN,NaN
6ft0p23uh329gr0xc2cdni1ud,Gigli,Nsungani Ndefe,Gigli,Nsungani Ndefe,Male,Gigli Ndefe,Angola,3k53bkrjx5zsxchc6e3mcd834,Defender,player,1994-03-02,Wieërt,Netherlands,6hzi5pltnz67q4la8yli9qfv6,175.0,67.0,both,2.0,2024-07-10Z,active,yes,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,Gigli Ndefe
74frf4bgorg0qti5xzni7927e,Jakub,Křišťan,Jakub,Kristan,Male,J. Křišťan,Czechia,5md5tpwr2nmqao528prx43jr7,Midfielder,player,2002-07-05,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,19.0,2024-06-21Z,active,no,NaN,NaN,2025-09-08Z,NaN
846noswumd4tahm2f7p9g6iac,Pavel,Juroška,Pavel,Juroska,Male,P. Juroška,Czechia,5md5tpwr2nmqao528prx43jr7,Midfielder,player,2001-07-07,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,177.0,NaN,NaN,24.0,2022-01-26Z,active,yes,NaN,NaN,NaN,NaN
8zvsos5fsrrf9aizqmyhtt9m,Martin,Šviderský,Martin,Svidersky,Male,M. Šviderský,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2002-10-04,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,184.0,NaN,left,6.0,2025-09-02Z,active,yes,NaN,NaN,NaN,NaN
aprzekzw2al3nf4dglv6eicb9,Marek,Havlík,Marek,Havlík,Male,M. Havlík,Czechia,5md5tpwr2nmqao528prx43jr7,Midfielder,player,1995-07-08,Lubná,Czechia,5md5tpwr2nmqao528prx43jr7,178.0,71.0,left,20.0,2013-05-25Z,active,yes,NaN,NaN,NaN,NaN
b0m2tr3d2xvi05pys67izxu96,Josef,Mucha,Josef,Mucha,Male,J. Mucha,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,assistant coach,1967-10-07,Prostějov,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,NaN,2021-04-30Z,active,yes,NaN,NaN,NaN,NaN
bihamlyogjwptxcl9netbm5lh,Martin,Koscelník,Martin,Koscelník,Male,M. Koscelník,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1995-03-02,Vranove nad Topľou,Slovakia,7dybe8679n9bgyrcxi383pq3y,180.0,74.0,right,7.0,2025-01-29Z,active,yes,NaN,NaN,NaN,NaN
bvwwdzqz77e99m0ugla4vtud,Tomáš,Fryšták,Tomás,Frysták,Male,T. Fryšták,Czechia,5md5tpwr2nmqao528prx43jr7,Goalkeeper,player,1987-08-18,Uherské Hradiště,Czechia,5md5tpwr2nmqao528prx43jr7,193.0,83.0,right,30.0,2022-01-26Z,active,yes,NaN,NaN,NaN,NaN
by7hjiqxbh17o7xdwjjzhi1g5,Marko,Kvasina,Marko,Kvasina,Male,M. Kvasina,Austria,hcs1bd49qliqqity6o268jyt,Attacker,player,1996-12-20,Wien,Austria,hcs1bd49qliqqity6o268jyt,195.0,79.0,right,27.0,2024-01-01Z,active,yes,NaN,NaN,NaN,NaN
cqk9istk6ldbfe5bnoqzhih91,Vlastimil,Daníček,Vlastimil,Danícek,Male,V. Daníček,Czechia,5md5tpwr2nmqao528prx43jr7,Defender,player,1991-07-15,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,187.0,79.0,right,28.0,2015-07-01Z,active,yes,NaN,NaN,NaN,NaN
cvqvg33murndn4ej07vtn9lyi,Daniel,Kosek,Daniel,Kosek,Male,D. Kosek,Czechia,5md5tpwr2nmqao528prx43jr7,Defender,player,2001-05-19,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,181.0,71.0,left,17.0,2025-07-01Z,active,no,NaN,NaN,2025-08-20Z,NaN
d2ua4dqxer9zjh1ulsulmbz6x,Patrik,Blahút,NaN,NaN,Male,P. Blahút,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1997-10-07,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,15.0,2024-06-21Z,active,yes,NaN,NaN,NaN,NaN
da3d2iu2j4yb7q1ag063mu44q,Jonathan,Mulder,Jonathan,Mulder,Male,J. Mulder,Israel,4bnqn6mt5vyslpxfuqdrcmpgp,Defender,player,2002-01-02,Houten,Netherlands,6hzi5pltnz67q4la8yli9qfv6,187.0,77.0,left,18.0,2025-07-10Z,active,yes,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN
edyeb110tuk6q5z81s3tvxlh,Petr,Reinberk,Petr,Reinberk,Male,P. Reinberk,Czechia,5md5tpwr2nmqao528prx43jr7,Defender,player,1989-05-23,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,178.0,75.0,right,23.0,2010-07-01Z,active,yes,NaN,NaN,NaN,NaN
fcghqq1nmg50uuzxkskomiuh,Filip,Vaško,Filip,Vasko,Male,F. Vaško,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1999-08-11,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,191.0,78.0,NaN,5.0,2024-07-10Z,active,yes,NaN,NaN,NaN,NaN
