id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,shirtNumber,startDate,status,active,height,foot,endDate,secondNationality,secondNationalityId,placeOfBirth,knownName,weight
18e98agfd0xvy161ax3ru08pg,Chianyindi Spencer,Silas,Chianyindi Spencer,Silas,Male,C. Silas,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2003-08-12,Nigeria,63pvdwrsiq5b07mzi8igqei9p,6.0,2025-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18xd5tutfsezwq4bxdbuc4b9w,Iiro,Mendolin,Iiro,Mendolin,Male,I. Mendolin,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2006-05-25,Finland,2u07e54v5dprsugdvddpq5ync,21.0,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1s5o68av3fr18by5wv21hx3pw,Eemil,Merikanto,Eemil,Merikanto,Male,E. Merikanto,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2005-08-03,Finland,2u07e54v5dprsugdvddpq5ync,25.0,2023-01-01Z,active,yes,176.0,right,NaN,NaN,NaN,NaN,NaN,NaN
2iff45qvldope3itiwthnvgx6,Onni Jalmari,Tiihonen,Onni,Tiihonen,Male,O. Tiihonen,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2000-06-06,Finland,2u07e54v5dprsugdvddpq5ync,17.0,2025-01-01Z,active,yes,NaN,right,NaN,NaN,NaN,NaN,NaN,NaN
2qp95aav4u1upbwklgba4pij8,Shadirac Chyreme,Say,Shadirac,Say,Male,S. Say,Ghana,2q2sw72utw5gu9t5y4knckwba,Defender,player,2004-04-23,Ghana,2q2sw72utw5gu9t5y4knckwba,75.0,2025-07-10Z,active,yes,NaN,NaN,2025-12-31Z,NaN,NaN,NaN,NaN,NaN
33va022bhya45v496wz8usn6y,Otto,Kemppainen,Otto,Kemppainen,Male,O. Kemppainen,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2003-10-27,Finland,2u07e54v5dprsugdvddpq5ync,16.0,2025-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34fwusofyb597k9p40dcykx04,Sampo,Ala-Iso,Sampo,Ala-Iso,Male,S. Ala-Iso,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2003-03-06,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2025-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3ajk1fh1r7rxjmsljdm5zs639,Mikko,Pitkänen,Mikko,Pitkänen,Male,M. Pitkänen,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,1997-01-02,Finland,2u07e54v5dprsugdvddpq5ync,5.0,2025-01-01Z,active,yes,198.0,right,NaN,NaN,NaN,NaN,NaN,NaN
3tpjeq8mn2sy9v6a8hcesp9wq,Tuomas,Kaukua,Tuomas,Kaukua,Male,T. Kaukua,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2000-10-13,Finland,2u07e54v5dprsugdvddpq5ync,22.0,2025-01-01Z,active,yes,176.0,right,NaN,NaN,NaN,NaN,NaN,NaN
40t0vgttcswr26hzn9ckdaxp0,Joel,Lotvonen,Joel,Lotvonen,Male,J. Lotvonen,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2007-01-17,Finland,2u07e54v5dprsugdvddpq5ync,36.0,2025-06-13Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4accnmk8l7khcvpzibgdxjl04,Julius,Körkkö,Julius,Körkkö,Male,J. Körkkö,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2006-07-03,Finland,2u07e54v5dprsugdvddpq5ync,26.0,2024-01-27Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4d70ge13biepbln2k00bhw8o9,Shayon Adam,Harrison,Shayon,Harrison,Male,S. Harrison,England,1fk5l4hkqk12i7zske6mcqju6,Attacker,player,1997-07-13,England,1fk5l4hkqk12i7zske6mcqju6,23.0,2025-07-04Z,active,yes,183.0,left,NaN,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,London,NaN,NaN
4l6cwhaiketshzm5uk8qa7hg4,Luke,Robertson,Luke,Robertson,Male,L. Robertson,England,1fk5l4hkqk12i7zske6mcqju6,NaN,assistant coach,1997-01-22,England,1fk5l4hkqk12i7zske6mcqju6,NaN,2023-11-18Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4votdnyh0srvboatz6a20d5p0,Julius,Paananen,Julius,Paananen,Male,J. Paananen,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2006-11-26,Finland,2u07e54v5dprsugdvddpq5ync,37.0,2023-09-21Z,active,yes,185.0,NaN,NaN,NaN,NaN,NaN,Julius Paananen,75.0
4yrq87uz6to2lf35c5a77ux3o,Abdulhaqq,Olanrewaju Mohammed,NaN,NaN,Male,A. Olanrewaju Mohammed,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Defender,player,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,2025-04-16Z,active,no,NaN,NaN,2025-04-16Z,NaN,NaN,NaN,NaN,NaN
