id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,endDate,status,active,secondNationality,secondNationalityId,knownName
181g6wzi3ihz7zuzte0ck77bp,Tomáš,Huk,Tomas,Huk,Male,T. Huk,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1994-12-22,Košice,Slovakia,7dybe8679n9bgyrcxi383pq3y,184.0,79.0,right,5.0,2019-07-01Z,2025-06-30Z,active,no,NaN,NaN,NaN
18kocq2s0h6q6jfjbba8dcy51,Aleksandar,Vuković,Aleksandar,Vukovic,Male,A. Vuković,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,coach,1979-08-25,Banja Luka,Serbia,5w4ve503bjdsshwx9ho6jxzx0,186.0,82.0,NaN,NaN,2022-10-27Z,2025-06-30Z,active,no,Poland,27baqb7359ywdvsxxklx1kn11,NaN
1doj52vyyeu5m7rq7geruu8ve,Serhii,Krykun Wiktorowycz,Serhii,Krykun,Male,S. Krykun,Ukraine,315w6fk6umfzf4qvba3t55u61,Attacker,player,1996-09-22,Karpylivka,Ukraine,315w6fk6umfzf4qvba3t55u61,175.0,70.0,right,44.0,2023-06-15Z,2024-09-03Z,active,no,Poland,27baqb7359ywdvsxxklx1kn11,NaN
1lmkzgjn68a57dw3n2nsk20ut,Grzegorz,Tomasiewicz,Grzegorz,Tomasiewicz,Male,G. Tomasiewicz,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,1996-05-05,Jaworzno,Poland,27baqb7359ywdvsxxklx1kn11,166.0,59.0,both,20.0,2022-06-14Z,NaN,active,yes,NaN,NaN,NaN
1utq05d236olr7aoy810clgwl,František,Plach,Frantisek,Plach,Male,F. Plach,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,1992-03-08,Žilina,Slovakia,7dybe8679n9bgyrcxi383pq3y,192.0,80.0,left,26.0,2018-02-01Z,NaN,active,yes,NaN,NaN,NaN
1vaq6n1fj8qvmee8y7g03juvo,Piotr,Liszewski,Piotr,Liszewski,Male,P. Liszewski,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,2004-12-18,Warszawa,Poland,27baqb7359ywdvsxxklx1kn11,184.0,77.0,right,25.0,2022-07-01Z,2025-01-16Z,active,no,NaN,NaN,NaN
3mvk8dy30tm7nk780eud5gr2s,Piotr,Urbański,Piotr,Urbanski,Male,P. Urbański,Poland,27baqb7359ywdvsxxklx1kn11,Attacker,player,2004-09-29,Lublin,Poland,27baqb7359ywdvsxxklx1kn11,190.0,74.0,right,99.0,2023-07-20Z,2024-06-30Z,active,no,NaN,NaN,NaN
3zr1bups9z7w6lzi2ysj9nm51,Jakub,Holúbek,Jakub,Holúbek,Male,J. Holúbek,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1991-01-12,Trenčín,Slovakia,7dybe8679n9bgyrcxi383pq3y,180.0,77.0,left,14.0,2019-07-01Z,2024-06-15Z,active,no,NaN,NaN,NaN
492o4ign0i938ppxmp55k3evo,Bartłomiej,Jelonek,Bartlomiej,Jelonek,Male,B. Jelonek,Poland,27baqb7359ywdvsxxklx1kn11,Goalkeeper,player,2001-12-22,Bytom,Poland,27baqb7359ywdvsxxklx1kn11,188.0,81.0,right,12.0,2022-07-01Z,2025-06-30Z,active,no,NaN,NaN,NaN
4h6ku69wrhijpfltgrxtzeqj9,Michał Łukasz,Chrapek,Michal,Chrapek,Male,M. Chrapek,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,1992-04-03,Jaworzno,Poland,27baqb7359ywdvsxxklx1kn11,177.0,74.0,right,6.0,2020-10-10Z,NaN,active,yes,NaN,NaN,NaN
