id,firstName,lastName,gender,matchName,nationality,nationalityId,position,type,countryOfBirth,countryOfBirthId,status,active,shirtNumber,dateOfBirth,shortFirstName,shortLastName,foot,height,weight,placeOfBirth,secondNationality,secondNationalityId,knownName
12xaazmxla3jny8h68yo7qiac,Khalid,Filfil Hassan,Male,K. Filfil,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18eecu8elbymkittvquu1ludw,Niels,Pedersen,Male,N. Pedersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,15.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2di2yyrp43nxrps041kemdatw,Frederik,Kure Enghild,Male,F. Enghild,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2y65avu2ghuntguat0y8giwpg,Tunahan,Turan,Male,T. Turan,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43xw2w4o8dm3zjbtxh8n9vsb8,Aymen,Lamlil,Male,A. Lamlil,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,1996-07-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4tqn5owmvir0bik5c62vy1fx1,Mohammed,Abdalas,Male,M. Abdalas,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN,coach,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,1986-10-26,Mohammed,Abdalas,right,NaN,NaN,NaN,NaN,NaN,NaN
558hxlukozt9a3xljhhghspgp,Nicolas,Mortensen,Male,N. Mortensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,10.0,1994-04-26,Nicolas,Mortensen,NaN,180.0,75.0,NaN,NaN,NaN,NaN
5j0hfjn8gm8ltc4y4s2q0jdd6,Lucas Rejnhold,Steen,Male,L. Steen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,7.0,2000-06-13,NaN,NaN,left,178.0,NaN,NaN,NaN,NaN,NaN
5jdb1o2h25jrtgxbhozz4t05w,Jonatan,Ari Bragason,Male,J. Bragason,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5z80nn0po7ngea3r4h5oa6dxw,Mikkel,Bröchner,Male,M. Bröchner,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,12.0,2002-04-30,NaN,NaN,right,188.0,NaN,NaN,NaN,NaN,NaN
6m0teie6rh9w1z3311v2qs104,Pedro,Kodjo,Male,P. Kodjo,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6nbfocgmh7rtvbyynwscusr2s,Ruben André,Pedersen,Male,R. Pedersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,1998-06-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6ojap4n8kdq0o7k4yms0353x0,Carl,Ruby-Johansen,Male,C. Ruby-Johansen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,17.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6x2pv8dectaqszw6pxbtbvdp0,Hjalte Emil,Mcguire,Male,H. Mcguire,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,25.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73790qn3bycl5xbvfk26t6exg,Cedric,Junior Bediang Atsoko,Male,C. Bediang,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,11.0,2000-01-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76f4i2d8qzkmgszonuit12q6s,Marcus,Weiss,Male,M. Weiss,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,6.0,1999-06-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7o8p22htif0w1tv666sk7mwpg,Joachim,Simonsen Blomsterberg,Male,J. Blomsterberg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,4.0,2001-08-25,NaN,NaN,left,NaN,NaN,NaN,NaN,NaN,NaN
7s2madtf5l6yvrsf9wbi7h2j8,Jonas,Apuada Nielsen,Male,J. Nielsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,9.0,2001-04-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81t5eysj93zpnkcjqu0gspkyy,Simon,Prebensen,Male,S. Prebensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,1.0,2001-03-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8opy5nlc7xlw59gsqfoomtxqs,Emmanuel,Ikeocha,Male,E. Ikeocha,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8p0rrdtow6c1mgn8nz4z5wljo,Asger,Vitved Bruhn,Male,A. Bruhn,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9f7ga87opn7c3sbgexis069lg,Dagur,Arnason,Male,D. Arnason,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,22.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ad4xfl3btcav8p9ocgl60ud5g,Ali,Jennane,Male,A. Jennane,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,23.0,2004-06-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
b2qusz3e992xrzdx8vnw8mjv8,Christopher,Grube Jensen,Male,C. Jensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,1995-04-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
b9aq9yx55mzsxytagdlvudbmc,Lauge Frederik,Persson,Male,L. Persson,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,21.0,2000-02-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
bnup4zkh2r8sijnykdyo306xg,Zakaria,Alla,Male,Z. Alla,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,19.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
brbuekyk2m3a4oubvjy35b02c,Sebastian,Hartelius Lopez,Male,S. Lopez,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,1999-09-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ch5w8y8ltm5swxh0ukr50fac4,Marcus C. P.,Ytting,Male,M. Ytting,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,16.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cvbupgkcjocoal1afv9fwuiok,Louie,Norgreen,Male,L. Norgreen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dayvlomuzfzanlntakrryqz56,Mattheo Vincent,Tarnow Cliford,Male,M. Cliford,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,2001-03-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
eytqtx5j09131yva0orga3kt0,Sebastian,Koldin,Male,S. Koldin,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,8.0,2000-08-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
eyubkmgjda0shv2fucdx8hyqc,Mathias,Piel Christensen,Male,M. Christensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,1995-10-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
g66jncejbcxb7jwqaywasljo,Emil,Ullitz Brodersen,Male,E. Brodersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2h94np282g0qtzal1czznequi,Anders,Nørbo Hoff Nielsen,Male,A. Hoff,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,31.0,2003-09-04,Anders,Hoff,right,188.0,NaN,NaN,NaN,NaN,NaN
2p9y93r7xfjb71d1bfckcs53p,Oliver,Stanisic,Male,O. Stanisic,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,Sweden,1z6l2c33w2kyz9rdefs1d68nb,active,yes,2.0,1994-02-10,Oliver,Stanisic,right,192.0,NaN,NaN,NaN,NaN,NaN
