id,firstName,lastName,shortFirstName,shortLastName,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,shirtNumber,status,active,placeOfBirth,knownName,secondNationality,secondNationalityId,weight,foot
199esyhrr5g0fb4nrhi8ow9yi,Stefan,Purtić,Stefan,Purtic,S. Purtić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,1998-08-06,Serbia,5w4ve503bjdsshwx9ho6jxzx0,183.0,25.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
19exxe5h9pzkq2ecop6ib86ad,Florin Cristian,Pârvu,Florin,Parvu,F. Pârvu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,coach,1975-04-02,Romania,17oj2qrzqlkhdjvazum10sx2i,184.0,NaN,active,no,Ploiești,NaN,NaN,NaN,NaN,NaN
1plhh8j45hvjzcbhzx0qbutxw,Andrei Cristian,Jercălău,Andrei,Jercalau,A. Jercălău,Romania,17oj2qrzqlkhdjvazum10sx2i,Goalkeeper,player,2005-03-10,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,35.0,active,yes,Ploiești,NaN,NaN,NaN,NaN,NaN
1t44y6xzubkclt6i6nzgkgr1l,Pedro Justiniano,Almeida Gomes,Pedro Justiniano,Almeida Gomes,Pedro Justiniano,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,Defender,player,2000-04-18,Italy,25f2cmb2r8mk5rj92tzer6kvv,190.0,27.0,active,no,Vicenza,Pedro Justiniano,Portugal,1nbm5i9a0403zzvltn17lxinc,83.0,right
210tzjn2rol55bce5ck0f89re,Mihai Alexandru,Constantinescu,Mihai,Constantinescu,M. Constantinescu,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,2002-10-10,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,95.0,active,no,Ploiești,NaN,NaN,NaN,NaN,NaN
2buba8xdxdoakafomzgp6sf84,Augustin Cristian,Dumitrache,Augustin,Dumitrache,A. Dumitrache,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,2006-04-22,Romania,17oj2qrzqlkhdjvazum10sx2i,180.0,97.0,active,yes,Drobeta-Turnu Severin,NaN,NaN,NaN,NaN,both
3l6yb4s7oyw2crgtkyb070fdh,Sergiu Cătălin,Hanca,Sergiu,Hanca,S. Hanca,Romania,17oj2qrzqlkhdjvazum10sx2i,Defender,player,1992-04-04,Romania,17oj2qrzqlkhdjvazum10sx2i,182.0,20.0,active,yes,Târgu Mureș,NaN,NaN,NaN,80.0,right
45a4nzekrld37gb8pzux7d7je,Valentin Constantin,Țicu,Valentin,Ticu,V. Țicu,Romania,17oj2qrzqlkhdjvazum10sx2i,Defender,player,2000-09-19,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,5.0,active,yes,Ploieşti,NaN,NaN,NaN,NaN,NaN
477ymvme3mxvj8yk4nqvfjj3e,Denis Răzvan,Radu,Denis,Radu,D. Radu,Romania,17oj2qrzqlkhdjvazum10sx2i,Defender,player,2003-03-25,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,22.0,active,yes,Caransebeș,NaN,NaN,NaN,NaN,NaN
495xdhu4x5bvngu75pel55ko9,Tommi,Jyry,Tommi,Jyry,T. Jyry,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,1999-08-16,Finland,2u07e54v5dprsugdvddpq5ync,170.0,6.0,active,yes,NaN,NaN,NaN,NaN,NaN,right
