id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,status,active,endDate,knownName
1qxxbwzws9wathh5e2ogq79jo,Rayan,Buifrahi,Rayan,Buifrahi,Male,R. Buifrahi,Belgium,4wbzjcclyefma1ourvjsu4q2j,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Attacker,player,2005-03-13,Brussels,Belgium,4wbzjcclyefma1ourvjsu4q2j,173.0,59.0,left,79.0,2025-06-16Z,active,yes,NaN,NaN
2653ar0qv3iemuoo9i097tn9w,Grady Francis,McDonnell,Grady,McDonnell,Male,G. McDonnell,Republic of Ireland,63nepb66un7juhglo2g6rezcl,Canada,1iaoypzp6syf32cz9l15pzp7e,Midfielder,player,2008-02-17,NaN,Canada,1iaoypzp6syf32cz9l15pzp7e,185.0,74.0,both,60.0,2025-01-31Z,active,yes,NaN,NaN
2biww3ztjxcdk65qxbh7lwopg,Jessi Rémy-Nzuzi Pedro,Da Silva,Jessi,Da Silva,Male,J. Da Silva,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,2008-04-15,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,72.0,2023-07-01Z,active,yes,NaN,NaN
2d5twznep3yeulj5nftnjn7ro,Mohamed Galal,Elbay,Mohamed,Elbay,Male,M. Elbay,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2008-07-15,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,95.0,2025-06-17Z,active,yes,NaN,NaN
383ovmyymmpeki2guba3lva50,Naïm,Amengai,Naïm,Amengai,Male,N. Amengai,Belgium,4wbzjcclyefma1ourvjsu4q2j,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Midfielder,player,2008-02-09,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,176.0,NaN,right,97.0,2024-08-01Z,active,yes,NaN,NaN
3btgcncl388i1fetp5ucoqi38,Tobias,Lund Jensen,Tobias,Lund Jensen,Male,T. Lund Jensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,Midfielder,player,2006-02-10,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,78.0,2022-07-01Z,active,yes,NaN,NaN
3lrm5zgy0cngpgcskeahsigwk,Alexander Leon,Vandeperre,Alexander,Vandeperre,Male,A. Vandeperre,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2006-10-27,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,92.0,2023-07-11Z,active,yes,NaN,NaN
41uoz3o267ukwxvh80n7p06j8,Sacha,Marloye,Sacha,Marloye,Male,S. Marloye,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2007-09-17,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,175.0,65.0,NaN,NaN,2025-04-28Z,active,yes,NaN,NaN
4g38r0oalsanuw8p6fa1iraxg,Samuel,Gomez Van Hoogen,Samuel,Gomez van Hoogen,Male,S. Gomez Van Hoogen,Belgium,4wbzjcclyefma1ourvjsu4q2j,Spain,49ih1pwv3ahshdf8uzrimi54c,Defender,player,2006-01-24,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,184.0,74.0,left,82.0,2025-07-01Z,active,yes,NaN,NaN
4hejb0s3tl4jyjfcn5c7rmwpg,Jano,Willems,Jano,Willems,Male,J. Willems,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2004-01-15,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,75.0,2022-08-01Z,active,yes,NaN,NaN
4zwdj7oaw9in8uo7dzzybqvpw,Vince Chijioke,Osuji,Vince,Osuji,Male,V. Osuji,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,Defender,player,2006-04-06,Lagos,Nigeria,63pvdwrsiq5b07mzi8igqei9p,188.0,83.0,right,24.0,2025-02-21Z,active,yes,NaN,NaN
770vedrjvw6qzfi2ssce8w2y,Sem,Audoor,Sem,Audoor,Male,S. Audoor,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2003-10-13,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,83.0,2022-08-01Z,active,yes,NaN,NaN
7b6e64f40u3kogblpxbt16dwp,Tim,Wolf,Tim,Wolf,Male,T. Wolf,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,coach,1988-08-13,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,NaN,2025-06-09Z,active,yes,NaN,NaN
7ktv4mwt2eynyqsznc3yczh90,Ilyas,Bouazzaoui,Ilyas,Bouazzaoui,Male,I. Bouazzaoui,Belgium,4wbzjcclyefma1ourvjsu4q2j,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Midfielder,player,2007-11-01,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,173.0,NaN,right,NaN,2025-07-01Z,active,yes,NaN,NaN
82vm0aqex9vlktk3xslsd3aqc,Wout,Verlinden,Wout,Verlinden,Male,W. Verlinden,Belgium,4wbzjcclyefma1ourvjsu4q2j,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2007-01-04,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,right,93.0,2023-07-01Z,active,yes,NaN,NaN
85jjfo6hgk2e7gb1na0eqz1uc,Bi Abdoul Kader,Yameogo,Bi,Yameogo,Male,B. Yameogo,Côte d'Ivoire,tin6kf561ywonqan0mettr98,NaN,NaN,Defender,player,2004-12-17,NaN,Côte d'Ivoire,tin6kf561ywonqan0mettr98,184.0,77.0,right,66.0,2023-09-06Z,active,yes,NaN,NaN
8ibojf77eyosv0tvcsals9yc4,Laurens,Goemaere,Laurens,Goemaere,Male,L. Goemaere,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,2006-04-07,Waregem,Belgium,4wbzjcclyefma1ourvjsu4q2j,179.0,NaN,right,73.0,2022-09-09Z,active,yes,NaN,NaN
973qhpd6czw3u8h0788uq9ez8,Siebe Roland,Wylin,Siebe,Wylin,Male,S. Wylin,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2003-05-27,Roeselare,Belgium,4wbzjcclyefma1ourvjsu4q2j,180.0,63.0,right,96.0,2024-06-27Z,active,yes,NaN,NaN
9yvaqepplk8s4cjqjbtyb24gk,Renzo,Tytens,Renzo,Tytens,Male,R. Tytens,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2005-06-23,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,left,90.0,2024-06-28Z,active,yes,NaN,NaN
9z6gig2dmhz738cfm9l23nxuc,Kaye,Furo Tamuno Iyowuna,Kaye,Furo,Male,K. Furo,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,2007-02-06,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,190.0,NaN,right,87.0,2023-07-01Z,active,yes,NaN,NaN
ac5ihcnef0we4sklhnmxgn3mc,Axl,De Corte,Axl,De Corte,Male,A. De Corte,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Goalkeeper,player,2006-03-24,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,left,71.0,2022-11-24Z,active,yes,NaN,NaN
