id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,weight,shirtNumber,startDate,endDate,status,active,placeOfBirth,foot,secondNationality,secondNationalityId,knownName
18wgo4h0t9f3tbt8iq0tmkl7u,Lucca,Dourado Pereira,Lucca,Dourado,Male,L. Dourado,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,2000-10-03,USA,7hr2f89v44y65dyu9k92vprwn,175.0,72.0,29.0,2025-01-31Z,2025-05-16Z,active,no,NaN,NaN,NaN,NaN,NaN
1keonaeqvrkqhbw9sjaaxsff8,Jackson Sims,Travis,Jackson,Travis,Male,J. Travis,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2004-02-23,USA,7hr2f89v44y65dyu9k92vprwn,172.0,68.0,49.0,2025-08-30Z,NaN,active,yes,Jackson,left,NaN,NaN,NaN
25tx0d0g6samoiue2v3iz4rt,Peter-Lee,Vassell,Peter-Lee,Vassell,Male,P. Vassell,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,Midfielder,player,1998-02-03,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,180.0,69.0,16.0,2025-09-04Z,NaN,active,yes,St. James,right,NaN,NaN,NaN
272w5ezobn1o53b3yxnbgjckq,Kobe Andre,Hernández-Foster,Kobe,Hernández-Foster,Male,K. Hernández-Foster,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2002-06-26,USA,7hr2f89v44y65dyu9k92vprwn,173.0,68.0,8.0,2024-01-01Z,2025-07-26Z,active,no,NaN,NaN,Honduras,56ftnqeq3x3j77uone8qm5ow6,NaN
2ig362xub2syd45v3usgymbkk,Fernando Rafael,Delgado,Fernando,Delgado,Male,F. Delgado,Mexico,5trdr3jf42i20zj1hnkvcytr6,Goalkeeper,player,2006-07-25,USA,7hr2f89v44y65dyu9k92vprwn,186.0,79.0,57.0,2025-01-31Z,NaN,active,yes,Phoenix,right,USA,7hr2f89v44y65dyu9k92vprwn,NaN
2rsduabh7r8i29f9i6znwbfu1,Ronaldo,Damus,Ronaldo,Damus,Male,R. Damus,Haiti,5mp58o38d0mr5qt8g4o6l7efg,Attacker,player,1999-09-12,Haiti,5mp58o38d0mr5qt8g4o6l7efg,178.0,77.0,9.0,2025-01-31Z,2025-12-31Z,active,yes,Hinche,NaN,NaN,NaN,NaN
357vd87hv0jvljqtt2qf4vmz8,Santiago Francisco,Suárez,Santiago,Suárez,Male,S. Suárez,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2005-04-23,USA,7hr2f89v44y65dyu9k92vprwn,195.0,81.0,43.0,2025-01-31Z,2025-12-31Z,active,yes,NaN,NaN,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,NaN
3u22kckqpecmgcw7ee3xrdppm,Maliek Zidan,Anelca Howell,Maliek,Howell,Male,M. Howell,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,Defender,player,1999-01-27,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,188.0,80.0,24.0,2025-07-26Z,NaN,active,yes,Kingston,right,NaN,NaN,NaN
3yd4f60qwxrbs2rch6uobxqsp,Phanuel Mabaya,Kavita,Phanuel,Kavita,Male,P. Kavita,Rwanda,12obgipj8u3vm1grf3jkrvqte,Defender,player,1993-03-09,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,188.0,86.0,3.0,2020-12-08Z,NaN,active,yes,Lubumbashi,NaN,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,NaN
5iuzoq7alcxdn37rp7lvqyexg,Temitayo,Ereku,Ereku,Temitayo,Male,T. Ereku,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Midfielder,player,2003-11-23,Nigeria,63pvdwrsiq5b07mzi8igqei9p,185.0,85.0,32.0,2025-01-31Z,2025-07-11Z,active,no,NaN,NaN,NaN,NaN,NaN
5uv1a9rj5wot3wcgefjoxhkdm,Jacob,Rufe,Jake,Rufe,Male,J. Rufe,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1996-01-22,USA,7hr2f89v44y65dyu9k92vprwn,180.0,77.0,13.0,2020-05-13Z,NaN,active,yes,Huntsville,NaN,NaN,NaN,NaN
