id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,foot,shirtNumber,startDate,status,active,placeOfBirth,height,weight,endDate,knownName
10w3slp4z11ji6i2zya0rarro,Maik Nelson,Poeketie,Maik,Poeketie,Male,M. Poeketie,Belgium,4wbzjcclyefma1ourvjsu4q2j,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2006-05-04,Netherlands,6hzi5pltnz67q4la8yli9qfv6,left,88.0,2024-08-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
16o074zua15qkk7x0me7gi1w4,Bjorn Thomas,Meijer,Bjorn,Meijer,Male,B. Meijer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Defender,player,2003-03-18,Netherlands,6hzi5pltnz67q4la8yli9qfv6,left,14.0,2023-09-28Z,active,yes,Groningen,191.0,89.0,NaN,NaN
1npmo2pe9rzmoby9fs1wvovtg,Maxime,Wameso,Maxime,Wameso,Male,M. Wameso,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,2006-04-16,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,94.0,2022-12-02Z,active,yes,NaN,NaN,NaN,NaN,NaN
1q935a1d9qmoyo7v6tstqx7je,Kyriani,Sabbe,Kyriani,Sabbe,Male,K. Sabbe,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2005-01-26,Belgium,4wbzjcclyefma1ourvjsu4q2j,right,64.0,2024-08-27Z,active,yes,Gent,176.0,68.0,NaN,NaN
2653ar0qv3iemuoo9i097tn9w,Grady Francis,McDonnell,Grady,McDonnell,Male,G. McDonnell,Republic of Ireland,63nepb66un7juhglo2g6rezcl,Canada,1iaoypzp6syf32cz9l15pzp7e,Midfielder,player,2008-02-17,Canada,1iaoypzp6syf32cz9l15pzp7e,both,60.0,2025-01-31Z,active,yes,NaN,185.0,74.0,NaN,NaN
2biww3ztjxcdk65qxbh7lwopg,Jessi Rémy-Nzuzi,Pedro Da Silva,Jessi,Da Silva,Male,J. Da Silva,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,2008-04-15,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,72.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
2i6q4kt11g5cjf89ph6oj2k9g,Luca,Chavet,Luca,Chavet,Male,L. Chavet,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2004-01-11,Belgium,4wbzjcclyefma1ourvjsu4q2j,right,NaN,2024-11-30Z,active,no,NaN,NaN,NaN,2025-01-17Z,NaN
34pktbkacgo66sq7h0uqotpg4,Mitch,Delcour,Mitch,Delcour,Male,M. Delcour,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,coach,1985-12-05,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,2025-03-21Z,active,yes,NaN,NaN,NaN,NaN,NaN
383ovmyymmpeki2guba3lva50,Naïm,Amengai,Naïm,Amengai,Male,N. Amengai,Belgium,4wbzjcclyefma1ourvjsu4q2j,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Midfielder,player,2008-02-09,Belgium,4wbzjcclyefma1ourvjsu4q2j,right,97.0,2024-08-01Z,active,yes,NaN,176.0,NaN,NaN,NaN
3btgcncl388i1fetp5ucoqi38,Tobias,Lund Jensen,Tobias,Lund Jensen,Male,T. Lund Jensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,Midfielder,player,2006-02-10,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,78.0,2022-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
