id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,foot,shirtNumber,status,active,weight,placeOfBirth,knownName
1fv4lrcnw4n4ip0an02qs3cic,Jimi,Dos Reis Nikko,Jimi,Nikko,Male,J. Dos Reis Nikko,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2006-08-17,Sweden,1z6l2c33w2kyz9rdefs1d68nb,188.0,left,22.0,active,yes,NaN,NaN,NaN
1ku51ad7aer41602idu5pkeay,Ismaila Cheick,Coulibaly,Ismaila,Coulibaly,Male,I. Coulibaly,Mali,d0v29nncgikdswlxpdq553zz,NaN,NaN,Midfielder,player,2000-12-25,Mali,d0v29nncgikdswlxpdq553zz,183.0,right,8.0,active,no,68.0,NaN,NaN
2j1mbb8q1ewychwj5czmolii1,Onni Johannes,Simonpoika Valakari,Onni,Valakari,Male,O. Valakari,Finland,2u07e54v5dprsugdvddpq5ync,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,Midfielder,player,1999-08-18,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,187.0,left,8.0,active,yes,76.0,Motherwell,NaN
2l14t89f2n27b28xqfguvr4es,Stanley,Wilson,Stanley,Wilson,Male,S. Wilson,Kenya,7bj2q2zb0n47lb9g55dnvfr2s,NaN,NaN,Midfielder,player,2006-08-21,Kenya,7bj2q2zb0n47lb9g55dnvfr2s,NaN,NaN,21.0,active,yes,NaN,NaN,NaN
2q5dedfrzn793s2alaaig8i6s,Abdihakin Abdulkadir,Ali,Abdihakin,Ali,Male,A. Ali,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Somalia,5f1civs919ytka0t5h6fperc2,Midfielder,player,2002-01-22,Sweden,1z6l2c33w2kyz9rdefs1d68nb,178.0,right,18.0,active,yes,68.0,Solna,NaN
35s5mefte5hagf4wjv96u9756,Rui Manuel,Muati Modesto,Rui Manuel,Muati Modesto,Male,Rui Modesto,Angola,3k53bkrjx5zsxchc6e3mcd834,Portugal,1nbm5i9a0403zzvltn17lxinc,Midfielder,player,1999-10-07,Portugal,1nbm5i9a0403zzvltn17lxinc,181.0,right,32.0,active,no,72.0,Vendas Novas,Rui Modesto
3e3iornyvm03cbixgyfkvb9xw,Ahmad,Faqa,Ahmad,Faqa,Male,Ahmad Faqa,Syria,3tsnzfkszhsktmhsmwar1tvp8,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2003-01-10,Syria,3tsnzfkszhsktmhsmwar1tvp8,187.0,right,37.0,active,yes,83.0,Qamishli,Ahmad Faqa
3hz7fbme9sm4xkj5fo3moeluc,Gabriel Victor David,Gonçalves Andersson,Victor,Andersson,Male,V. Andersson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Guatemala,6bw57gk867vfrep8b5e4ykh24,Midfielder,player,2004-10-22,Sweden,1z6l2c33w2kyz9rdefs1d68nb,174.0,right,43.0,active,yes,74.0,Danderyd,NaN
3k7jnqlybr19k9vqoktiqv0gk,Collins,Lusaka Sichenje,Collins,Sichenje,Male,C. Sichenje,Kenya,7bj2q2zb0n47lb9g55dnvfr2s,NaN,NaN,Defender,player,2003-09-19,Kenya,7bj2q2zb0n47lb9g55dnvfr2s,189.0,NaN,29.0,active,no,NaN,NaN,NaN
3nipgtf7tus4mlg3pstg8ou1g,Mouhamed Lamine,Fanne Dabo,Lamine,Fanne,Male,Lamine Fanne,Spain,49ih1pwv3ahshdf8uzrimi54c,Senegal,6hhqyhr5cwq2pfprlazyposyk,Midfielder,player,2004-01-30,Senegal,6hhqyhr5cwq2pfprlazyposyk,185.0,right,24.0,active,yes,NaN,Kandiounkou,NaN
3xx0l8c30mjstvxq7z1s0fnit,John Alberto Fernando Andres Luigi Olof,Guidetti,John,Guidetti,Male,J. Guidetti,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Attacker,player,1992-04-15,Sweden,1z6l2c33w2kyz9rdefs1d68nb,185.0,right,11.0,active,yes,79.0,Solna,NaN
45stt0xeohn9ti5cozz7vqhhw,Eskil,Smidesang Edh,Eskil,Edh,Male,E. Edh,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,Defender,player,2002-08-04,Norway,7f16iy4w8u8ogyn6pfooqwv5z,181.0,right,2.0,active,yes,71.0,Lillestrøm,NaN
46cpb4wc30lcdjh6241bd29cl,Budimir,Janošević,Budimir,Janosevic,Male,B. Janošević,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,Goalkeeper,player,1989-10-21,Serbia,5w4ve503bjdsshwx9ho6jxzx0,190.0,right,23.0,active,yes,86.0,Beograd,NaN
4j14wvtclmprw5o8wtwzd1atw,Erik Karl Hugo,Ring,Erik,Ring,Male,E. Ring,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Attacker,player,2002-04-24,Sweden,1z6l2c33w2kyz9rdefs1d68nb,185.0,right,34.0,active,no,75.0,Södertälje,NaN
