id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,foot,shirtNumber,status,active,weight,placeOfBirth,secondNationality,secondNationalityId,knownName
2h94np282g0qtzal1czznequi,Anders,Nørbo Hoff Nielsen,Anders,Hoff,Male,A. Hoff,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2003-09-04,Denmark,5adf60vwiw2f2mibyq1k4ex7i,188.0,right,31.0,active,yes,NaN,NaN,NaN,NaN,NaN
2p9y93r7xfjb71d1bfckcs53p,Oliver,Stanisic,Oliver,Stanisic,Male,O. Stanisic,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,1994-02-10,Sweden,1z6l2c33w2kyz9rdefs1d68nb,192.0,right,2.0,active,yes,NaN,NaN,NaN,NaN,NaN
2xewnia49fvj3u2x3y8tfq2ju,Simon Michael,Becher,Simon,Becher,Male,S. Becher,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,1999-07-20,USA,7hr2f89v44y65dyu9k92vprwn,185.0,NaN,11.0,active,no,85.0,NaN,NaN,NaN,NaN
3epwf56ozg73hueacwmckk0r9,Sebastian,Pingel,Sebastian,Pingel,Male,S. Pingel,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,1993-05-11,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,10.0,active,yes,NaN,NaN,NaN,NaN,NaN
3xbn4aym0k2nt9zbeblcd8dsl,Martin,Retov,Martin,Retov,Male,M. Retov,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,coach,1980-05-05,Denmark,5adf60vwiw2f2mibyq1k4ex7i,178.0,NaN,NaN,active,yes,82.0,Rødovre,NaN,NaN,NaN
4bkqvwlmbwul0s8lbbq6mifp,Søren,Reese,Søren,Reese,Male,S. Reese,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1993-07-29,Denmark,5adf60vwiw2f2mibyq1k4ex7i,184.0,left,20.0,active,yes,71.0,Ingstrup,NaN,NaN,NaN
4i0jiisff5k1efcgf27skpqfo,Frederik,Roslyng Christiansen,Frederik,Roslyng,Male,F. Roslyng,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2005-12-25,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,34.0,active,yes,NaN,NaN,NaN,NaN,NaN
4lxxyqy78jkglhv2w6crzcnsa,Ole Martin,Lekven Kolskogen,Ole,Kolskogen,Male,O. Kolskogen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2001-01-20,Norway,7f16iy4w8u8ogyn6pfooqwv5z,187.0,right,24.0,active,yes,73.0,Bergen,NaN,NaN,NaN
4m3slt6iikaxklqd12i719rl5,Moses,Opondo,Moses,Opondo,Male,M. Opondo,Uganda,1j6yonplolalz6goyopv7xd1k,Midfielder,player,1997-10-28,Uganda,1j6yonplolalz6goyopv7xd1k,174.0,right,6.0,active,yes,72.0,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN
4m9sp9mxlsjk6fv7v218yqfv9,Marvin,Egho,Marvin,Egho,Male,M. Egho,Austria,hcs1bd49qliqqity6o268jyt,Attacker,player,1994-05-09,Austria,hcs1bd49qliqqity6o268jyt,188.0,left,45.0,active,yes,75.0,Wien,NaN,NaN,NaN
4mxciw9jsj9l437fd7bv78p91,Jakob,Svarrer Ankersen,Jakob,Ankersen,Male,J. Ankersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1990-09-22,Denmark,5adf60vwiw2f2mibyq1k4ex7i,182.0,right,7.0,active,yes,70.0,Esbjerg,NaN,NaN,NaN
51ymbnikkta369rn3exb1g7bo,Abdul,Salam Moro,NaN,NaN,Male,A. Moro,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
5lu7bn7uec3zjqpoi1x81gbu1,Sebastian,Lund Hausner,Sebastian,Hausner,Male,S. Hausner,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2000-04-11,Denmark,5adf60vwiw2f2mibyq1k4ex7i,188.0,right,4.0,active,yes,78.0,Horsens,NaN,NaN,NaN
5oesz1ge01l4ay7llja4a3alm,Rogers,Mugisha,Rogers,Mugisha,Male,R. Mugisha,Uganda,1j6yonplolalz6goyopv7xd1k,Attacker,player,2003-06-06,Uganda,1j6yonplolalz6goyopv7xd1k,NaN,NaN,16.0,active,yes,NaN,NaN,NaN,NaN,NaN
5w0giylttgiapseaw6qky0mxg,Frederik,Juul Christensen,NaN,NaN,Male,F. Christensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2000-01-19,Denmark,5adf60vwiw2f2mibyq1k4ex7i,176.0,NaN,18.0,active,yes,70.0,NaN,NaN,NaN,NaN
61vr9xr91fr4g6ayzga5vn9w5,Alexander,Ludwig,Alexander,Ludwig,Male,A. Ludwig,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1993-06-30,Denmark,5adf60vwiw2f2mibyq1k4ex7i,184.0,left,33.0,active,yes,85.0,København,NaN,NaN,NaN
6xisosaqrokplph1s2rhrui38,Sory,Traoré,Sory,Traore,Male,S. Traoré,Guinea,4i9sg55wigitrfx7290f59ceo,Attacker,player,2005-03-13,Guinea,4i9sg55wigitrfx7290f59ceo,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
7353ysa16qgg30b9z5qiagys4,Alagie,Saine,Alagie,Saine,Male,A. Saine,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Defender,player,2003-01-20,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,186.0,right,28.0,active,yes,NaN,NaN,NaN,NaN,NaN
7hso2bszmf4qal560jhrg2904,Yamirou,Ouorou,NaN,NaN,Male,Y. Ouorou,Benin,3o5wco7tkqgfmys9exmt5fo2h,Unknown,player,NaN,Benin,3o5wco7tkqgfmys9exmt5fo2h,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
7odg3dte6eh3uuv1cjnd3oefo,Andreas,Kampp Kiilerich Hermansen,Andreas,Hermansen,Male,A. Hermansen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2004-05-01,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,40.0,active,yes,NaN,NaN,NaN,NaN,NaN
7x5op2llscnltkn0pkshbwlxw,Mads,Lyng,Mads,Lyng,Male,M. Lyng,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,assistant coach,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
8112qk6z1vwmhhsh103x6vuhg,Samuel,Walseth Juel,NaN,NaN,Male,S. Juel,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2005-04-21,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,29.0,active,yes,NaN,NaN,NaN,NaN,NaN
8uhv14rin2znrr0wqgvcc2f2t,Matej,Delač,Matej,Delac,Male,M. Delač,Croatia,37hlakrwxyuzovaeoo4sezusp,Goalkeeper,player,1992-08-20,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,190.0,right,1.0,active,yes,80.0,Gornji Vakuf,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN
9dh7cnu4uzbraeck0t5iqlj4k,Adam Herman Bengt,Herdonsson,Adam,Herdonsson,Male,A. Herdonsson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,2004-04-07,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,17.0,active,yes,NaN,NaN,NaN,NaN,NaN
9p9cd8xw4fz5mihxm69exb7ys,Omar,Jarju,NaN,NaN,Male,O. Jarju,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Attacker,player,2005-10-18,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
9tdl50o579ut0oj2eec0dprtg,Angelo Luca,Nehme,Angelo,Nehmé,Male,A. Nehme,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2004-01-23,Denmark,5adf60vwiw2f2mibyq1k4ex7i,165.0,both,22.0,active,yes,NaN,NaN,NaN,NaN,NaN
a48bpdpt0siemxqtr3rubwbu,Muhamet,Hyseni,Muhamet,Hyseni,Male,M. Hyseni,Kosovo,86u6edbqifdjsn49mbp2anw7p,Attacker,player,2001-02-06,Kosovo,86u6edbqifdjsn49mbp2anw7p,NaN,NaN,9.0,active,yes,NaN,NaN,NaN,NaN,NaN
