id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,status,active,endDate,secondNationality,secondNationalityId,knownName
1asrguqxyo7rmoyamggwd9oq2,Ahmetcan,Kaplan,Ahmetcan,Kaplan,Male,A. Kaplan,Türkiye,6kd6webenogylfgwt2aa9l6vx,Defender,player,2003-01-16,Trabzon,Türkiye,6kd6webenogylfgwt2aa9l6vx,189.0,72.0,left,13.0,2022-08-19Z,active,yes,NaN,NaN,NaN,NaN
1c4fzmrwmlwaqmqomge14rqc4,Dies,Janse,Dies,Janse,Male,D. Janse,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2006-01-17,Goes,Netherlands,6hzi5pltnz67q4la8yli9qfv6,196.0,NaN,left,36.0,2024-07-04Z,active,no,2025-08-19Z,NaN,NaN,NaN
1lgrnaje6y7un5dzzll84p91,Gerónimo,Rulli,Gerónimo,Rulli,Male,G. Rulli,Argentina,2vovxa97k7v7ofa85dah2xktb,Goalkeeper,player,1992-05-20,La Plata,Argentina,2vovxa97k7v7ofa85dah2xktb,189.0,84.0,right,1.0,2023-01-06Z,active,no,2024-08-11Z,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN
1wse4b1hxu37e7t5ty5ykn7c9,Josip,Šutalo,Josip,Sutalo,Male,J. Šutalo,Croatia,37hlakrwxyuzovaeoo4sezusp,Defender,player,2000-02-28,Čapljina,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,185.0,82.0,right,37.0,2023-08-20Z,active,yes,NaN,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN
25yu90pekqr1lhs098f3uxy39,Jordan Brian,Henderson,Jordan,Henderson,Male,J. Henderson,England,1fk5l4hkqk12i7zske6mcqju6,Midfielder,player,1990-06-17,Sunderland,England,1fk5l4hkqk12i7zske6mcqju6,182.0,78.0,right,6.0,2024-01-18Z,active,no,2025-07-10Z,NaN,NaN,NaN
264gu641hrd38wqf28xolwhlg,Rayane,Bounida,Rayane,Bounida,Male,R. Bounida,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,2006-03-03,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,179.0,NaN,right,64.0,2025-02-01Z,active,yes,NaN,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN
28rtnolu3a2au3on0jtwzhu6s,Precious Joel Uche-Chukwu,Ugwu,Precious,Ugwu,Male,P. Ugwu,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2006-02-08,Filderstadt,Germany,36min0qztu8eydwvpv8t1is0m,192.0,NaN,right,45.0,2024-07-08Z,active,no,2025-06-27Z,Germany,36min0qztu8eydwvpv8t1is0m,NaN
2rsqkarlkh6z8vrb0clfbz6xh,Branco,van den Boomen,Branco,van den Boomen,Male,B. van den Boomen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,1995-07-21,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,75.0,right,21.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN
2vp8f9x46i2ptaf08xv7a85xw,Paul,Peters Reverson,Paul,Reverson,Male,P. Reverson,Ghana,2q2sw72utw5gu9t5y4knckwba,Goalkeeper,player,2005-06-20,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,194.0,NaN,right,52.0,2024-07-12Z,active,yes,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN
2wesmq2wuhnuwh2yhgkuaxqfo,Aaron,Bouwman,Aaron,Bouwman,Male,A. Bouwman,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2007-08-28,Haarlem,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,71.0,right,NaN,2024-07-17Z,active,yes,NaN,England,1fk5l4hkqk12i7zske6mcqju6,NaN
2zkaf848fjcdhuii8783pkm7e,Youri Pieter,Regeer,Youri,Regeer,Male,Y. Regeer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2003-08-18,Haarlem,Netherlands,6hzi5pltnz67q4la8yli9qfv6,177.0,68.0,right,44.0,2025-01-24Z,active,yes,NaN,NaN,NaN,NaN
