id,firstName,lastName,shortFirstName,shortLastName,matchName,nationality,nationalityId,position,type,countryOfBirth,countryOfBirthId,shirtNumber,status,active,dateOfBirth,height,placeOfBirth,weight,foot,knownName,secondNationality,secondNationalityId
1f82a7l43cjr27qdif4l0ehw4,Eiríkur Örn,Beck,Eiríkur Orn,Beck,E. Beck,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,27.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1i8k7uoh7y1j73o0tatk35gb9,Óskar Hrafn,Þorvaldsson,Óskar,Thorvaldsson,Ó. Þorvaldsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,coach,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,active,no,1973-10-25,181.0,NaN,NaN,NaN,NaN,NaN,NaN
1p55tuj89rysvgwv4ysjao4wl,Arnór Sveinn,Aðalsteinsson,Arnór,Adalsteinsson,A. Aðalsteinsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,5.0,active,yes,1986-01-26,181.0,Reykjavik,73.0,right,NaN,NaN,NaN
1peite40jwcxkpbkne96e740k,Kristófer,Máni Pálsson,Kristofer,Palsson,K. Pálsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,2.0,active,yes,2005-06-05,182.0,NaN,NaN,NaN,NaN,NaN,NaN
1umdj6jlv69crvsoe4rwv75ec,Arnar Smári,Arnarsson,Arnar,Arnarsson,A. Arnarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,active,yes,2005-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2hoyzk0qw79v7ta8urx924amt,Kristinn,Steindórsson,Kristinn,Steindórsson,K. Steindórsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,10.0,active,yes,1990-04-29,178.0,Reykjavík,70.0,right,NaN,NaN,NaN
3g0xd9rds9relghxanr1f5vc9,Stefán Ingi,Sigurðarson,Stefán,Sigurdarson,S. Sigurðarson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,23.0,active,no,2001-01-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3z6ty4kxmhvl4ypielw4gjowl,Andri Rafn,Yeoman,Andri,Yeoman,A. Yeoman,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,30.0,active,yes,1992-04-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45tzh3ods6akvqj1fe7v7na50,Atli Þór,Gunnarsson,Atli,Gunnarsson,A. Gunnarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,19.0,active,yes,2006-06-06,NaN,NaN,NaN,NaN,Atli Gunnarsson,NaN,NaN
4kq5l8rjy4tcnjgjv78ter1zp,Halldór,Árnason,Halldór,Árnason,H. Árnason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,coach,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,active,yes,1984-05-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4o1150mpv9nz55cwj9b0vblk9,Kristófer Ingi,Kristinsson,Kristófer,Kristinsson,K. Kristinsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,23.0,active,yes,1999-04-07,190.0,Garðabær,71.0,right,NaN,NaN,NaN
5d6oa0urkujvwy0twpdbfsl3p,Damir,Muminović,Damir,Muminovic,D. Muminović,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,Serbia,5w4ve503bjdsshwx9ho6jxzx0,4.0,active,yes,1990-05-13,NaN,NaN,NaN,NaN,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0
5gtmy77ebg930jwh6rotkpilm,Oliver,Stefánsson,Oliver,Stefánsson,O. Stefánsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,28.0,active,no,2002-08-03,192.0,NaN,NaN,left,NaN,NaN,NaN
