id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,startDate,endDate,status,active,secondNationality,secondNationalityId,position,shirtNumber,knownName,dateOfDeath
17ilvt054ywjipexagj1xip5h,Adrian,Mutu,Adrian,Mutu,Male,A. Mutu,Romania,17oj2qrzqlkhdjvazum10sx2i,coach,1979-01-08,Călineşti,Romania,17oj2qrzqlkhdjvazum10sx2i,180.0,79.0,right,2024-12-31Z,2025-03-17Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN
1n33x5m6se8w4s3njb0qibh05,Yohan Cédric Benjamin,Roche,Yohan,Roche,Male,Y. Roche,Benin,3o5wco7tkqgfmys9exmt5fo2h,player,1997-07-07,Lyon,France,7gww28djs405rfga69smki84o,188.0,78.0,right,2024-09-18Z,NaN,active,yes,France,7gww28djs405rfga69smki84o,Defender,69.0,NaN,NaN
1plhh8j45hvjzcbhzx0qbutxw,Andrei Cristian,Jercălău,Andrei,Jercalau,Male,A. Jercălău,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2005-03-10,Ploiești,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-06-18Z,2024-08-29Z,active,no,NaN,NaN,Goalkeeper,35.0,NaN,NaN
1pmj40alw98f6r5zybrr8jk6h,Nana Dwomoh,Akosah-Bempah,Nana,Akosah-Bempah,Male,N. Akosah-Bempah,Ghana,2q2sw72utw5gu9t5y4knckwba,player,1997-08-29,NaN,USA,7hr2f89v44y65dyu9k92vprwn,180.0,NaN,NaN,2024-07-19Z,2025-06-30Z,active,no,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,14.0,NaN,NaN
2buba8xdxdoakafomzgp6sf84,Augustin Cristian,Dumitrache,Augustin,Dumitrache,Male,A. Dumitrache,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2006-04-22,Drobeta-Turnu Severin,Romania,17oj2qrzqlkhdjvazum10sx2i,180.0,NaN,both,2023-09-01Z,NaN,active,yes,NaN,NaN,Midfielder,97.0,NaN,NaN
2objkov0mvum6tf11qfyog9n9,Fabrício,Santos de Jesus,Fabrício,Santos de Jesus,Male,Fabrício Baiano,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,player,1992-06-13,Camacan,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,177.0,75.0,right,2024-07-19Z,NaN,active,yes,NaN,NaN,Midfielder,27.0,Fabrício Baiano,NaN
2w0vt8oosxj22iq8hzry9ng4q,Ali Sühan,Demirel,Ali,Demirel,Male,A. Demirel,Türkiye,6kd6webenogylfgwt2aa9l6vx,player,2003-01-02,Lünen,Germany,36min0qztu8eydwvpv8t1is0m,182.0,NaN,right,2025-01-14Z,2025-06-30Z,active,no,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,77.0,NaN,NaN
3l6yb4s7oyw2crgtkyb070fdh,Sergiu Cătălin,Hanca,Sergiu,Hanca,Male,S. Hanca,Romania,17oj2qrzqlkhdjvazum10sx2i,player,1992-04-04,Târgu Mureș,Romania,17oj2qrzqlkhdjvazum10sx2i,182.0,80.0,right,2023-07-01Z,NaN,active,yes,NaN,NaN,Defender,20.0,NaN,NaN
45a4nzekrld37gb8pzux7d7je,Valentin Constantin,Țicu,Valentin,Ticu,Male,V. Țicu,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2000-09-19,Ploieşti,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2016-08-30Z,NaN,active,yes,NaN,NaN,Defender,5.0,NaN,NaN
477ymvme3mxvj8yk4nqvfjj3e,Denis Răzvan,Radu,Denis,Radu,Male,D. Radu,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2003-03-25,Caransebeș,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-07-20Z,NaN,active,yes,NaN,NaN,Defender,22.0,NaN,NaN
