id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,status,active,secondNationality,secondNationalityId,height,weight,shirtNumber,placeOfBirth,foot,knownName
1vjcrfh493kmw9cd4wtmjgqok,Owen,Jack,Owen,Jack,Male,O. Jack,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,2000-02-25,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
272w5ezobn1o53b3yxnbgjckq,Kobe Andre,Hernández-Foster,Kobe,Hernández-Foster,Male,K. Hernández-Foster,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2002-06-26,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,Honduras,56ftnqeq3x3j77uone8qm5ow6,173.0,68.0,8.0,NaN,NaN,NaN
2ig362xub2syd45v3usgymbkk,Fernando Rafael,Delgado,Fernando,Delgado,Male,F. Delgado,Mexico,5trdr3jf42i20zj1hnkvcytr6,Goalkeeper,player,2006-07-25,USA,7hr2f89v44y65dyu9k92vprwn,active,no,USA,7hr2f89v44y65dyu9k92vprwn,186.0,79.0,99.0,Phoenix,right,NaN
3yd4f60qwxrbs2rch6uobxqsp,Phanuel,Kavita,Phanuel,Kavita,Male,P. Kavita,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,Defender,player,1993-03-09,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,active,yes,NaN,NaN,188.0,86.0,3.0,Lubumbashi,NaN,NaN
4o1ryjpzoxzpi3ex53cmayui1,Alexander,Crognale,Alex,Crognale,Male,A. Crognale,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1994-08-27,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,Italy,25f2cmb2r8mk5rj92tzer6kvv,196.0,88.0,21.0,Columbus,right,NaN
52zm1dgc5jge02cdhzptghq3u,Mujeeb,Murana,Mujeeb,Murana,Male,M. Murana,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2000-09-23,Nigeria,63pvdwrsiq5b07mzi8igqei9p,active,no,Nigeria,63pvdwrsiq5b07mzi8igqei9p,188.0,86.0,24.0,Ibandan,NaN,NaN
54zbsjnlvcq3sqbulw2yjjjtg,Brock,Marlow,Brock,Marlow,Male,B. Marlow,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,2006-03-11,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,183.0,79.0,30.0,NaN,NaN,NaN
5g3yur7k1fvc47hjz5y2zrze,Derek,Dodson,Derek,Dodson,Male,D. Dodson,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1998-11-03,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,185.0,77.0,14.0,Aurora,NaN,NaN
5i9n8xgeyz1hk8bt09mh2e1p0,Matthew James,Corcoran,Matthew,Corcoran,Male,M. Corcoran,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2006-02-17,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,183.0,77.0,17.0,Dallas,NaN,NaN
5uv1a9rj5wot3wcgefjoxhkdm,Jacob,Rufe,Jake,Rufe,Male,J. Rufe,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1996-01-22,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,180.0,77.0,13.0,Huntsville,NaN,NaN
